local,landing_point_mean,latitude,longitude,coord_source,platform_dist_m,platform_dist_km,inside_mpa_name,inside_any_mpa,mpa_dist_m,mpa_dist_km,mpa_boundary_dist_m,mpa_boundary_dist_km,municipality,platform_exposure_class,mpa_exposure_class,combined_exposure_class
AREIA BRANCA,Baixa Grande,-4.931284321002511,-36.9879877205538,exact,28996.411431211287,28.996411431211286,APA Dunas do Rosado,True,0.0,0.0,-738.974157596007,-0.738974157596007,Areia Branca,20-50 km,inside,20-50 km × inside
AREIA BRANCA,Matança,-4.929863992314963,-37.08068852131728,exact,35868.17179980813,35.86817179980813,,False,8297.142199154661,8.297142199154662,8297.142199154661,8.297142199154662,Areia Branca,20-50 km,0-10 km,20-50 km × 0-10 km
AREIA BRANCA,Morro Pintado,-4.940236526252264,-36.93005097747947,exact,26696.264494309697,26.6962644943097,APA Dunas do Rosado,True,0.0,0.0,-656.8049604098825,-0.6568049604098825,Areia Branca,20-50 km,inside,20-50 km × inside
AREIA BRANCA,Ponta do Mel,-4.925432268385885,-37.11270590450727,exact,38333.5788671653,38.3335788671653,,False,11848.863410430833,11.848863410430834,11848.863410430833,11.848863410430834,Areia Branca,20-50 km,10-25 km,20-50 km × 10-25 km
AREIA BRANCA,Redonda,-4.951770140594697,-36.89743178981018,exact,26728.219838045134,26.728219838045135,APA Dunas do Rosado,True,0.0,0.0,-888.2156042717397,-0.8882156042717397,Areia Branca,20-50 km,inside,20-50 km × inside
AREIA BRANCA,São Cristóvão,-4.947833889792277,-37.05058540527553,exact,34831.07988965499,34.83107988965499,,False,4957.529629542506,4.957529629542506,4957.529629542506,4.957529629542506,Areia Branca,20-50 km,0-10 km,20-50 km × 0-10 km
AREIA BRANCA,Upanema,-4.919653577604059,-36.95856103352911,exact,26118.944352602266,26.118944352602266,APA Dunas do Rosado,True,0.0,0.0,-709.2108089091364,-0.7092108089091365,Areia Branca,20-50 km,inside,20-50 km × inside
AREIA BRANCA,Zé Figueira,-4.940229916945483,-37.01828512850523,exact,31831.31808567615,31.83131808567615,,False,1374.5975139106686,1.3745975139106685,1374.5975139106686,1.3745975139106685,Areia Branca,20-50 km,0-10 km,20-50 km × 0-10 km
CAICARA DO NORTE,Morada Nova,-5.064928603554005,-36.07101599744643,exact,27543.634207691437,27.543634207691436,,False,36796.89657900764,36.79689657900764,36796.89657900764,36.79689657900764,Caiçara do Norte,20-50 km,25-50 km,20-50 km × 25-50 km
CAICARA DO NORTE,Sede,-5.149659447940746,-36.04814451469139,exact,35899.56586183768,35.89956586183768,,False,39292.806922264484,39.29280692226448,39292.806922264484,39.29280692226448,Caiçara do Norte,20-50 km,25-50 km,20-50 km × 25-50 km
