local,year,fleet_monitored,assisted_trips,estimated_fishermen,production_ton,fishermen_per_vessel
AREIA BRANCA,2003,26.0,57,124.33,18.8,4.781923076923077
AREIA BRANCA,2005,94.0,846,251.27,117.16,2.673085106382979
AREIA BRANCA,2006,67.0,633,244.16,38.01,3.6441791044776117
AREIA BRANCA,2007,61.0,241,265.31,55.91,4.349344262295082
AREIA BRANCA,2008,108.0,1867,360.84,377.11,3.3411111111111107
AREIA BRANCA,2009,153.0,2570,641.0,841.98,4.189542483660131
AREIA BRANCA,2010,187.0,4427,490.5,704.232,2.622994652406417
AREIA BRANCA,2011,167.0,4846,386.0,708.344,2.311377245508982
AREIA BRANCA,2012,196.0,5090,289.0,984.0999999999999,1.4744897959183674
AREIA BRANCA,2013,198.0,5141,328.5,1454.6,1.6590909090909092
AREIA BRANCA,2014,101.0,2292,389.0,1328.79,3.8514851485148514
AREIA BRANCA,2015,119.0,2875,490.0,2131.7,4.117647058823529
AREIA BRANCA,2016,110.0,2705,404.0,3070.2,3.672727272727273
AREIA BRANCA,2017,99.0,2342,326.0,3005.0,3.292929292929293
AREIA BRANCA,2018,109.0,1978,390.0,2284.02,3.5779816513761467
AREIA BRANCA,2019,104.0,5729,380.0,4065.29,3.6538461538461537
AREIA BRANCA,2020,81.0,4398,296.0,3364.9,3.654320987654321
AREIA BRANCA,2021,93.0,5340,337.7,4081.78639,3.6311827956989244
AREIA BRANCA,2022,111.9,5041,320.6,3794.97,2.865058087578195
AREIA BRANCA,2023,81.0,4576,265.4,3747.05,3.276543209876543
AREIA BRANCA,2024,61.1,3406,219.0,2896.9,3.5842880523731586
CAICARA DO NORTE,2001,219.0,5976,710.82,202.7,3.2457534246575346
CAICARA DO NORTE,2002,208.0,5495,697.0,305.65,3.3509615384615383
CAICARA DO NORTE,2003,200.0,5482,684.23,332.59,3.42115
CAICARA DO NORTE,2004,200.0,6107,666.13,421.24,3.33065
CAICARA DO NORTE,2005,217.0,4930,699.5,335.3,3.2235023041474653
CAICARA DO NORTE,2006,196.0,4786,666.79,364.5,3.401989795918367
CAICARA DO NORTE,2007,208.0,5534,654.75,509.34,3.1478365384615383
CAICARA DO NORTE,2008,199.0,5402,634.87,429.4,3.1903015075376886
CAICARA DO NORTE,2009,130.0,5082,854.5,1485.851,6.573076923076923
CAICARA DO NORTE,2010,145.0,5675,797.5,1346.424,5.5
CAICARA DO NORTE,2011,217.0,10818,685.0,1257.689,3.1566820276497696
CAICARA DO NORTE,2012,406.0,14516,571.0,1450.1,1.4064039408866995
CAICARA DO NORTE,2013,356.0,14222,566.0,1634.4,1.5898876404494382
CAICARA DO NORTE,2014,178.0,6908,557.0,1081.2,3.1292134831460676
CAICARA DO NORTE,2015,181.0,7474,604.0,760.9,3.3370165745856353
CAICARA DO NORTE,2016,177.0,6376,561.0,1672.6,3.169491525423729
CAICARA DO NORTE,2017,190.0,5230,494.0,1750.0,2.6
CAICARA DO NORTE,2018,200.0,4084,554.0,424.39,2.77
CAICARA DO NORTE,2019,150.0,12633,561.0,1122.63,3.74
CAICARA DO NORTE,2020,154.0,8105,534.0,999.21,3.4675324675324677
CAICARA DO NORTE,2021,138.0,8799,509.6,1250.73997,3.692753623188406
CAICARA DO NORTE,2022,191.8,8280,531.1,898.67,2.7690302398331594
CAICARA DO NORTE,2023,140.0,8953,539.5,999.63,3.8535714285714286
CAICARA DO NORTE,2024,166.8,6922,436.0,784.3,2.6139088729016784
GALINHOS,2004,61.0,814,151.49,40.3,2.48344262295082
GALINHOS,2005,74.0,735,162.8,27.3,2.2
GALINHOS,2007,80.0,828,167.41,20.31,2.092625
GALINHOS,2008,128.0,3849,292.29,148.38,2.283515625
GALINHOS,2009,131.0,3828,151.5,207.233,1.1564885496183206
GALINHOS,2010,149.0,4718,199.0,246.63299999999998,1.3355704697986577
GALINHOS,2011,174.0,4703,185.5,237.15,1.0660919540229885
GALINHOS,2012,146.0,4779,166.0,219.5,1.1369863013698631
GALINHOS,2013,132.0,4202,252.75,214.7,1.9147727272727273
GALINHOS,2014,60.0,1738,139.0,94.22,2.316666666666667
GALINHOS,2015,56.0,1586,127.0,89.2,2.267857142857143
GALINHOS,2016,55.0,1388,134.0,202.3,2.4363636363636365
GALINHOS,2017,58.0,1144,126.0,204.0,2.1724137931034484
GALINHOS,2018,53.0,899,119.0,75.99,2.2452830188679247
GALINHOS,2019,53.0,3526,130.0,222.479,2.452830188679245
GALINHOS,2020,50.0,3502,112.0,179.61,2.24
GALINHOS,2021,49.0,4381,116.9,194.2537,2.3857142857142857
GALINHOS,2022,46.8,4382,111.0,197.49,2.371794871794872
GALINHOS,2023,50.0,4754,114.7,232.49,2.294
GALINHOS,2024,48.3,3800,109.0,178.1,2.256728778467909
GROSSOS,2003,1.0,3,5.0,0.82,5.0
GROSSOS,2005,2.0,4,8.0,2.77,4.0
GROSSOS,2007,1.0,2,5.0,1.3,5.0
GROSSOS,2009,43.0,1051,116.0,72.139,2.697674418604651
GROSSOS,2010,92.0,4398,103.5,108.012,1.125
GROSSOS,2011,137.0,4275,112.0,103.226,0.8175182481751825
GROSSOS,2012,78.0,5787,84.5,97.0,1.0833333333333333
GROSSOS,2013,73.0,4730,50.0,78.7,0.684931506849315
GROSSOS,2014,37.0,2514,78.0,35.9,2.108108108108108
GROSSOS,2015,36.0,2325,80.0,34.6,2.2222222222222223
GROSSOS,2016,34.0,2281,79.0,75.0,2.323529411764706
GROSSOS,2017,43.0,1482,89.0,75.0,2.0697674418604652
GROSSOS,2018,25.0,682,59.0,17.77,2.36
GROSSOS,2019,21.0,14632,53.0,34.307,2.5238095238095237
GROSSOS,2020,17.0,1280,46.0,176.07,2.7058823529411766
GROSSOS,2021,20.0,1219,52.5,28.3846,2.625
GROSSOS,2022,24.1,1343,47.3,30.37,1.9626556016597507
GROSSOS,2023,17.0,1437,54.6,33.19,3.211764705882353
GROSSOS,2024,23.5,1113,52.0,25.8,2.2127659574468086
GUAMARE,2001,57.0,1047,156.8,42.64,2.7508771929824563
GUAMARE,2002,76.0,2007,204.9,73.38,2.6960526315789473
GUAMARE,2003,74.0,1770,189.48,67.68,2.5605405405405404
GUAMARE,2004,85.0,3070,215.33,149.06,2.533294117647059
GUAMARE,2005,72.0,1687,184.08,82.16,2.5566666666666666
GUAMARE,2006,50.0,1224,158.87,48.93,3.1774
GUAMARE,2007,51.0,1025,163.13,51.93,3.1986274509803923
GUAMARE,2008,120.0,4544,299.8,462.76,2.4983333333333335
GUAMARE,2009,134.0,4440,176.5,438.73699999999997,1.3171641791044777
GUAMARE,2010,127.0,4796,168.5,364.437,1.3267716535433072
GUAMARE,2011,139.0,4404,157.0,346.651,1.129496402877698
GUAMARE,2012,111.0,4293,137.0,183.8,1.2342342342342343
GUAMARE,2013,104.0,4401,127.25,195.0,1.2235576923076923
GUAMARE,2014,62.0,2535,141.0,102.38,2.274193548387097
GUAMARE,2015,64.0,2830,155.0,117.2,2.421875
GUAMARE,2016,59.0,2482,140.0,228.4,2.3728813559322033
GUAMARE,2017,65.0,2266,137.0,230.0,2.1076923076923078
GUAMARE,2018,65.0,2051,152.0,111.81,2.3384615384615386
GUAMARE,2019,60.0,8084,147.0,296.318,2.45
GUAMARE,2020,57.0,3756,136.0,188.79,2.3859649122807016
GUAMARE,2021,52.0,3347,134.9,203.42719,2.5942307692307693
GUAMARE,2022,71.6,4387,164.9,342.24,2.3030726256983245
GUAMARE,2023,57.0,4467,155.8,403.91,2.7333333333333334
GUAMARE,2024,56.5,3479,123.0,207.4,2.1769911504424777
MACAU,2001,208.0,3574,516.8,224.49,2.4846153846153842
MACAU,2002,213.0,3481,565.79,252.67,2.6562910798122066
MACAU,2003,218.0,4319,553.71,377.68,2.539954128440367
MACAU,2004,235.0,6039,666.29,688.09,2.8352765957446806
MACAU,2005,254.0,5826,553.88,390.76,2.1806299212598423
MACAU,2006,199.0,3454,504.59,216.66,2.5356281407035173
MACAU,2007,247.0,4853,617.58,369.66,2.500323886639676
MACAU,2008,307.0,11470,765.92,969.82,2.4948534201954398
MACAU,2009,295.0,13518,685.0,2406.311,2.3220338983050848
MACAU,2010,432.0,18778,723.0,2081.226,1.6736111111111112
MACAU,2011,248.0,15919,584.0,1752.6779999999999,2.3548387096774195
MACAU,2012,366.0,15622,482.5,1086.1,1.3183060109289617
MACAU,2013,340.0,16881,509.25,1470.3,1.4977941176470588
MACAU,2014,170.0,7897,507.0,818.85,2.9823529411764707
MACAU,2015,182.0,9924,535.0,752.9,2.9395604395604398
MACAU,2016,199.0,10102,521.0,1466.0,2.6180904522613067
MACAU,2017,208.0,9162,481.0,1533.0,2.3125
MACAU,2018,213.0,8221,558.0,595.3,2.619718309859155
MACAU,2019,231.0,23069,661.0,1643.916,2.8614718614718613
MACAU,2020,220.0,18086,597.0,1370.75,2.713636363636364
MACAU,2021,211.0,18623,615.1,1308.62037,2.9151658767772513
MACAU,2022,284.0,18228,684.1,1358.49,2.4088028169014084
MACAU,2023,220.0,18509,639.8,1359.32,2.9081818181818178
MACAU,2024,210.1,15049,529.0,997.1,2.517848643503094
PORTO DO MANGUE,2001,61.0,4841,151.65,96.6,2.486065573770492
PORTO DO MANGUE,2002,66.0,3021,171.04,65.83,2.5915151515151513
PORTO DO MANGUE,2003,53.0,1833,151.89,46.08,2.8658490566037735
PORTO DO MANGUE,2004,50.0,2616,127.54,69.85,2.5508
PORTO DO MANGUE,2005,89.0,4660,218.09,139.68,2.4504494382022473
PORTO DO MANGUE,2006,44.0,2664,105.2,85.16,2.390909090909091
PORTO DO MANGUE,2007,75.0,1926,200.31,44.82,2.6708
PORTO DO MANGUE,2008,119.0,9864,372.87,351.49,3.133361344537815
PORTO DO MANGUE,2009,152.0,7982,350.5,570.5830000000001,2.3059210526315788
PORTO DO MANGUE,2010,163.0,7630,328.0,452.342,2.0122699386503067
PORTO DO MANGUE,2011,147.0,7627,291.5,579.2239999999999,1.9829931972789117
PORTO DO MANGUE,2012,209.0,10340,276.0,559.0,1.3205741626794258
PORTO DO MANGUE,2013,190.0,10207,298.0,663.5,1.568421052631579
PORTO DO MANGUE,2014,95.0,4468,266.0,257.51,2.8
PORTO DO MANGUE,2015,126.0,6281,285.0,218.2,2.261904761904762
PORTO DO MANGUE,2016,122.0,5701,272.0,527.6,2.2295081967213113
PORTO DO MANGUE,2017,116.0,4348,244.0,529.0,2.103448275862069
PORTO DO MANGUE,2018,111.0,2996,279.0,150.24,2.5135135135135136
PORTO DO MANGUE,2019,111.0,7740,295.0,398.551,2.6576576576576576
PORTO DO MANGUE,2020,101.0,6156,290.0,321.68,2.871287128712871
PORTO DO MANGUE,2021,111.0,7032,300.2,354.64167,2.7045045045045044
PORTO DO MANGUE,2022,117.9,6901,278.3,649.24,2.3604749787955894
PORTO DO MANGUE,2023,101.0,6850,273.7,546.13,2.7099009900990096
PORTO DO MANGUE,2024,106.0,4918,246.0,393.6,2.3207547169811322
TIBAU,2008,2.0,4,6.0,2.56,3.0
TIBAU,2009,19.0,513,85.0,36.267,4.473684210526316
TIBAU,2010,40.0,1360,71.0,39.521,1.775
TIBAU,2011,85.0,1100,55.5,42.845,0.6529411764705882
TIBAU,2012,18.0,885,34.5,35.8,1.9166666666666667
TIBAU,2013,14.0,761,26.5,41.4,1.8928571428571428
TIBAU,2014,5.0,367,23.0,12.37,4.6
TIBAU,2015,9.0,362,37.0,16.7,4.111111111111111
TIBAU,2016,6.0,482,31.0,35.2,5.166666666666667
TIBAU,2017,14.0,482,31.0,33.0,2.2142857142857144
TIBAU,2018,12.0,483,50.0,34.15,4.166666666666667
TIBAU,2019,7.0,2295,36.0,33.977,5.142857142857143
TIBAU,2020,6.0,651,33.0,17.84,5.5
TIBAU,2021,7.0,671,30.8,12.84931,4.4
TIBAU,2022,12.9,659,26.4,16.07,2.0465116279069764
TIBAU,2023,6.0,671,25.6,23.15,4.266666666666667
TIBAU,2024,5.5,667,27.0,17.2,4.909090909090909
