year,cpue_per_fisherman,shannon_h,richness,pielou_j,albacora_share,lagosta_share,linha_share,covo_share,fleet_monitored,estimated_fishermen,local
2003,0.15121048821684227,-0.0,1,,0.0,1.0,0.0,1.0,26.0,124.33,AREIA BRANCA
2005,0.4662713415847494,1.4133863298211584,32,0.4078170897786476,0.00110949901852,0.7129811385166851,0.1066063502902014,0.5484807101399795,94.0,251.27,AREIA BRANCA
2006,0.15567660550458715,2.449958983425477,26,0.7519602181319169,0.0,0.2864281956864808,0.4180478821362799,0.1118126808734543,67.0,244.16,AREIA BRANCA
2007,0.21073461234028115,1.9428444478746507,19,0.6598351881704346,0.0,0.299463327370304,0.2216457960644007,0.1706618962432915,61.0,265.31,AREIA BRANCA
2008,1.0450892362265825,2.1634487819977672,34,0.6135075432292207,0.0022275258552108,0.3098117210289048,0.1598472594203283,0.2897828219882792,108.0,360.84,AREIA BRANCA
2009,1.313541341653666,2.4178979092511144,38,0.6646984574608634,0.3514770333637868,0.0904805749173419,0.4856142349099413,8.3155054835413e-05,153.0,641.0,AREIA BRANCA
2010,1.435743119266055,2.488047841798288,36,0.6943029699377605,0.3635302520614626,0.1211942638302948,0.5009194426260701,0.00077247380476,187.0,490.5,AREIA BRANCA
2011,1.8350880829015546,2.7836883682101097,48,0.7190761627635727,0.1804611055974453,0.1546740905863136,0.4470866604172078,0.0168735388125274,167.0,386.0,AREIA BRANCA
2012,3.4051903114186852,2.26842962560489,42,0.6069101491765158,0.4609446419502285,0.1443372270187912,0.5595286468915075,0.0418529053230393,196.0,289.0,AREIA BRANCA
2013,4.4280060882800605,1.6298476184281003,35,0.4584213951039497,0.6534918889194391,0.0778801209788287,0.736324903793293,0.0423309510720175,198.0,328.5,AREIA BRANCA
2014,3.415912596401028,0.8755648211672755,34,0.2482913516798113,0.8479945819851005,0.0224998118744826,0.8931286219613156,0.0037630766915029,101.0,389.0,AREIA BRANCA
2015,4.350408163265306,0.6663853249901825,43,0.1771735894109164,0.8879872414278343,0.0208733993151648,0.9379135576516964,0.0079778497348537,119.0,490.0,AREIA BRANCA
2016,7.599504950495049,0.8539716275894853,37,0.2364971035755653,0.8496514885023777,0.0320500293140512,0.8995505178815713,0.010846198944694,110.0,404.0,AREIA BRANCA
2017,9.217791411042946,0.8816078511895231,34,0.2500050250209413,0.8427321422630336,0.0257843430814785,0.9006089242338535,0.0107809536485541,99.0,326.0,AREIA BRANCA
2018,5.856461538461539,0.7354209779442157,39,0.2007393484755874,0.8279833588789139,0.0064812787387781,0.9736415780025394,0.0051228162353868,109.0,390.0,AREIA BRANCA
2019,10.698131578947368,0.706658836326825,49,0.1815754023046461,0.8788158315499472,0.0043539222197623,0.959953754950434,0.0008117482104641,104.0,380.0,AREIA BRANCA
2020,11.367905405405406,0.5822299157193181,49,0.1496034942831186,0.9046542106623952,0.0074801406278325,0.959227340267459,0.0006835066864784,81.0,296.0,AREIA BRANCA
2021,12.087019218241043,0.7181038705077439,49,0.1845161943516158,0.8578823840696171,0.0053849319901219,0.9616345729825078,9.799598216473126e-05,93.0,337.7,AREIA BRANCA
2022,11.837086712414221,0.7611521677262685,48,0.196619128167607,0.8486288212368673,0.0048222487489821,0.959207336355012,7.90555496995889e-05,111.9,320.6,AREIA BRANCA
2023,14.118500376789752,0.6788204023177594,53,0.1709749351176638,0.8765915768854065,0.0056257289028494,0.9750040014938912,0.0007736221522701,81.0,265.4,AREIA BRANCA
2024,13.22785388127854,0.5723153774012996,45,0.1503457106952056,0.8957472585505265,0.0036587175849702,0.9759743173737444,0.0,61.1,219.0,AREIA BRANCA
