local,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,cpue_ton_per_trip,platform_exposure_class,mpa_exposure_class,cpue_per_vessel,cpue_per_fisherman,log_fleet,log_fishermen,log_fleet_c,log_fishermen_c,year_c,log_cpue
AREIA BRANCA,2003,18.8,57,26.0,124.33,0.3298245614035088,20-50 km,inside,0.7230769230769231,0.15121048821684227,3.258096538021482,4.822939320964847,-1.1888395382079593,-0.5416363264556399,-11.0,-1.1091943979986465
AREIA BRANCA,2005,117.16,846,94.0,251.27,0.1384869976359338,20-50 km,inside,1.2463829787234042,0.4662713415847494,4.543294782270004,5.526528058195265,0.0963587060405624,0.16195241077477895,-9.0,-1.9769788376466906
AREIA BRANCA,2006,38.01,633,67.0,244.16,0.0600473933649289,20-50 km,inside,0.5673134328358209,0.15567660550458715,4.204692619390966,5.497823748096092,-0.2422434568384757,0.13324810067560566,-8.0,-2.812621139143019
AREIA BRANCA,2007,55.91,241,61.0,265.31,0.2319917012448132,20-50 km,inside,0.9165573770491803,0.21073461234028115,4.110873864173311,5.580898953610859,-0.33606221205613007,0.21632330619037266,-7.0,-1.4610536784521013
AREIA BRANCA,2008,377.11,1867,108.0,360.84,0.2019871451526513,20-50 km,inside,3.4917592592592595,1.0450892362265825,4.68213122712422,5.888434646788438,0.2351951508947785,0.5238589993679517,-6.0,-1.5995512214640686
AREIA BRANCA,2009,841.98,2570,153.0,641.0,0.3276186770428015,20-50 km,inside,5.503137254901961,1.313541341653666,5.030437921392435,6.46302945692067,0.5835018451629939,1.0984538095001835,-5.0,-1.1159049168981663
AREIA BRANCA,2010,704.232,4427,187.0,490.5,0.1590765755590693,20-50 km,inside,3.765946524064171,1.435743119266055,5.231108616854587,6.195425279005418,0.7841725406251454,0.8308496315849316,-4.0,-1.8383695854077302
AREIA BRANCA,2011,708.344,4846,167.0,386.0,0.1461708625670656,20-50 km,inside,4.241580838323354,1.8350880829015546,5.117993812416755,5.955837369464831,0.671057736187314,0.5912617220443446,-3.0,-1.9229790499759172
AREIA BRANCA,2012,984.1,5090,196.0,289.0,0.1933398821218074,20-50 km,inside,5.020918367346939,3.4051903114186852,5.278114659230517,5.666426688112432,0.8311785830010754,0.3018510406919459,-2.0,-1.643305591639629
AREIA BRANCA,2013,1454.6,5141,198.0,328.5,0.2829410620501847,20-50 km,inside,7.346464646464646,4.4280060882800605,5.288267030694535,5.794536837924666,0.8413309544650938,0.42996119050417914,-1.0,-1.2625166643350647
