year,cpue_std_gam,cpue_std_gam_min,cpue_std_gam_max,cpue_raw_mean,cpue_std_gam_idx,cpue_raw_idx,cpue_std_lmm,cpue_std_lmm_idx
2001,0.052688,0.024222,0.187127,0.0393528557672962,0.516983640658691,0.3213493947359756,0.04719,0.6524793766948442
2002,0.05597,0.025731,0.198784,0.04664039712117068,0.5491871843240763,0.3808583416095879,0.048854,0.67548691394469
2003,0.059488,0.027349,0.211278,0.10826331950717878,0.5837064002335297,0.8840616905025638,0.050576,0.6992963966034846
2004,0.063339,0.029119,0.224957,0.061536209972720704,0.621493068928045,0.5024952686029259,0.052358,0.7239354779611921
2005,0.067644,0.031098,0.240246,0.06489830983537385,0.6637344630412332,0.5299496612979374,0.054204,0.7494594645977397
2006,0.072547,0.033353,0.257662,0.05417535110320147,0.7118435351287971,0.44238762212247174,0.056115,0.7758821831581093
2007,0.078133,0.03592,0.277498,0.08311081306788,0.7666543196854217,0.6786701741115608,0.058093,0.803231286932265
2008,0.084358,0.038782,0.299609,0.09034210804848464,0.8277350812079763,0.7377198217131397,0.06014,0.8315344292101702
2009,0.091144,0.041902,0.323709,0.14522132997414808,0.894320470395455,1.1858551451995982,0.06226,0.8608469165717525
2010,0.098368,0.045223,0.349365,0.09354141093820897,0.9652035902731954,0.7638448392536548,0.064455,0.8911964023069756
2011,0.105852,0.048664,0.375946,0.08008848447664238,1.0386378744876208,0.6539903015953058,0.066727,0.9226105397058034
2012,0.113309,0.052092,0.402433,0.07034748382803774,1.1118072300978519,0.5744467817790584,0.069079,0.9551308087031817
2013,0.120357,0.055332,0.427465,0.08955091825679799,1.180963407963067,0.731259087016191,0.071514,0.9887986892340556
2014,0.126542,0.058176,0.449432,0.1300218922605329,1.241651682664593,1.06173886407175,0.074035,1.0236556612333714
2015,0.131363,0.060392,0.466553,0.13906790895908663,1.2889561567690486,1.1356072513634177,0.076644,1.0597293779910921
2016,0.134421,0.061798,0.477412,0.24733535865572057,1.3189617742366746,2.019702668360684,0.079346,1.0970889727321278
2017,0.135615,0.062347,0.481654,0.2881975277203157,1.3306775058443743,2.35337688438592,0.082143,1.1357620987464416
2018,0.134959,0.062045,0.479324,0.20212348282341194,1.3242407219795074,1.650509412869821,0.085038,1.1757902359689798
2019,0.132542,0.060934,0.470738,0.12976470593881995,1.3005247058188625,1.059638719947381,0.088036,1.2172425176246515
2020,0.128532,0.05909,0.456497,0.16036705038459523,1.2611779020107592,1.3095327790546292,0.091139,1.2601465970034202
2021,0.123354,0.05671,0.438107,0.14684755031882074,1.2103704830286246,1.1991346115376469,0.094351,1.304557780685214
2022,0.117575,0.054053,0.417583,0.15000530212194038,1.1536659495605375,1.2249203292669868,0.097677,1.3505452018949415
2023,0.111698,0.051351,0.396711,0.16007398395900266,1.0959998233809307,1.3071396434957132,0.10112,1.3981503405675493
2024,0.106144,0.048798,0.376985,0.1581967827815875,1.0415030282811286,1.2918107061060833,0.104685,1.4474423299279457
