term,x,effect,ci_lo,ci_hi
active_dm,-0.4204738697360541,-0.8274245144355925,-1.1140643990344112,-0.5407846298367738
active_dm,-0.4158539501494784,-0.8198158877260434,-1.1013128007028294,-0.5383189747492574
active_dm,-0.4112340305629027,-0.8122053873745697,-1.088725572553669,-0.5356852021954702
active_dm,-0.406614110976327,-0.8045946102993009,-1.0763102352877318,-0.53287898531087
active_dm,-0.40199419138975134,-0.7969851534183666,-1.0640743250804148,-0.5298959817563184
active_dm,-0.39737427180317564,-0.7893786136498964,-1.0520253539607405,-0.5267318733390522
active_dm,-0.39275435221659993,-0.7817765879120198,-1.0401707649479826,-0.523382410876057
active_dm,-0.38813443263002423,-0.7741806731228664,-1.028517881988459,-0.5198434642572738
active_dm,-0.3835145130434485,-0.766592466200566,-1.0170738549095772,-0.5161110774915548
active_dm,-0.3788945934568728,-0.7590135640632482,-1.005845599812551,-0.5121815283139453
active_dm,-0.3742746738702971,-0.7514455636290422,-0.9948397355546782,-0.5080513917034063
active_dm,-0.36965475428372147,-0.7438900618160783,-0.9840625172186566,-0.5037176064135
active_dm,-0.36503483469714576,-0.7363486555424855,-0.9735197677187124,-0.49917754336625864
active_dm,-0.36041491511057006,-0.7288229417263935,-0.963216808936522,-0.49442907451626505
active_dm,-0.35579499552399435,-0.7213145172859321,-0.9531583939965154,-0.4894706405753489
active_dm,-0.35117507593741865,-0.7138249791392307,-0.9433486424610742,-0.4843013158173873
active_dm,-0.346555156350843,-0.7063559242044193,-0.9337909803322191,-0.4789208680766195
active_dm,-0.3419352367642673,-0.6989089493996271,-0.9244880867705196,-0.4733298120287346
active_dm,-0.3373153171776916,-0.6914856516429835,-0.9154418493712393,-0.46752945391472767
active_dm,-0.3326953975911159,-0.6840876278526187,-0.9066533296654808,-0.4615219260397565
active_dm,-0.3280754780045402,-0.6767164749466619,-0.8981227402416292,-0.45531020965169455
active_dm,-0.3234555584179645,-0.6693737898432426,-0.8898494345197663,-0.44889814516671894
active_dm,-0.31883563883138877,-0.6620611694604908,-0.8818319097776063,-0.44229042914337524
active_dm,-0.31421571924481306,-0.6547802107165359,-0.8740678235468917,-0.4354925978861801
active_dm,-0.3095957996582374,-0.6475325105295076,-0.8665540230050525,-0.42851099805396264
active_dm,-0.3049758800716617,-0.6403196658175353,-0.8592865865111199,-0.4213527451239507
active_dm,-0.300355960485086,-0.6331432734987487,-0.8522608760087576,-0.41402567098873977
active_dm,-0.2957360408985103,-0.6260049304912774,-0.845471598669454,-0.40653826231310075
active_dm,-0.29111612131193465,-0.618906233713251,-0.838912875894753,-0.398899591531749
active_dm,-0.28649620172535895,-0.6118487800827993,-0.8325783176483885,-0.3911192425172101
active_dm,-0.28187628213878324,-0.6048341665180514,-0.8264611000486161,-0.3832072329874868
active_dm,-0.27725636255220754,-0.5978639899371373,-0.8205540442106722,-0.3751739356636024
active_dm,-0.27263644296563183,-0.5909398472581865,-0.8148496944750021,-0.3670300000413708
active_dm,-0.2680165233790561,-0.5840633353993288,-0.8093403943699145,-0.3587862764287431
active_dm,-0.2633966037924804,-0.5772360512786935,-0.804018358916469,-0.35045374364091797
active_dm,-0.2587766842059047,-0.5704595918144102,-0.7988757421675339,-0.3420434414612865
active_dm,-0.254156764619329,-0.5637355539246087,-0.7939046991625827,-0.3335664086866348
active_dm,-0.24953684503275336,-0.5570655345274185,-0.7890974417586272,-0.3250336272962097
active_dm,-0.24491692544617766,-0.5504511305409693,-0.784446288053103,-0.31645597302883555
active_dm,-0.24029700585960195,-0.5438939388833905,-0.7799437053379734,-0.3078441724288077
active_dm,-0.23567708627302625,-0.5373955564728119,-0.7755823467110321,-0.2992087662345917
active_dm,-0.23105716668645057,-0.530957580227363,-0.7713550816187765,-0.29056007883594936
active_dm,-0.22643724709987487,-0.5245816070651733,-0.7672550207164016,-0.281908193413945
active_dm,-0.22181732751329916,-0.5182692339043726,-0.7632755355073271,-0.2732629323014182
active_dm,-0.21719740792672348,-0.5120220576630905,-0.7594102732713702,-0.2646338420548108
active_dm,-0.21257748834014778,-0.5058416752594567,-0.7556531678119559,-0.25603018270695743
active_dm,-0.20795756875357208,-0.4997296836116003,-0.751998446553507,-0.2474609206696936
active_dm,-0.2033376491669964,-0.49368767963765126,-0.7484406345050848,-0.2389347247702177
active_dm,-0.1987177295804207,-0.4877172602557392,-0.7449745555797135,-0.2304599649317649
active_dm,-0.194097809993845,-0.4818200223839936,-0.7415953317243517,-0.2220447130436355
active_dm,-0.1894778904072693,-0.4759975629405442,-0.7382983802762768,-0.2136967456048115
active_dm,-0.1848579708206936,-0.47025147884352064,-0.7350794099202113,-0.20542354776683003
active_dm,-0.1802380512341179,-0.4645833670110522,-0.7319344155788072,-0.19723231844329708
active_dm,-0.17561813164754222,-0.45899482436126887,-0.7288596725285497,-0.18912997619398814
active_dm,-0.17099821206096652,-0.4534874478122999,-0.7258517299947203,-0.1811231656298795
active_dm,-0.16637829247439084,-0.4480628342822751,-0.7229074044435133,-0.17321826412103686
active_dm,-0.16175837288781514,-0.4427225806893241,-0.7200237727569982,-0.16542138862164985
active_dm,-0.15713845330123943,-0.4374682839515763,-0.7171981654476325,-0.15773840245552012
active_dm,-0.15251853371466373,-0.43230154098716156,-0.714428160043387,-0.15017492193093607
active_dm,-0.14789861412808802,-0.4272239487142093,-0.71171157475216,-0.1427363226762587
active_dm,-0.14327869454151232,-0.4222371040508492,-0.70904646249485,-0.13542774560684828
active_dm,-0.13865877495493667,-0.41734260391521083,-0.7064311053799708,-0.12825410245045082
active_dm,-0.13403885536836097,-0.4125420452254237,-0.7038640096787809,-0.12122008077206653
active_dm,-0.12941893578178526,-0.40783702489961776,-0.7013439013482881,-0.11433014845094752
active_dm,-0.12479901619520956,-0.4032291398559221,-0.6988697221398976,-0.10758855757194669
active_dm,-0.12017909660863385,-0.3987199870124667,-0.6964406263236738,-0.10099934770125957
active_dm,-0.11555917702205815,-0.3943111632873809,-0.6940559780518859,-0.09456634852287593
active_dm,-0.11093925743548244,-0.3900039674009356,-0.6917151221262678,-0.08829281267560335
active_dm,-0.10631933784890679,-0.3857962315232908,-0.6894149656756936,-0.08217749737088798
active_dm,-0.10169941826233109,-0.381683551340664,-0.687150899877951,-0.07621620280337704
active_dm,-0.09707949867575538,-0.3776614852645409,-0.68491845371022,-0.07040451681886178
active_dm,-0.09245957908917968,-0.37372559170640685,-0.6827133015555519,-0.06473788185726181
active_dm,-0.08783965950260397,-0.36987142907774706,-0.6805312440690456,-0.05921161408644848
active_dm,-0.08321973991602827,-0.3660945557900471,-0.6783681905615964,-0.05382092101849795
active_dm,-0.07859982032945262,-0.3623905302547924,-0.6762201427703607,-0.04856091773922416
active_dm,-0.07397990074287691,-0.3587549108834683,-0.6740831798974891,-0.0434266418694475
active_dm,-0.06935998115630121,-0.35518325608756013,-0.671953444810231,-0.03841306736488925
active_dm,-0.0647400615697255,-0.35167112427855324,-0.6698271313062227,-0.033515117250883686
active_dm,-0.0601201419831498,-0.34821407386793324,-0.6677004723576127,-0.028727675378253825
active_dm,-0.055500222396574095,-0.3448076632671853,-0.6655697292566948,-0.024045597277675856
active_dm,-0.05088030280999839,-0.341447450887795,-0.6634311815939479,-0.019463720181642108
active_dm,-0.04626038322342274,-0.33812899514124767,-0.6612811180068376,-0.014976872275657749
active_dm,-0.041640463636847036,-0.3348478544390286,-0.659115827644513,-0.010579881233544142
active_dm,-0.03702054405027133,-0.3315995871926234,-0.6569315922996326,-0.006267582085614121
active_dm,-0.032400624463695626,-0.32837975181351725,-0.6547246791640565,-0.00203482446297798
active_dm,-0.02778070487711992,-0.32518390671319575,-0.6524913341700895,0.002123520743698093
active_dm,-0.023160785290544217,-0.32200761030314407,-0.6502277758833868,0.006212555277098686
active_dm,-0.018540865703968568,-0.3188464209948478,-0.6479301899176031,0.010237347927907536
active_dm,-0.013920946117392863,-0.3156958971997923,-0.6455947238444011,0.014202929444816548
active_dm,-0.009301026530817158,-0.3125515973294629,-0.6432174825755936,0.01811428791666775
active_dm,-0.004681106944241453,-0.309409079795345,-0.6407945241969959,0.021976364606305976
active_dm,-6.118735766574845e-05,-0.3062639030089241,-0.6383218562360617,0.025794050218213627
active_dm,0.004558732228909956,-0.3031116253816854,-0.6357954323475847,0.029572181584213986
active_dm,0.009178651815485606,-0.29994780532511456,-0.6332111494037167,0.03331553875348764
active_dm,0.01379857140206131,-0.29676800125069674,-0.6305648449762937,0.03702884247490029
active_dm,0.018418490988637015,-0.29356777156991753,-0.6278522952010179,0.04071675206118286
active_dm,0.02303841057521272,-0.29034267469426206,-0.6250692130144218,0.04438386362589769
active_dm,0.027658330161788425,-0.28708826903521595,-0.6222112467557992,0.048034708685367244
active_dm,0.03227824974836413,-0.28380011300426466,-0.6192739791273956,0.05167375311886624
active_dm,0.036898169334939834,-0.2804737650128934,-0.6162529265072031,0.0553053964814163
active_dm,0.041518088921515484,-0.27710478347258766,-0.613143538609648,0.05893397166447273
active_dm,0.04613800850809119,-0.27368872679483275,-0.6099411984903746,0.0625637449007092
active_dm,0.05075792809466689,-0.2702211533911142,-0.6066412228922,0.06619891610997164
active_dm,0.0553778476812426,-0.2666976216729173,-0.603238862930177,0.06984361958434249
active_dm,0.0599977672678183,-0.26311369005172736,-0.5997293051145767,0.07350192501112196
active_dm,0.06461768685439401,-0.25946491693903007,-0.5961076727114911,0.07717783883343093
active_dm,0.06923760644096966,-0.25574686074631064,-0.5923690274417054,0.0808753059490841
active_dm,0.07385752602754536,-0.25195507988505444,-0.5885083715194905,0.08459821174938159
active_dm,0.07847744561412107,-0.24808513276674685,-0.584520650034056,0.08835038450056223
active_dm,0.08309736520069672,-0.24413257780287345,-0.5804007536775948,0.0921355980718479
active_dm,0.08771728478727242,-0.24009297340491942,-0.5761435218251593,0.09595757501532043
active_dm,0.09233720437384813,-0.23596187798437032,-0.5717437459730603,0.09981999000431965
active_dm,0.09695712396042383,-0.23173484995271137,-0.5671961735440924,0.1037264736386696
active_dm,0.10157704354699953,-0.22740744772142812,-0.56249551206968,0.10768061662682371
active_dm,0.10619696313357524,-0.22297522970200592,-0.5576364337610317,0.11168597435701985
active_dm,0.11081688272015094,-0.21843375430593012,-0.5526135804836144,0.11574607187175415
active_dm,0.11543680230672665,-0.2137785799446862,-0.5474215691517239,0.11986440926235148
active_dm,0.12005672189330235,-0.2090052650297595,-0.542054997562676,0.12404446750315709
