local,period,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,n_locals,cpue_ton_per_trip,cpue_per_fisherman,richness,shannon_h,simpson_1d,pielou_j,total_production_div
AREIA BRANCA,early,606.99,3644,356.0,1245.9099999999999,1,0.16657244785949507,0.4871860728303008,36,2.166256907753292,0.7868592863409869,0.6045055000285786,606.99
AREIA BRANCA,middle,8153.745999999999,27241,1121.0,3014.0,1,0.2993188943137183,2.7052906436629063,52,1.7950484295012414,0.5977779645065129,0.45429959712677465,8154.395
AREIA BRANCA,recent,30310.11639,35515,850.0,2938.7,1,0.8534454847247641,10.314124065062783,54,0.7509664916260205,0.2474046344683819,0.18826008900006266,30310.539999999997
CAICARA DO NORTE,early,2900.72,43712,1647.0,5414.09,1,0.06635980966325036,0.5357724012714971,36,2.449490531533309,0.8458859194763301,0.6835433476427013,2900.68
CAICARA DO NORTE,middle,9016.564,64695,1613.0,4635.0,1,0.13937033773861968,1.945321251348436,53,2.7825167088909892,0.8780114442689975,0.7008342886308176,9016.678499999998
CAICARA DO NORTE,recent,9902.169969999999,69382,1507.6,4720.2,1,0.1427195810152489,2.0978284754883267,54,2.9364162247752703,0.9129594703481609,0.7361313533716475,9903.060000000001
GALINHOS,early,236.29,6226,343.0,773.99,1,0.03795213620301959,0.3052881820178555,35,2.4395008031614367,0.8761950647776321,0.686149643008363,236.34000000000003
GALINHOS,middle,1308.636,25554,848.0,1220.75,1,0.051210612819910774,1.0719934466516485,49,2.8725334252532857,0.9117264388999023,0.7380950828196828,1308.5140000000001
GALINHOS,recent,1686.7127,27776,463.1,1072.6,1,0.06072554363479263,1.5725458698489654,51,2.8381542531707504,0.9043026667934917,0.7218413323187528,1688.03
GROSSOS,early,4.89,9,4.0,18.0,1,0.5433333333333333,0.27166666666666667,1,-0.0,0.0,,4.890000000000001
GROSSOS,middle,529.577,25080,496.0,624.0,1,0.021115510366826157,0.8486810897435897,50,2.6524949167630347,0.8841095381080613,0.6780366355419057,529.1567
GROSSOS,recent,495.8916,25469,224.6,532.4,1,0.019470399308963836,0.9314267468069121,46,2.4474621766388496,0.8325487403772901,0.6392508263853591,496.39
GUAMARE,early,978.54,16374,585.0,1572.39,1,0.05976181751557347,0.6223265220460572,37,2.8327185006987587,0.9128150228774056,0.7844870942038111,978.58
GUAMARE,middle,1748.2050000000002,27699,741.0,1062.25,1,0.06311437236001301,1.6457566486232056,53,2.942316388951808,0.9033345745145392,0.7410831377180501,1747.2125999999998
GUAMARE,recent,2212.29519,34319,543.1,1290.6,1,0.06446269384306069,1.7141602278010228,54,2.91549302751783,0.8960830722998478,0.730886108714562,2212.71
MACAU,early,3489.83,43016,1881.0,4744.5599999999995,1,0.08112864980472383,0.7355434434383801,38,2.2805463125565666,0.7834446293656292,0.6269394627145014,3489.8599999999997
MACAU,middle,10368.365,98539,2033.0,4025.75,1,0.10522092775449314,2.575511395392163,53,2.497082167914632,0.8354202041578689,0.6289417056189589,10367.3022
MACAU,recent,11632.49637,139049,1996.1,5286.0,1,0.08365753345942797,2.200623603859251,54,2.946648813889632,0.9168476508533727,0.7386965652137893,11632.130000000001
PORTO DO MANGUE,early,899.51,31425,557.0,1498.59,1,0.028624025457438345,0.6002375566365717,35,2.663903370708287,0.8676031668702964,0.7492665484887349,899.4300000000001
PORTO DO MANGUE,middle,3300.359,54535,1082.0,2095.0,1,0.06051818098468873,1.5753503579952266,55,3.115767371783377,0.9389713888249561,0.7775164249544743,3300.3201999999997
PORTO DO MANGUE,recent,3870.68267,52642,996.9,2478.2,1,0.07352841210440333,1.561892772980389,54,3.186725458215816,0.9406990683287896,0.7988814748358177,3870.45
TIBAU,early,2.56,4,2.0,6.0,1,,0.4266666666666667,2,0.18920898053816695,0.08935546875,0.2729708579140699,2.56
TIBAU,middle,224.903,5348,190.0,332.5,1,0.042053664921465964,0.6764,47,2.2614389294385724,0.74713881598982,0.5873642164872186,224.7344
TIBAU,recent,223.43631,7061,76.4,290.8,1,0.031643720436198834,0.7683504470426409,46,2.250196127530431,0.7703074495764369,0.5877270536733695,223.18
