municipality,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,n_locals,cpue_ton_per_trip,richness,shannon_h,simpson_1d,pielou_j,total_production_div
Areia Branca,2003,18.8,57,26.0,124.33,1,0.3298245614035088,1,-0.0,0.0,,18.8
Areia Branca,2005,117.16,846,94.0,251.27,1,0.1384869976359338,32,1.4133863298211584,0.4847140235159074,0.4078170897786476,117.16999999999999
Areia Branca,2006,38.01,633,67.0,244.16,1,0.060047393364928904,26,2.449958983425477,0.8652017640152294,0.7519602181319169,38.019999999999996
Areia Branca,2007,55.91,241,61.0,265.31,1,0.23199170124481328,19,1.9428444478746507,0.7825780767470663,0.6598351881704346,55.900000000000006
Areia Branca,2008,377.11,1867,108.0,360.84,1,0.20198714515265132,34,2.1634487819977672,0.8130112083021898,0.6135075432292207,377.1
Areia Branca,2009,841.98,2570,153.0,641.0,1,0.32761867704280156,38,2.4178979092511144,0.8338300167600219,0.6646984574608634,841.721
Areia Branca,2010,704.232,4427,187.0,490.5,1,0.15907657555906934,36,2.488047841798288,0.8338757443495074,0.6943029699377605,704.2330000000002
Areia Branca,2011,708.344,4846,167.0,386.0,1,0.14617086256706563,48,2.7836883682101097,0.8991191220768294,0.7190761627635727,708.341
Areia Branca,2012,984.1,5090,196.0,289.0,1,0.19333988212180747,42,2.26842962560489,0.758438539876981,0.6069101491765158,984.5000000000001
Areia Branca,2013,1454.6,5141,198.0,328.5,1,0.28294106205018477,35,1.6298476184281003,0.5618120202280521,0.45842139510394975,1454.7999999999997
Areia Branca,2014,1328.79,2292,101.0,389.0,1,0.5797513089005235,34,0.8755648211672755,0.27931848488405453,0.24829135167981137,1328.9
Areia Branca,2015,2131.7,2875,119.0,490.0,1,0.7414608695652173,43,0.6663853249901825,0.21034046704372178,0.1771735894109164,2131.8999999999996
Areia Branca,2016,3070.2,2705,110.0,404.0,1,1.1350092421441773,37,0.8539716275894853,0.27614669872445297,0.23649710357556533,3070.1999999999994
Areia Branca,2017,3005.0,2342,99.0,326.0,1,1.2830913748932535,34,0.8816078511895231,0.2878144770879144,0.2500050250209413,3005.7000000000003
Areia Branca,2018,2284.02,1978,109.0,390.0,1,1.1547118301314458,39,0.7354209779442157,0.30218433292713176,0.2007393484755874,2283.5
Areia Branca,2019,4065.29,5729,104.0,380.0,1,0.7095985337755281,49,0.706658836326825,0.22594420995459352,0.18157540230464617,4065.3
Areia Branca,2020,3364.9,4398,81.0,296.0,1,0.7650977717144156,49,0.5822299157193181,0.18073364960138316,0.14960349428311864,3364.9100000000008
Areia Branca,2021,4081.78639,5340,93.0,337.7,1,0.7643794737827716,49,0.7181038705077439,0.25939674046429284,0.18451619435161587,4081.7599999999998
Areia Branca,2022,3794.97,5041,111.9,320.6,1,0.7528208688752231,48,0.7611521677262685,0.27451958638495955,0.19661912816760702,3794.91
Areia Branca,2023,3747.05,4576,81.0,265.4,1,0.8188483391608392,53,0.6788204023177594,0.22931548549284897,0.17097493511766382,3747.07
Areia Branca,2024,2896.9,3406,61.1,219.0,1,0.8505284791544334,45,0.5723153774012996,0.19550347268523816,0.1503457106952056,2897.19
Caiçara do Norte,2001,202.7,5976,219.0,710.82,1,0.0339190093708166,29,2.6588505656192885,0.9076283590375515,0.7896100312724732,202.7
Caiçara do Norte,2002,305.65,5495,208.0,697.0,1,0.05562329390354868,29,2.3357122215656907,0.8472963841598449,0.6936462786446277,305.60999999999996
Caiçara do Norte,2003,332.59,5482,200.0,684.23,1,0.06066946369937978,30,2.4323704797815404,0.8472620416168744,0.7151512267108849,332.6199999999999
Caiçara do Norte,2004,421.24,6107,200.0,666.13,1,0.06897658424758474,31,2.181227900576204,0.7716464042589266,0.6351881270050431,421.22999999999996
Caiçara do Norte,2005,335.3,4930,217.0,699.5,1,0.06801217038539555,30,2.6120973157418352,0.9026570789751738,0.767993451313699,335.2999999999999
Caiçara do Norte,2006,364.5,4786,196.0,666.79,1,0.07615963226076056,32,2.3209207991684133,0.8323812305440403,0.669676185451264,364.48
Caiçara do Norte,2007,509.34,5534,208.0,654.75,1,0.09203830863751354,30,2.0913108372131073,0.760145809455636,0.6148748815604138,509.34000000000003
Caiçara do Norte,2008,429.4,5402,199.0,634.87,1,0.0794890781192151,35,2.511702772380024,0.845016108741544,0.7064576319787426,429.4
Caiçara do Norte,2009,1485.851,5082,130.0,854.5,1,0.2923752459661551,38,2.5073990020439445,0.8238460609428615,0.6893029860858465,1485.9555
Caiçara do Norte,2010,1346.424,5675,145.0,797.5,1,0.23725533039647576,37,2.9162066717825343,0.9102176104671702,0.8076081324283102,1346.4279999999999
Caiçara do Norte,2011,1257.689,10818,217.0,685.0,1,0.11625892031798854,49,2.8047266359574015,0.8913433299034277,0.720672184509398,1257.695
Caiçara do Norte,2012,1450.1,14516,406.0,571.0,1,0.09989666574813998,44,2.519468405376814,0.8085406392806619,0.6657880944428471,1450.2
Caiçara do Norte,2013,1634.4,14222,356.0,566.0,1,0.11492054563352554,37,2.5991719995948075,0.8535448353279476,0.7198092181750735,1634.4999999999998
Caiçara do Norte,2014,1081.2,6908,178.0,557.0,1,0.1565141864504922,37,2.2837981499725393,0.7950537284745939,0.6324702486244408,1081.0
Caiçara do Norte,2015,760.9,7474,181.0,604.0,1,0.10180626170725181,42,2.9234871499075687,0.9160518336039553,0.7821684227003092,760.8999999999999
Caiçara do Norte,2016,1672.6,6376,177.0,561.0,1,0.26232747804265993,38,2.741101947419425,0.8837744365791343,0.7535496967103061,1673.0000000000005
Caiçara do Norte,2017,1750.0,5230,190.0,494.0,1,0.33460803059273425,35,2.685397781458435,0.8723529098284978,0.7553122043228203,1750.4
Caiçara do Norte,2018,424.39,4084,200.0,554.0,1,0.10391527913809989,41,2.929112321149457,0.9211414284711753,0.7887587122414358,424.4
Caiçara do Norte,2019,1122.63,12633,150.0,561.0,1,0.08886487770125862,49,2.7859166252737912,0.8981578349635367,0.7158389678542656,1122.6499999999999
Caiçara do Norte,2020,999.21,8105,154.0,534.0,1,0.12328315854410858,47,2.695962650744218,0.8838152052202723,0.7002231939229538,999.2400000000001
Caiçara do Norte,2021,1250.73997,8799,138.0,509.6,1,0.14214569496533697,49,2.6254142382798706,0.8798320864837958,0.6745980125429836,1250.6999999999998
Caiçara do Norte,2022,898.67,8280,191.8,531.1,1,0.10853502415458936,46,2.960248663686694,0.9259853668528443,0.7731851477135658,898.72
Caiçara do Norte,2023,999.63,8953,140.0,539.5,1,0.11165307718083324,49,3.026077278986394,0.9331584955084997,0.7775480487769367,999.62
Caiçara do Norte,2024,784.3,6922,166.8,436.0,1,0.11330540306269864,49,3.1048258217407705,0.9425349429226735,0.7977824215696905,784.3300000000002
Galinhos,2004,40.3,814,61.0,151.49,1,0.0495085995085995,24,2.1773789595241757,0.8410313388765405,0.685129666065407,40.29
Galinhos,2005,27.3,735,74.0,162.8,1,0.037142857142857144,24,2.1218789952365826,0.836156104431187,0.6676661593879519,27.32
Galinhos,2007,20.31,828,80.0,167.41,1,0.024528985507246377,25,2.24128055872622,0.8340323665907026,0.6962929546429432,20.330000000000002
Galinhos,2008,148.38,3849,128.0,292.29,1,0.038550272798129386,35,2.416549085365813,0.871821068940214,0.6796940956474082,148.4
Galinhos,2009,207.233,3828,131.0,151.5,1,0.05413610240334378,36,2.385063302130828,0.8596598983038429,0.6655645869583116,207.303
Galinhos,2010,246.633,4718,149.0,199.0,1,0.05227490462060195,34,2.463378965657019,0.8609299036598747,0.6985612924319908,246.625
Galinhos,2011,237.15,4703,174.0,185.5,1,0.05042526047203912,44,2.7945436856898382,0.9150895117920137,0.7384787645528973,237.18599999999998
Galinhos,2012,219.5,4779,146.0,166.0,1,0.04593011090186232,38,2.865728630743064,0.9180361788884743,0.7878105163448885,219.39999999999998
Galinhos,2013,214.7,4202,132.0,252.75,1,0.05109471680152308,34,2.7745255781119798,0.9028779456751485,0.7867957795988492,214.5
Galinhos,2014,94.22,1738,60.0,139.0,1,0.05421173762945915,30,2.676524475533107,0.8970659165798929,0.7869359449598002,94.2
Galinhos,2015,89.2,1586,56.0,127.0,1,0.05624211853720051,34,2.695320481872073,0.8978605528378617,0.7643349178443557,89.3
Galinhos,2016,202.3,1388,55.0,134.0,1,0.1457492795389049,38,2.8306678497303013,0.9098830875421227,0.7781720419629099,202.89999999999998
Galinhos,2017,204.0,1144,58.0,126.0,1,0.17832167832167833,29,2.646198014751523,0.9020657812635866,0.785852550045225,204.6
Galinhos,2018,75.99,899,53.0,119.0,1,0.08452725250278086,31,2.434971722951094,0.8650658501148276,0.7090800221301834,75.9
Galinhos,2019,222.479,3526,53.0,130.0,1,0.06309671015314805,44,2.687636613434003,0.905961740975153,0.7102277828109648,222.49000000000004
Galinhos,2020,179.61,3502,50.0,112.0,1,0.05128783552255854,40,2.3144186955888015,0.8476128882619887,0.6274042631042607,179.64
Galinhos,2021,194.2537,4381,49.0,116.9,1,0.04434003652134216,41,2.382558663954082,0.8468077564602661,0.6415813726400997,194.25
Galinhos,2022,197.49,4382,46.8,111.0,1,0.045068461889548155,41,2.374489738189939,0.844615689244626,0.639408552072946,197.54999999999998
Galinhos,2023,232.49,4754,50.0,114.7,1,0.048904080774084986,43,2.333883079001294,0.8454488607377072,0.620515528876859,232.51000000000002
Galinhos,2024,178.1,3800,48.3,109.0,1,0.04686842105263158,43,2.509357564309011,0.8701721355742854,0.6671693840055856,178.18999999999997
Grossos,2003,0.82,3,1.0,5.0,1,,1,-0.0,0.0,,0.8200000000000001
Grossos,2005,2.77,4,2.0,8.0,1,,1,-0.0,0.0,,2.77
Grossos,2007,1.3,2,1.0,5.0,1,,1,-0.0,0.0,,1.3
Grossos,2009,72.139,1051,43.0,116.0,1,0.06863843958135109,35,2.856776889941626,0.9268829018966471,0.8035153916111548,72.00970000000001
Grossos,2010,108.012,4398,92.0,103.5,1,0.024559345156889494,30,2.7891788966772135,0.9228643195739656,0.8200579336310525,108.017
Grossos,2011,103.226,4275,137.0,112.0,1,0.024146432748538012,44,2.4093327794650836,0.8437380748674352,0.636683943603109,103.22999999999999
Grossos,2012,97.0,5787,78.0,84.5,1,0.016761707274926558,31,2.4864182206965997,0.857365446349293,0.7240615857418099,96.8
Grossos,2013,78.7,4730,73.0,50.0,1,0.016638477801268498,25,2.3450420840000024,0.8397223625980635,0.7285282849008387,78.7
Grossos,2014,35.9,2514,37.0,78.0,1,0.01428003182179793,22,2.2258684260794848,0.8026269331261917,0.7201028325124269,35.7
Grossos,2015,34.6,2325,36.0,80.0,1,0.014881720430107527,24,1.940858386881923,0.755657799666138,0.6107065803443078,34.7
Grossos,2016,75.0,2281,34.0,79.0,1,0.03288031565103025,26,2.203807789618373,0.8033753961068356,0.6764096041661988,75.2
Grossos,2017,75.0,1482,43.0,89.0,1,0.05060728744939271,25,2.235841351984588,0.8156728888888888,0.694603170060509,75.0
Grossos,2018,17.77,682,25.0,59.0,1,0.026055718475073313,17,1.9753863962417315,0.7600262164102245,0.6972247255526608,17.900000000000002
Grossos,2019,34.307,14632,21.0,53.0,1,0.0023446555494805905,33,2.483226352737632,0.851856040933049,0.7102019112168415,34.33
Grossos,2020,176.07,1280,17.0,46.0,1,0.1375546875,36,1.154284983740924,0.3895564861867694,0.32210935774717164,176.09999999999997
Grossos,2021,28.3846,1219,20.0,52.5,1,0.02328515176374077,30,2.430223282379565,0.8442914510641581,0.7145199203910717,28.369999999999997
Grossos,2022,30.37,1343,24.1,47.3,1,0.02261355174981385,31,2.294389096138491,0.8147318476250024,0.6681414226418139,30.52
Grossos,2023,33.19,1437,17.0,54.6,1,0.02309672929714683,32,2.625192418085981,0.894175354748528,0.7574704165903903,33.19
Grossos,2024,25.8,1113,23.5,52.0,1,0.02318059299191375,26,2.526958153094481,0.8706525526911788,0.775593394365474,25.780000000000005
Guamaré,2001,42.64,1047,57.0,156.8,1,0.04072588347659981,24,2.384619098020554,0.8708095984800449,0.7503394295116382,42.63
Guamaré,2002,73.38,2007,76.0,204.9,1,0.03656203288490284,25,2.4996653340956914,0.8837768295867053,0.7765646983906384,73.39
Guamaré,2003,67.68,1770,74.0,189.48,1,0.038237288135593225,27,2.5870490941252644,0.8740203836501818,0.7849445222274136,67.67
Guamaré,2004,149.06,3070,85.0,215.33,1,0.04855374592833876,29,2.693898848057365,0.8993459239329198,0.8000184670641742,149.06000000000003
Guamaré,2005,82.16,1687,72.0,184.08,1,0.048701837581505626,31,2.675524663860611,0.886170306736173,0.7791306445073809,82.19
Guamaré,2006,48.93,1224,50.0,158.87,1,0.039975490196078434,29,2.56598365318141,0.8744988229819706,0.7620309538386228,48.919999999999995
Guamaré,2007,51.93,1025,51.0,163.13,1,0.05066341463414634,32,2.623099975027488,0.87985129608836,0.7568666651456242,51.94
Guamaré,2008,462.76,4544,120.0,299.8,1,0.10183978873239437,37,2.548274034021034,0.8701793329120402,0.7057136428102762,462.78000000000003
Guamaré,2009,438.737,4440,134.0,176.5,1,0.09881463963963964,38,2.5147056615108836,0.8714518139667161,0.6913116421412919,438.61659999999995
Guamaré,2010,364.437,4796,127.0,168.5,1,0.07598769808173478,39,2.7599136364050496,0.8975173292842039,0.7533416666594783,364.44800000000004
Guamaré,2011,346.651,4404,139.0,157.0,1,0.07871276112624886,49,2.9289947454735255,0.9129517789350902,0.7526027722542773,346.64799999999997
Guamaré,2012,183.8,4293,111.0,137.0,1,0.042813883065455395,40,2.6106160261745015,0.8668595897066838,0.7076989255539574,183.29999999999998
Guamaré,2013,195.0,4401,104.0,127.25,1,0.04430811179277437,36,2.7848760310568546,0.8803844606006577,0.7771344532803459,194.60000000000002
Guamaré,2014,102.38,2535,62.0,141.0,1,0.04038658777120315,36,2.789965671932962,0.9038829268292683,0.7785547446094886,102.5
Guamaré,2015,117.2,2830,64.0,155.0,1,0.041413427561837454,43,2.7765938755335005,0.8881064670615887,0.73822019305705,117.1
Guamaré,2016,228.4,2482,59.0,140.0,1,0.09202256244963739,40,2.8445338064145096,0.8958360888333113,0.7711105341873424,228.90000000000003
Guamaré,2017,230.0,2266,65.0,137.0,1,0.10150044130626655,35,2.734268542603513,0.8936056710775047,0.7690579080626125,230.0
Guamaré,2018,111.81,2051,65.0,152.0,1,0.05451487079473428,41,2.612124301598252,0.8758015819647365,0.703399383310323,111.70000000000002
Guamaré,2019,296.318,8084,60.0,147.0,1,0.03665487382483919,51,2.7560414221089986,0.8682655593308197,0.700957183647883,296.37
Guamaré,2020,188.79,3756,57.0,136.0,1,0.050263578274760384,48,2.9203945945755883,0.9116924503304746,0.7543898098669602,188.77999999999997
Guamaré,2021,203.42719,3347,52.0,134.9,1,0.060778963250672245,48,2.7759931749450444,0.8884892926601502,0.7170883576241902,203.44000000000003
Guamaré,2022,342.24,4387,71.6,164.9,1,0.07801230909505356,46,2.4759024313336386,0.7967803827985338,0.6466791153655883,342.13999999999993
Guamaré,2023,403.91,4467,57.0,155.8,1,0.09042086411461832,48,2.412108345385732,0.8172196438681827,0.6230904410773631,403.89
Guamaré,2024,207.4,3479,56.5,123.0,1,0.059614831848232255,46,2.4194518646152066,0.8489364819626999,0.6319348338117718,207.49
Macau,2001,224.49,3574,208.0,516.8,1,0.06281197537772804,26,1.848491862513716,0.6775569280480007,0.5673533122613472,224.49
Macau,2002,252.67,3481,213.0,565.79,1,0.07258546394714162,28,2.071867831857363,0.7561614297901966,0.6217709103780147,252.65000000000006
Macau,2003,377.68,4319,218.0,553.71,1,0.08744616809446631,29,1.852950895556729,0.6829263150701766,0.5502786179508832,377.68
Macau,2004,688.09,6039,235.0,666.29,1,0.1139410498426892,29,1.696818809376449,0.6335993159269693,0.50391141588034,688.1
Macau,2005,390.76,5826,254.0,553.88,1,0.06707174733951253,34,2.3855253444649223,0.8423452095609681,0.6764836799336003,390.7900000000001
Macau,2006,216.66,3454,199.0,504.59,1,0.06272727272727273,33,2.5331876669435234,0.8539902294477737,0.724490830467723,216.68
Macau,2007,369.66,4853,247.0,617.58,1,0.07617144034617762,35,2.3327637137377253,0.8087321411097798,0.656128084618663,369.67
Macau,2008,969.82,11470,307.0,765.92,1,0.08455274629468178,37,2.531335561533827,0.8539234908678043,0.7010227379221051,969.8
Macau,2009,2406.311,13518,295.0,685.0,1,0.17800791537209648,38,1.9785299001010799,0.6953745978422134,0.5439128623278856,2406.3902
Macau,2010,2081.226,18778,432.0,723.0,1,0.11083320907444882,37,1.966509935520951,0.7147690207431001,0.5446011189107601,2081.1380000000004
Macau,2011,1752.678,15919,248.0,584.0,1,0.1100997550097368,48,2.3455982786988923,0.8267991346653575,0.6059097091806122,1752.674
Macau,2012,1086.1,15622,366.0,482.5,1,0.06952374855972346,46,2.8383234624788622,0.9047568152945528,0.7413395950536488,1085.3000000000002
Macau,2013,1470.3,16881,340.0,509.25,1,0.08709792073929269,41,2.6413631585904525,0.8807608911220095,0.7112728960541188,1470.2999999999997
Macau,2014,818.85,7897,170.0,507.0,1,0.10369127516778524,39,2.7664589329765312,0.9041446883865508,0.755128260472741,818.7
Macau,2015,752.9,9924,182.0,535.0,1,0.07586658605401048,45,2.583258934389629,0.854620257238721,0.6786151757166928,752.8
Macau,2016,1466.0,10102,199.0,521.0,1,0.14511977826173034,43,2.8450556190799334,0.9133349109579033,0.7564222938335488,1466.6999999999998
