platform_exposure_class,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,n_locals,cpue_ton_per_trip,richness,shannon_h,simpson_1d,pielou_j,total_production_div
0-20 km,2001,267.13,4621,265.0,673.5999999999999,2,0.05780783380220731,28,2.0784188933278527,0.7524728738323645,0.623736894593715,267.11999999999995
0-20 km,2002,326.04999999999995,5488,289.0,770.6899999999999,2,0.059411443148688035,29,2.4069352427323634,0.8349416273331001,0.714797678688668,326.04
0-20 km,2003,445.36,6089,292.0,743.19,2,0.07314173099031039,31,2.1295527006742656,0.757021044865277,0.6201399637985975,445.35
0-20 km,2004,837.1500000000001,9109,320.0,881.62,2,0.09190361181249315,31,2.0649208180719505,0.7335855740976878,0.6013187280881385,837.1600000000001
0-20 km,2005,472.91999999999996,7513,326.0,737.96,2,0.06294689205377345,35,2.5935132525948785,0.8740354187454844,0.7294681723815245,472.9799999999999
0-20 km,2006,265.59,4678,249.0,663.46,2,0.05677426250534416,34,2.6973160306696866,0.8837894282325084,0.7649008125631979,265.59999999999997
0-20 km,2007,421.59000000000003,5878,298.0,780.71,2,0.07172337529772031,36,2.517798950239805,0.8429147054036521,0.7026051748242051,421.61
0-20 km,2008,1432.58,16014,427.0,1065.72,2,0.08945797427251155,37,2.7829008206439374,0.903845188307207,0.7706906908349125,1432.5800000000002
0-20 km,2009,2845.0480000000002,17958,429.0,861.5,2,0.15842788729257157,39,2.2192555286841316,0.7655343928123468,0.6057644835944427,2845.0067999999997
0-20 km,2010,2445.663,23574,559.0,891.5,2,0.10374408246373124,39,2.21244958416106,0.7717433912288931,0.603906743728031,2445.586
0-20 km,2011,2099.329,20323,387.0,741.0,2,0.10329818432318064,52,2.604385741626696,0.8630035682131318,0.6591306249673002,2099.3219999999997
0-20 km,2012,1269.8999999999999,19915,477.0,619.5,2,0.06376600552347476,47,2.899930382805466,0.9108656413441396,0.7531997946046147,1268.6000000000001
0-20 km,2013,1665.3,21282,444.0,636.5,2,0.07824922469692698,42,2.7542901747032906,0.8953877102881797,0.7369003833913702,1664.8999999999999
0-20 km,2014,921.23,10432,232.0,648.0,2,0.08830809049079755,39,2.831088825820972,0.9108802277759248,0.7727695339347881,921.1999999999999
0-20 km,2015,870.1,12754,246.0,690.0,2,0.06822173435784852,47,2.72461290365062,0.87751737250316,0.7076645327676457,869.9000000000001
0-20 km,2016,1694.4,12584,258.0,661.0,2,0.1346471710108074,43,2.9225951162281234,0.9208293285464548,0.7770379204322658,1695.6
0-20 km,2017,1763.0,11428,273.0,618.0,2,0.15427021351067555,38,2.7563616678981253,0.9070964492910933,0.7577447095041331,1762.5999999999997
0-20 km,2018,707.1099999999999,10272,278.0,710.0,2,0.06883859034267911,48,2.7479025776316948,0.890184452465983,0.7098320572579218,706.3
0-20 km,2019,1940.234,31153,291.0,808.0,2,0.06228080762687382,53,2.8780093514818623,0.8990596769639294,0.724886082471195,1940.26
