local,year,Agulha,Agulhao,Albacora,Albacorinha,Arabaiana,Ariaco,Arraia,Bagre,Beijupira,Bicuda,Biquara,Bonito,Budiao,Buzios,Caico,Camarao,Camurim,Camurupim,Cangulo,Caranguejo,Carapeba,Carauna,Cavala,Caçao,Cioba,Cururuca,Dentao,Dourado,Espada,Galo Do Alto,Garabebeu,Garajuba,Garoupa,Guaiuba,Lagosta,Marisco,Outros,Ova Voador,Pampo,Pargo,Paru,Peixe Galo,Peixe Voador,Pescada,Pirauna,Polvo,Salema,Saramunete,Sardinha,Serra,Siri,Sirigado,Tainha,Tilapia,Ubarana,Xareu
AREIA BRANCA,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AREIA BRANCA,2005,0.1,0.66,0.13,0.0,0.78,2.41,4.04,0.29,0.0,0.0,0.61,0.29,0.0,0.0,0.43,0.39,0.04,0.16,0.22,0.0,0.0,0.0,1.04,2.41,3.52,0.06,1.36,0.68,0.0,0.0,0.0,6.4,0.04,1.84,83.53999999999999,0.0,0.79,0.0,0.0,0.91,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.14,1.07,0.0,1.08,0.1,0.0,0.0,0.6000000000000001
AREIA BRANCA,2006,0.97,0.08,0.0,0.0,0.1,1.96,0.53,0.29,0.0,0.0,0.38,0.05,0.0,0.0,0.38,2.03,0.06,0.0,0.06,0.0,0.0,0.0,1.25,0.98,5.02,0.01,1.95,0.62,0.0,0.0,0.0,1.05,0.0,0.72,10.89,0.0,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.38,0.0,2.51,0.0,0.0,0.0,0.3
AREIA BRANCA,2007,18.62,0.0,0.0,0.0,0.0,3.86,0.28,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.92,0.89,3.11,0.0,0.28,0.68,0.0,0.0,0.0,2.91,3.58,1.77,16.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.51,0.0,0.56,0.0,0.0,0.0,0.04
AREIA BRANCA,2008,53.29,0.43,0.84,0.0,2.06,15.95,2.21,1.89,0.0,0.0,0.3,2.06,0.09,0.0,2.95,94.42,0.19,0.83,0.0,0.09,0.28,0.0,6.0,6.86,17.48,1.23,2.1,2.01,0.0,0.0,0.0,7.87,2.15,3.68,116.83,0.0,1.46,0.0,0.0,1.43,0.0,0.0,0.0,0.87,0.0,0.0,2.73,0.0,0.0,6.76,0.0,19.17,0.02,0.0,0.0,0.5700000000000001
AREIA BRANCA,2009,0.8248,2.7233,295.8456,2.4862,0.7078,62.1172,5.144,3.7408,0.0,0.0,5.637099999999999,5.9487,0.1636,0.0,23.5854,122.708,4.4671,0.1416,0.0209,0.0,4.9691,0.0,14.0122,15.3729,32.2527,15.0659,1.6801,4.7082,0.0,0.0,0.0,38.2889,1.2509,11.6065,76.1594,0.0,7.694699999999999,0.0,0.0,0.7988,0.0,0.0,0.02,12.9518,0.0,0.0001,17.1791,0.0,0.3176,22.7326,0.0,18.3837,7.411300000000001,0.0,0.0,2.6024
AREIA BRANCA,2010,5.514,4.834,256.01,0.647,1.621,34.119,7.334,7.043,0.0,0.0,4.920999999999999,7.086,0.146,0.0,57.981,11.419,3.877,1.951,0.096,0.0,2.864,0.0,18.679,16.47,19.297,28.441,2.208,6.002,0.0,0.0,0.0,20.076,1.046,12.628,85.34899999999999,0.0,10.45,0.0,0.0,0.888,0.0,0.0,0.0,8.02,0.0,0.0,7.878,0.0,0.211,43.806,0.0,6.638,5.261,0.0,0.0,3.422
AREIA BRANCA,2011,9.581,1.367,127.828,0.0,3.217,54.133,7.479,8.413,1.999,0.895,16.231,10.751,0.217,0.009,21.809,7.577,5.09,4.807,0.408,0.0,3.891,0.033,8.115,13.395,23.859,35.832,2.616,4.64,2.742,0.0,0.006,20.065,2.749,11.41,109.562,0.0,119.883,0.0,1.072,3.034,6.191,0.519,0.0,6.423999999999999,0.01,0.084,2.523,0.001,0.185,29.689,0.256,6.236,6.313,0.0,0.0,5.195
AREIA BRANCA,2012,9.3,2.6,453.8,0.0,7.6,49.5,7.1,8.9,1.7,2.1,18.2,11.1,0.3,0.0,26.5,0.8,5.1,1.2,1.6,0.0,2.3,0.0,18.7,10.7,26.3,27.6,8.700000000000001,9.4,2.8,0.0,0.1,21.1,1.7,13.3,142.1,0.0,9.8,0.0,0.3,5.2,7.199999999999999,2.0,0.0,9.1,0.0,0.0,1.5,0.0,0.6,27.5,0.0,14.6,4.1,0.0,0.0,10.4
AREIA BRANCA,2013,10.2,0.0,950.7,0.0,3.7,63.90000000000001,10.8,5.4,0.0,0.0,11.0,10.8,0.0,0.0,14.3,0.9,4.9,2.7,0.0,0.0,3.1,0.0,10.2,9.2,40.6,17.7,14.6,8.7,12.9,1.5,0.0,23.8,0.4,8.9,113.3,0.0,24.8,0.0,0.0,1.1,4.1,0.0,0.0,9.9,0.0,0.0,1.7,0.0,0.1,41.09999999999999,0.1,14.7,3.0,0.0,0.0,0.0
AREIA BRANCA,2014,4.5,0.0,1126.9,0.0,1.4,17.0,2.6,3.6,0.0,0.0,3.5,17.7,0.0,0.0,7.5,0.1,2.3,2.5,0.0,0.0,2.6,0.0,5.4,5.3,16.3,8.7,1.4,8.1,0.1,0.0,0.0,12.2,0.1,6.5,29.9,0.0,12.0,0.0,0.0,1.2,1.4,0.7,0.0,3.2,0.0,0.0,1.3,0.0,0.1,18.7,0.0,3.0,1.1,0.0,0.0,0.0
AREIA BRANCA,2015,12.1,1.3,1893.1,0.0,1.7,11.1,6.2,1.5,0.2,0.3,0.6,37.8,0.1,0.0,2.2,0.0,0.8,1.9,0.6,0.0,1.3,0.1,5.8,2.6,11.8,4.7,1.9,24.0,0.1,0.0,0.0,13.2,0.5,10.9,44.5,0.0,16.8,0.0,0.0,0.9,3.3,1.6,0.0,6.1,0.0,0.1,1.2,0.0,0.1,4.6,0.1,1.9,1.6,0.0,0.5,0.2
AREIA BRANCA,2016,9.5,0.0,2608.6,0.0,3.7,33.4,7.2,4.8,0.0,0.0,6.1,45.2,0.0,0.0,12.0,0.4,3.0,1.7,0.0,0.0,3.7,0.0,10.1,7.6,32.0,13.3,3.2,28.6,2.2,0.0,0.1,27.5,0.7,14.7,98.4,0.0,31.9,0.0,0.0,2.9,3.3,2.1,0.0,11.7,0.0,0.1,2.4,0.0,0.2,26.4,0.1,6.2,5.2,0.0,0.0,0.0
AREIA BRANCA,2017,4.7,0.0,2533.0,0.0,3.2,32.0,0.0,9.4,0.0,0.0,4.4,47.6,0.0,0.0,6.5,0.3,3.2,3.3,0.0,0.0,3.3,0.0,10.4,8.3,0.0,14.5,7.0,22.0,0.0,0.0,0.0,33.7,0.4,10.1,77.5,0.1,41.8,0.0,0.0,3.1,3.7,2.1,26.7,0.0,0.0,0.1,1.9,0.0,12.2,58.6,0.1,8.3,12.2,0.0,0.0,0.0
AREIA BRANCA,2018,0.3,0.8,1890.7,0.0,0.5,4.4,4.8,0.9,0.2,1.0,0.3,247.3,0.5,0.0,4.4,0.0,0.3,1.5,1.3,0.0,0.1,0.0,6.5,1.2,6.3,1.0,0.4,18.4,0.0,0.0,0.0,7.8,0.0,3.4,14.8,0.0,42.8,0.0,0.1,0.4,0.1,0.9,0.0,7.3,0.0,0.0,0.2,0.0,0.1,9.6,0.0,2.2,0.3,0.0,0.1,0.3
AREIA BRANCA,2019,10.65,10.8,3572.65,0.0,21.2,25.4,14.89,3.08,0.57,4.16,5.52,142.5,2.54,0.0,6.57,0.0,1.71,2.05,1.29,0.0,1.58,0.86,15.39,3.56,24.31,9.16,1.26,25.63,1.78,0.0,0.05,14.21,0.04,10.95,17.7,0.02,64.22,0.01,0.61,2.01,2.14,4.74,0.0,10.82,0.11,0.12,4.55,0.33,0.29,14.21,0.21,6.36,1.17,0.0,0.09,1.23
AREIA BRANCA,2020,9.53,0.07,3044.08,0.0,1.73,24.65,13.83,1.32,0.41,2.68,4.02,64.65,1.51,0.0,4.36,0.0,0.91,0.98,0.27,0.05,0.88,0.75,11.71,3.64,20.98,4.8,0.9,12.49,0.67,0.0,0.04,18.42,0.14,9.32,25.17,0.01,52.61,0.91,0.75,1.99,0.22,5.64,0.0,2.66,0.02,0.14,4.32,0.0,0.05,3.22,0.08,4.38,0.84,0.0,0.04,2.07
AREIA BRANCA,2021,6.89,0.0,3501.67,0.0,1.25,31.47,12.06,0.84,0.13,1.42,13.2,255.05,17.45,0.0,7.85,0.02,0.7,0.48,0.3,0.0,1.15,4.54,9.87,3.2,24.16,2.1,0.75,14.68,0.03,0.0,0.09,7.18,0.09,35.42,21.98,0.08,88.2,0.47,0.46,0.78,0.57,4.9,0.0,2.24,0.23,0.06,1.44,0.57,0.11,2.31,0.01,1.02,0.62,0.0,0.03,1.64
AREIA BRANCA,2022,7.47,0.0,3220.47,0.0,1.18,25.77,8.03,0.63,0.17,0.96,14.63,254.65,18.29,0.13,14.94,0.0,1.0,1.0,0.13,0.1,1.7,3.55,10.8,1.9,23.7,3.3,0.9,12.5,0.5,0.0,0.0,9.3,0.1,23.8,18.3,0.0,90.22,0.35,0.91,1.8,2.4,4.11,0.0,2.93,0.0,0.3,4.27,0.91,0.53,1.7,0.12,1.39,0.94,0.01,0.36,1.76
AREIA BRANCA,2023,35.29,0.03,3284.65,0.0,54.6,14.88,6.98,0.79,0.08,1.49,2.11,144.38,1.89,0.34,4.7,0.02,0.84,3.05,0.11,0.02,1.9,0.11,10.41,2.11,16.93,2.25,1.58,13.0,0.7,0.0,0.11,12.48,0.17,14.49,21.08,0.01,71.15,0.0,1.3,0.78,0.38,3.92,0.03,2.2,0.02,0.07,3.27,0.02,0.76,3.37,0.19,2.18,1.05,0.02,0.12,2.66
