local,species,tau,p,sens_slope,n,combined_class,mean_rel_abund,sig
CAICARA DO NORTE,Lagosta,-0.319,0.0298,-0.001518,24,20-50 km × 25-50 km,0.06037,*
CAICARA DO NORTE,Tainha,-0.116,0.4379,-2.4e-06,24,20-50 km × 25-50 km,0.00299,
CAICARA DO NORTE,Caico,-0.225,0.1313,-0.0008526,24,20-50 km × 25-50 km,0.03139,
CAICARA DO NORTE,Peixe Voador,-0.319,0.0298,-0.0096867,24,20-50 km × 25-50 km,0.26772,*
CAICARA DO NORTE,Sardinha,0.138,0.3627,1.92e-05,24,20-50 km × 25-50 km,0.00405,
CAICARA DO NORTE,Outros,-0.681,0.0,-0.0043836,24,20-50 km × 25-50 km,0.05918,***
CAICARA DO NORTE,Ariaco,0.667,0.0,0.0010192,24,20-50 km × 25-50 km,0.01816,***
CAICARA DO NORTE,Serra,0.051,0.7498,0.0002714,24,20-50 km × 25-50 km,0.04595,
CAICARA DO NORTE,Guaiuba,0.5,0.0004,0.0015151,24,20-50 km × 25-50 km,0.02668,***
CAICARA DO NORTE,Agulha,0.297,0.0436,0.0019071,24,20-50 km × 25-50 km,0.08041,*
CAICARA DO NORTE,Buzios,0.428,0.0111,0.0,24,20-50 km × 25-50 km,4e-05,*
CAICARA DO NORTE,Albacora,-0.152,0.3128,-0.0004465,24,20-50 km × 25-50 km,0.02647,
GALINHOS,Lagosta,0.355,0.0294,0.0001618,20,20-50 km × 10-25 km,0.00553,*
GALINHOS,Tainha,0.274,0.0983,0.0051644,20,20-50 km × 10-25 km,0.20966,.
GALINHOS,Caico,-0.453,0.0047,-0.0029069,20,20-50 km × 10-25 km,0.1183,**
GALINHOS,Peixe Voador,-0.726,0.0,-0.0077586,20,20-50 km × 10-25 km,0.05874,***
GALINHOS,Sardinha,-0.484,0.0024,-0.0030723,20,20-50 km × 10-25 km,0.04352,**
GALINHOS,Outros,-0.463,0.0038,-0.0043876,20,20-50 km × 10-25 km,0.07155,**
GALINHOS,Ariaco,-0.147,0.3859,-0.0001833,20,20-50 km × 10-25 km,0.01243,
GALINHOS,Serra,0.337,0.0398,0.0015445,20,20-50 km × 10-25 km,0.0324,*
GALINHOS,Guaiuba,-0.421,0.0091,-0.0031856,20,20-50 km × 10-25 km,0.06512,**
GALINHOS,Agulha,0.042,0.8075,0.0,20,20-50 km × 10-25 km,0.00236,
GALINHOS,Buzios,0.74,0.0,0.0098068,20,20-50 km × 10-25 km,0.06876,***
GALINHOS,Albacora,-0.242,0.1458,-0.0001532,20,20-50 km × 10-25 km,0.01714,
GROSSOS,Lagosta,-0.413,0.0141,-0.0149932,19,20-50 km × 10-25 km,0.31759,*
GROSSOS,Tainha,0.342,0.042,0.0116475,19,20-50 km × 10-25 km,0.20759,*
GROSSOS,Caico,0.366,0.0297,0.0021614,19,20-50 km × 10-25 km,0.04439,*
GROSSOS,Peixe Voador,-0.094,0.6208,0.0,19,20-50 km × 10-25 km,7e-05,
