local,species,tau,p,sens_slope,n,mean_rel_abund,sig
AREIA BRANCA,Albacora,0.753,0.0,0.0517486,21,0.54914,***
AREIA BRANCA,Lagosta,-0.819,0.0,-0.0168125,21,0.15887,***
AREIA BRANCA,Agulha,-0.2,0.2186,-0.0004313,21,0.02737,
AREIA BRANCA,Ariaco,-0.438,0.005,-0.0020343,21,0.02645,**
AREIA BRANCA,Outros,0.473,0.0028,0.000909,21,0.02585,**
AREIA BRANCA,Bonito,0.788,0.0,0.0020885,21,0.02343,***
AREIA BRANCA,Cioba,-0.52,0.001,-0.0023784,21,0.02299,***
AREIA BRANCA,Camarao,-0.471,0.0042,-8.48e-05,21,0.02293,**
AREIA BRANCA,Garajuba,-0.619,0.0,-0.0018559,21,0.01682,***
AREIA BRANCA,Serra,-0.352,0.0262,-0.0006473,21,0.01379,*
AREIA BRANCA,Caico,-0.362,0.0221,-0.0004578,21,0.01133,*
AREIA BRANCA,Sirigado,-0.524,0.0006,-0.0006639,21,0.01023,***
