mpa_exposure_class,species,mean_species_share,rank
0-10 km,Sardinha,0.24421217993069153,1.0
0-10 km,Tainha,0.11974581227558052,2.0
0-10 km,Buzios,0.10851846115142572,3.0
0-10 km,Peixe Voador,0.07408856058323941,4.0
0-10 km,Outros,0.05592479711157359,5.0
0-10 km,Ova Voador,0.05242335540077773,6.0
0-10 km,Caico,0.046385595141580284,7.0
0-10 km,Serra,0.041980303975472116,8.0
0-10 km,Guaiuba,0.03807141694606331,9.0
0-10 km,Marisco,0.03576815907639508,10.0
0-10 km,Agulha,0.03145655836413893,11.0
0-10 km,Dourado,0.02816141418543834,12.0
0-10 km,Carapeba,0.01939779976480154,13.0
0-10 km,Caranguejo,0.0179965360682012,14.0
0-10 km,Bagre,0.014226218218320416,15.0
0-10 km,Xareu,0.01299409942207573,16.0
0-10 km,Ariaco,0.012754988967001312,17.0
0-10 km,Cururuca,0.012688064752511486,18.0
0-10 km,Garajuba,0.011985451050062192,19.0
0-10 km,Espada,0.011868248067884108,20.0
10-25 km,Tainha,0.21335468301443833,1.0
10-25 km,Caico,0.10463562827685927,2.0
10-25 km,Lagosta,0.09212030122373105,3.0
10-25 km,Buzios,0.08136965550188634,4.0
10-25 km,Outros,0.06250747801236242,5.0
10-25 km,Guaiuba,0.05469254894550811,6.0
10-25 km,Peixe Voador,0.05044785003520025,7.0
10-25 km,Ova Voador,0.04259129846054523,8.0
10-25 km,Albacora,0.0374152976445805,9.0
10-25 km,Sardinha,0.036620395156122997,10.0
10-25 km,Dourado,0.03237933447058575,11.0
10-25 km,Marisco,0.03123982298132875,12.0
10-25 km,Espada,0.02925624534242238,13.0
10-25 km,Serra,0.028558533196821563,14.0
10-25 km,Carapeba,0.020349449455160044,15.0
10-25 km,Garabebeu,0.0198995334124659,16.0
10-25 km,Pescada,0.019299084236509948,17.0
10-25 km,Cururuca,0.01707415132969979,18.0
10-25 km,Xareu,0.015284128778224706,19.0
10-25 km,Ariaco,0.014889758653857285,20.0
25-50 km,Peixe Voador,0.263809994822001,1.0
25-50 km,Ova Voador,0.10580371315353673,2.0
25-50 km,Dourado,0.07998582755081453,3.0
25-50 km,Agulha,0.07908942835782568,4.0
25-50 km,Lagosta,0.06762277534055253,5.0
25-50 km,Outros,0.05875627695870875,6.0
25-50 km,Serra,0.045540231995123526,7.0
25-50 km,Caico,0.032667250255452654,8.0
25-50 km,Garajuba,0.027567357871671597,9.0
25-50 km,Sirigado,0.026480284769349837,10.0
25-50 km,Guaiuba,0.02627722116454048,11.0
25-50 km,Albacora,0.026196980212346257,12.0
25-50 km,Cioba,0.025176980372806503,13.0
25-50 km,Biquara,0.021688868290620018,14.0
25-50 km,Bonito,0.01938165189473588,15.0
25-50 km,Ariaco,0.01896130807037853,16.0
25-50 km,Pargo,0.015352544900480845,17.0
25-50 km,Cavala,0.01437809691953477,18.0
25-50 km,Cururuca,0.014378012339722511,19.0
25-50 km,Agulhao,0.013064231664191638,20.0
inside,Albacora,0.42861606055390344,1.0
inside,Lagosta,0.10638616085106879,2.0
inside,Camarao,0.07632911756775262,3.0
inside,Ariaco,0.0460546488927468,4.0
inside,Outros,0.03697722113727172,5.0
inside,Caico,0.02802377341307708,6.0
inside,Tainha,0.02459728634277993,7.0
inside,Cioba,0.022745005462778592,8.0
inside,Bonito,0.02150788500059476,9.0
inside,Arraia,0.020416362546876052,10.0
inside,Cavala,0.019888843273466475,11.0
inside,Agulha,0.01701335164023615,12.0
inside,Guaiuba,0.016429520117797504,13.0
inside,Garajuba,0.015866488050221138,14.0
inside,Serra,0.014370288848326744,15.0
inside,Pescada,0.014286184316411127,16.0
inside,Carapeba,0.013358902225112738,17.0
inside,Camurim,0.011083588536191605,18.0
inside,Cururuca,0.010431340386755335,19.0
inside,Dourado,0.009732036167557264,20.0
