dominant_propulsion,year,species,sp_production_ton,total_production_ton,species_share
sail/row,2021,Caico,3.29,12.82,0.25663026521060844
sail/row,2021,Ariaco,1.9,12.82,0.14820592823712947
sail/row,2021,Lagosta,1.17,12.82,0.09126365054602183
sail/row,2021,Pescada,1.04,12.82,0.0811232449297972
sail/row,2021,Arraia,0.77,12.82,0.06006240249609984
sail/row,2021,Caçao,0.76,12.82,0.059282371294851796
sail/row,2021,Garajuba,0.7,12.82,0.05460218408736349
sail/row,2021,Serra,0.67,12.82,0.05226209048361935
sail/row,2021,Espada,0.55,12.82,0.04290171606864275
sail/row,2021,Bagre,0.39,12.82,0.030421216848673948
sail/row,2021,Cururuca,0.36,12.82,0.028081123244929795
sail/row,2021,Guaiuba,0.3,12.82,0.023400936037441495
sail/row,2021,Ubarana,0.19,12.82,0.014820592823712949
sail/row,2021,Bicuda,0.08,12.82,0.0062402496099844
sail/row,2021,Pampo,0.08,12.82,0.0062402496099844
sail/row,2021,Cavala,0.07,12.82,0.00546021840873635
sail/row,2021,Arabaiana,0.06,12.82,0.004680187207488299
sail/row,2021,Biquara,0.05,12.82,0.0039001560062402497
sail/row,2021,Carapeba,0.05,12.82,0.0039001560062402497
sail/row,2021,Sardinha,0.05,12.82,0.0039001560062402497
sail/row,2021,Camurupim,0.04,12.82,0.0031201248049922
sail/row,2021,Cioba,0.04,12.82,0.0031201248049922
sail/row,2021,Peixe Galo,0.04,12.82,0.0031201248049922
sail/row,2021,Bonito,0.03,12.82,0.0023400936037441494
sail/row,2021,Salema,0.03,12.82,0.0023400936037441494
sail/row,2021,Outros,0.02,12.82,0.0015600624024961
sail/row,2021,Pargo,0.02,12.82,0.0015600624024961
sail/row,2021,Xareu,0.02,12.82,0.0015600624024961
sail/row,2021,Beijupira,0.01,12.82,0.00078003120124805
sail/row,2021,Camurim,0.01,12.82,0.00078003120124805
sail/row,2021,Ova Voador,0.01,12.82,0.00078003120124805
sail/row,2021,Paru,0.01,12.82,0.00078003120124805
sail/row,2021,Sirigado,0.01,12.82,0.00078003120124805
sail/row,2021,Agulha,0.0,12.82,0.0
sail/row,2021,Agulhao,0.0,12.82,0.0
sail/row,2021,Albacora,0.0,12.82,0.0
sail/row,2021,Budiao,0.0,12.82,0.0
sail/row,2021,Buzios,0.0,12.82,0.0
sail/row,2021,Camarao,0.0,12.82,0.0
sail/row,2021,Cangulo,0.0,12.82,0.0
sail/row,2021,Caranguejo,0.0,12.82,0.0
sail/row,2021,Carauna,0.0,12.82,0.0
sail/row,2021,Dentao,0.0,12.82,0.0
sail/row,2021,Dourado,0.0,12.82,0.0
sail/row,2021,Garabebeu,0.0,12.82,0.0
sail/row,2021,Garoupa,0.0,12.82,0.0
sail/row,2021,Marisco,0.0,12.82,0.0
sail/row,2021,Peixe Voador,0.0,12.82,0.0
sail/row,2021,Pirauna,0.0,12.82,0.0
sail/row,2021,Polvo,0.0,12.82,0.0
sail/row,2021,Saramunete,0.0,12.82,0.0
sail/row,2021,Siri,0.0,12.82,0.0
sail/row,2021,Tainha,0.0,12.82,0.0
sail/row,2021,Tilapia,0.0,12.82,0.0
sail/row,2012,Peixe Voador,602.0,1450.2,0.41511515653013376
sail/row,2012,Dourado,100.1,1450.2,0.06902496207419666
sail/row,2012,Agulha,93.5,1450.2,0.06447386567370018
sail/row,2012,Lagosta,59.5,1450.2,0.041028823610536475
sail/row,2012,Serra,51.59999999999999,1450.2,0.03558129913115431
sail/row,2012,Biquara,48.5,1450.2,0.03344366294304234
sail/row,2012,Guaiuba,46.0,1450.2,0.031719762791339125
sail/row,2012,Garajuba,38.1,1450.2,0.02627223831195697
sail/row,2012,Cururuca,35.0,1450.2,0.024134602123844988
sail/row,2012,Bonito,33.4,1450.2,0.02303130602675493
sail/row,2012,Outros,32.1,1450.2,0.02213487794786926
sail/row,2012,Bagre,31.9,1450.2,0.021996965935733002
sail/row,2012,Sirigado,28.2,1450.2,0.019445593711212246
sail/row,2012,Cioba,26.6,1450.2,0.01834229761412219
sail/row,2012,Caico,25.0,1450.2,0.017239001517032133
sail/row,2012,Cavala,24.6,1450.2,0.01696317749275962
sail/row,2012,Ariaco,23.1,1450.2,0.015928837401737693
sail/row,2012,Camurim,18.6,1450.2,0.012825817128671908
sail/row,2012,Agulhao,16.3,1450.2,0.011239828989104951
sail/row,2012,Arabaiana,13.3,1450.2,0.009171148807061096
sail/row,2012,Camarao,12.7,1450.2,0.008757412770652322
sail/row,2012,Polvo,12.4,1450.2,0.008550544752447937
sail/row,2012,Caçao,12.2,1450.2,0.00841263274031168
sail/row,2012,Albacora,11.6,1450.2,0.00799889670390291
sail/row,2012,Pescada,9.3,1450.2,0.006412908564335954
sail/row,2012,Pargo,8.7,1450.2,0.005999172527927182
sail/row,2012,Arraia,8.6,1450.2,0.005930216521859054
sail/row,2012,Paru,6.9,1450.2,0.004757964418700869
sail/row,2012,Salema,3.0,1450.2,0.002068680182043856
sail/row,2012,Dentao,2.8,1450.2,0.0019307681699075989
sail/row,2012,Peixe Galo,2.4,1450.2,0.0016549441456350847
sail/row,2012,Bicuda,2.3,1450.2,0.001585988139566956
sail/row,2012,Xareu,2.2,1450.2,0.0015170321334988279
sail/row,2012,Garoupa,1.4,1450.2,0.0009653840849537994
sail/row,2012,Sardinha,1.3,1450.2,0.0008964280788856709
sail/row,2012,Espada,1.0,1450.2,0.0006895600606812853
sail/row,2012,Beijupira,0.7,1450.2,0.0004826920424768997
sail/row,2012,Garabebeu,0.6000000000000001,1450.2,0.00041373603640877123
sail/row,2012,Budiao,0.6,1450.2,0.0004137360364087712
sail/row,2012,Camurupim,0.5,1450.2,0.00034478003034064264
sail/row,2012,Pampo,0.5,1450.2,0.00034478003034064264
sail/row,2012,Pirauna,0.5,1450.2,0.00034478003034064264
sail/row,2012,Carapeba,0.4,1450.2,0.00027582402427251415
sail/row,2012,Saramunete,0.2,1450.2,0.00013791201213625708
sail/row,2012,Buzios,0.0,1450.2,0.0
sail/row,2012,Cangulo,0.0,1450.2,0.0
sail/row,2012,Caranguejo,0.0,1450.2,0.0
sail/row,2012,Carauna,0.0,1450.2,0.0
sail/row,2012,Marisco,0.0,1450.2,0.0
sail/row,2012,Siri,0.0,1450.2,0.0
sail/row,2012,Tainha,0.0,1450.2,0.0
sail/row,2012,Tilapia,0.0,1450.2,0.0
sail/row,2012,Ubarana,0.0,1450.2,0.0
sail/row,2011,Albacora,127.828,708.341,0.1804611055974453
sail/row,2011,Outros,119.883,708.341,0.16924475640969533
sail/row,2011,Lagosta,109.562,708.341,0.15467409058631365
sail/row,2011,Ariaco,54.133,708.341,0.07642223166525727
sail/row,2011,Cururuca,35.832,708.341,0.05058580542422365
sail/row,2011,Serra,29.689,708.341,0.04191342870171288
sail/row,2011,Cioba,23.859,708.341,0.03368292954946841
sail/row,2011,Caico,21.809,708.341,0.030788843226638017
sail/row,2011,Garajuba,20.065,708.341,0.028326752228093534
sail/row,2011,Biquara,16.231,708.341,0.02291410492968782
