dominant_gear_type,year,species,sp_production_ton,total_production_ton,species_share
tresmalho,2013,Tainha,50.0,214.5,0.2331002331002331
tresmalho,2013,Caico,26.2,214.5,0.12214452214452214
tresmalho,2013,Outros,16.9,214.5,0.07878787878787878
tresmalho,2013,Guaiuba,14.6,214.5,0.06806526806526807
tresmalho,2013,Peixe Voador,13.4,214.5,0.06247086247086247
tresmalho,2013,Dourado,12.5,214.5,0.05827505827505827
tresmalho,2013,Pescada,9.5,214.5,0.04428904428904429
tresmalho,2013,Serra,8.5,214.5,0.039627039627039624
tresmalho,2013,Biquara,8.2,214.5,0.03822843822843822
tresmalho,2013,Espada,6.5,214.5,0.030303030303030304
tresmalho,2013,Sardinha,5.9,214.5,0.02750582750582751
tresmalho,2013,Garabebeu,5.600000000000001,214.5,0.026107226107226114
tresmalho,2013,Garajuba,5.0,214.5,0.023310023310023312
tresmalho,2013,Arraia,4.7,214.5,0.02191142191142191
tresmalho,2013,Ariaco,3.7,214.5,0.01724941724941725
tresmalho,2013,Bonito,3.6,214.5,0.016783216783216783
tresmalho,2013,Lagosta,3.1,214.5,0.014452214452214453
tresmalho,2013,Buzios,2.8,214.5,0.013053613053613054
tresmalho,2013,Carapeba,2.4,214.5,0.011188811188811189
tresmalho,2013,Bagre,1.8,214.5,0.008391608391608392
tresmalho,2013,Cioba,1.5,214.5,0.006993006993006993
tresmalho,2013,Cururuca,1.3,214.5,0.006060606060606061
tresmalho,2013,Camurim,1.1,214.5,0.005128205128205128
tresmalho,2013,Agulha,1.0,214.5,0.004662004662004662
tresmalho,2013,Cavala,1.0,214.5,0.004662004662004662
tresmalho,2013,Caçao,0.8999999999999999,214.5,0.004195804195804196
tresmalho,2013,Albacora,0.6,214.5,0.002797202797202797
tresmalho,2013,Salema,0.6,214.5,0.002797202797202797
tresmalho,2013,Camarao,0.5,214.5,0.002331002331002331
tresmalho,2013,Marisco,0.4,214.5,0.0018648018648018648
tresmalho,2013,Dentao,0.3,214.5,0.0013986013986013986
tresmalho,2013,Camurupim,0.2,214.5,0.0009324009324009324
tresmalho,2013,Galo Do Alto,0.1,214.5,0.0004662004662004662
tresmalho,2013,Sirigado,0.1,214.5,0.0004662004662004662
tresmalho,2013,Arabaiana,0.0,214.5,0.0
tresmalho,2013,Caranguejo,0.0,214.5,0.0
tresmalho,2013,Garoupa,0.0,214.5,0.0
tresmalho,2013,Pargo,0.0,214.5,0.0
tresmalho,2013,Paru,0.0,214.5,0.0
tresmalho,2013,Polvo,0.0,214.5,0.0
tresmalho,2013,Siri,0.0,214.5,0.0
tresmalho,2013,Tilapia,0.0,214.5,0.0
tremalho,2019,Buzios,38.06,222.49,0.171063868039013
tremalho,2019,Tainha,33.56,222.49,0.15083823992089532
tremalho,2019,Cururuca,28.67,222.49,0.12885972403254078
tremalho,2019,Garabebeu,17.4,222.49,0.07820576205672164
tremalho,2019,Caico,16.73,222.49,0.07519439075913524
tremalho,2019,Ova Voador,14.1,222.49,0.06337363477010202
tremalho,2019,Pescada,10.4,222.49,0.04674367387298305
tremalho,2019,Serra,8.48,222.49,0.03811407254258618
tremalho,2019,Marisco,8.33,222.49,0.03743988493864893
tremalho,2019,Dourado,8.17,222.49,0.036720751494449186
tremalho,2019,Espada,7.8,222.49,0.03505775540473729
tremalho,2019,Bicuda,7.38,222.49,0.03317003011371297
tremalho,2019,Bonito,3.13,222.49,0.014068048002157399
tremalho,2019,Biquara,2.92,222.49,0.013124185356645241
tremalho,2019,Guaiuba,2.69,222.49,0.012090431030608117
tremalho,2019,Garajuba,2.38,222.49,0.010697109982471122
tremalho,2019,Albacora,1.98,222.49,0.008899276371971774
