mpa_exposure_class,year,species,sp_production_ton,total_production_ton,species_share
inside,2024,Albacora,2692.52,3290.86,0.8181812656873887
inside,2024,Bonito,119.49,3290.86,0.03630965765787666
inside,2024,Ariaco,65.22999999999999,3290.86,0.019821566399056776
inside,2024,Outros,61.35,3290.86,0.018642543286557314
inside,2024,Lagosta,50.800000000000004,3290.86,0.01543669435952912
inside,2024,Guaiuba,36.0,3290.86,0.010939389703603314
inside,2024,Cioba,25.3,3290.86,0.00768795998614344
inside,2024,Caico,25.28,3290.86,0.007681882547419216
inside,2024,Garajuba,25.2,3290.86,0.007657572792522319
inside,2024,Siri,22.61,3290.86,0.006870544477735303
inside,2024,Camurim,21.8,3290.86,0.006624408209404228
inside,2024,Caranguejo,18.7,3290.86,0.005682405207149499
inside,2024,Carapeba,14.1,3290.86,0.0042845943005779645
inside,2024,Cavala,12.8,3290.86,0.0038895607835034004
inside,2024,Tainha,12.61,3290.86,0.0038318251156232714
inside,2024,Agulha,9.24,3290.86,0.0028077766905915172
inside,2024,Cururuca,9.0,3290.86,0.0027348474259008284
inside,2024,Arraia,8.39,3290.86,0.0025494855448119943
inside,2024,Serra,7.77,3290.86,0.0023610849443610484
inside,2024,Bagre,5.199999999999999,3290.86,0.0015801340682982561
inside,2024,Dourado,4.6,3290.86,0.0013978109065715344
inside,2024,Camarao,4.5,3290.86,0.0013674237129504142
inside,2024,Salema,4.1899999999999995,3290.86,0.001273223412724941
inside,2024,Caçao,3.9,3290.86,0.0011851005512236923
inside,2024,Pescada,3.5300000000000002,3290.86,0.001072667934825547
inside,2024,Arabaiana,3.3099999999999996,3290.86,0.0010058161088590822
inside,2024,Sirigado,2.84,3290.86,0.0008629962988398169
inside,2024,Camurupim,2.8,3290.86,0.0008508414213913687
inside,2024,Paru,2.5,3290.86,0.0007596798405280078
inside,2024,Peixe Galo,2.34,3290.86,0.0007110603307342153
inside,2024,Bicuda,2.15,3290.86,0.0006533246628540868
inside,2024,Pampo,1.7100000000000002,3290.86,0.0005196210109211574
inside,2024,Xareu,1.55,3290.86,0.0004710015011273649
inside,2024,Ova Voador,1.43,3290.86,0.00043453686878202046
inside,2024,Biquara,1.15,3290.86,0.0003494527266428836
inside,2024,Pargo,1.1,3290.86,0.0003342591298323235
inside,2024,Polvo,0.8500000000000001,3290.86,0.0002582911457795227
inside,2024,Dentao,0.8,3290.86,0.00024309754896896253
inside,2024,Buzios,0.61,3290.86,0.0001853618810888339
inside,2024,Budiao,0.30000000000000004,3290.86,9.116158086336095e-05
inside,2024,Sardinha,0.25,3290.86,7.596798405280078e-05
inside,2024,Beijupira,0.21000000000000002,3290.86,6.381310660435267e-05
inside,2024,Garoupa,0.2,3290.86,6.077438724224063e-05
inside,2024,Ubarana,0.16999999999999998,3290.86,5.165822915590453e-05
inside,2024,Espada,0.1,3290.86,3.0387193621120316e-05
inside,2024,Garabebeu,0.1,3290.86,3.0387193621120316e-05
inside,2024,Marisco,0.1,3290.86,3.0387193621120316e-05
inside,2024,Agulhao,0.05,3290.86,1.5193596810560158e-05
inside,2024,Tilapia,0.05,3290.86,1.5193596810560158e-05
inside,2024,Carauna,0.03,3290.86,9.116158086336094e-06
inside,2024,Saramunete,0.03,3290.86,9.116158086336094e-06
inside,2024,Peixe Voador,0.02,3290.86,6.077438724224063e-06
inside,2024,Cangulo,0.0,3290.86,0.0
inside,2024,Pirauna,0.0,3290.86,0.0
inside,2023,Albacora,3435.15,4293.21,0.800135562900487
inside,2023,Bonito,148.76999999999998,4293.21,0.03465239296470473
inside,2023,Lagosta,119.83,4293.21,0.02791151609168897
inside,2023,Outros,76.42,4293.21,0.017800200782165328
inside,2023,Ariaco,61.120000000000005,4293.21,0.014236433810598597
inside,2023,Arabaiana,54.96,4293.21,0.012801609984137744
inside,2023,Agulha,36.56,4293.21,0.008515772580423506
inside,2023,Cioba,26.82,4293.21,0.0062470738678052085
inside,2023,Serra,26.060000000000002,4293.21,0.006070050148956143
inside,2023,Camurim,24.49,4293.21,0.005704356413965307
inside,2023,Caico,24.22,4293.21,0.0056414664085847185
inside,2023,Garajuba,23.8,4293.21,0.005543637511326025
inside,2023,Caranguejo,23.68,4293.21,0.00551568639782354
inside,2023,Carapeba,22.529999999999998,4293.21,0.005247821560091399
inside,2023,Tainha,21.69,4293.21,0.0050521637655740114
inside,2023,Guaiuba,21.240000000000002,4293.21,0.004947347089939696
inside,2023,Siri,20.150000000000002,4293.21,0.004693457808958798
inside,2023,Dourado,14.16,4293.21,0.0032982313932931303
inside,2023,Cururuca,13.3,4293.21,0.0030979150798586606
inside,2023,Arraia,12.21,4293.21,0.002844025798877763
inside,2023,Cavala,11.89,4293.21,0.002769489496204472
inside,2023,Bagre,6.47,4293.21,0.001507030869675604
inside,2023,Camurupim,6.24,4293.21,0.001453457902129176
inside,2023,Salema,5.99,4293.21,0.0013952264156656675
inside,2023,Xareu,5.5600000000000005,4293.21,0.0012950682589484327
inside,2023,Peixe Galo,5.31,4293.21,0.0012368367724849237
inside,2023,Caçao,5.3,4293.21,0.0012345075130263835
inside,2023,Paru,5.17,4293.21,0.001204227140065359
inside,2023,Pampo,5.04,4293.21,0.0011739467671043344
inside,2023,Pescada,4.54,4293.21,0.0010574837941773171
inside,2023,Biquara,3.59,4293.21,0.0008362041456159842
inside,2023,Buzios,2.8,4293.21,0.0006521926483912969
inside,2023,Bicuda,2.67,4293.21,0.0006219122754302724
inside,2023,Polvo,2.6199999999999997,4293.21,0.0006102659781375706
inside,2023,Sirigado,2.58,4293.21,0.0006009489403034094
inside,2023,Budiao,1.89,4293.21,0.0004402300376641254
inside,2023,Camarao,1.78,4293.21,0.0004146081836201816
inside,2023,Dentao,1.6500000000000001,4293.21,0.00038432781065915716
inside,2023,Pargo,0.91,4293.21,0.00021196261072717153
inside,2023,Sardinha,0.85,4293.21,0.00019798705397592944
inside,2023,Ubarana,0.73,4293.21,0.00017003594047344526
inside,2023,Espada,0.7,4293.21,0.00016304816209782423
inside,2023,Beijupira,0.51,4293.21,0.00011879223238555767
inside,2023,Tilapia,0.27,4293.21,6.289000538058936e-05
inside,2023,Garabebeu,0.21000000000000002,4293.21,4.8914448629347274e-05
inside,2023,Garoupa,0.18000000000000002,4293.21,4.192667025372624e-05
inside,2023,Carauna,0.14,4293.21,3.260963241956485e-05
inside,2023,Ova Voador,0.12,4293.21,2.7951113502484156e-05
inside,2023,Cangulo,0.11,4293.21,2.562185404394381e-05
inside,2023,Peixe Voador,0.11,4293.21,2.562185404394381e-05
inside,2023,Agulhao,0.06,4293.21,1.3975556751242078e-05
inside,2023,Marisco,0.02,4293.21,4.658518917080693e-06
inside,2023,Pirauna,0.02,4293.21,4.658518917080693e-06
inside,2023,Saramunete,0.02,4293.21,4.658518917080693e-06
inside,2022,Albacora,3461.49,4444.179999999999,0.7788815934548107
inside,2022,Bonito,262.49,4444.179999999999,0.0590637642939755
inside,2022,Outros,102.25,4444.179999999999,0.023007618953327726
inside,2022,Ariaco,93.75,4444.179999999999,0.021095005152806594
inside,2022,Lagosta,50.0,4444.179999999999,0.011250669414830184
inside,2022,Guaiuba,41.8,4444.179999999999,0.009405559630798033
inside,2022,Caico,37.94,4444.179999999999,0.008537007951973144
inside,2022,Cioba,35.1,4444.179999999999,0.00789796992921079
inside,2022,Garajuba,34.400000000000006,4444.179999999999,0.007740460557403168
inside,2022,Camurim,30.2,4444.179999999999,0.006795404326557431
inside,2022,Tainha,26.900000000000002,4444.179999999999,0.006052860145178639
inside,2022,Serra,26.689999999999998,4444.179999999999,0.006005607333636352
inside,2022,Caranguejo,22.700000000000003,4444.179999999999,0.005107803914332904
inside,2022,Carapeba,22.7,4444.179999999999,0.005107803914332903
inside,2022,Cururuca,21.6,4444.179999999999,0.00486028918720664
inside,2022,Budiao,19.169999999999998,4444.179999999999,0.004313506653645892
inside,2022,Biquara,17.650000000000002,4444.179999999999,0.0039714863034350555
inside,2022,Arraia,17.04,4444.179999999999,0.0038342281365741264
inside,2022,Dourado,12.8,4444.179999999999,0.0028801713701965275
