platform_exposure_class,year,species,sp_production_ton,total_production_ton,species_share
20-50 km,2024,Albacora,2710.21,4296.28,0.6308271341718883
20-50 km,2024,Bonito,136.41,4296.28,0.0317507238820561
20-50 km,2024,Guaiuba,115.1,4296.28,0.026790618860968094
20-50 km,2024,Ariaco,114.35,4296.28,0.026616049233290195
20-50 km,2024,Agulha,103.53000000000002,4296.28,0.024097591404657056
20-50 km,2024,Lagosta,101.20000000000002,4296.28,0.02355526176133772
20-50 km,2024,Ova Voador,74.24999999999999,4296.28,0.017282393140111908
20-50 km,2024,Garajuba,68.8,4296.28,0.016013853845652518
20-50 km,2024,Outros,67.17,4296.28,0.015634455854832554
20-50 km,2024,Tainha,66.71000000000001,4296.28,0.015527386483190112
20-50 km,2024,Caico,58.620000000000005,4296.28,0.013644362099304516
20-50 km,2024,Cioba,58.0,4296.28,0.013500051207090786
20-50 km,2024,Peixe Voador,55.84,4296.28,0.01299729067937844
20-50 km,2024,Serra,54.01,4296.28,0.012571340787844368
20-50 km,2024,Dourado,48.300000000000004,4296.28,0.011242284022456639
20-50 km,2024,Biquara,47.150000000000006,4296.28,0.010974610593350528
20-50 km,2024,Camurim,40.400000000000006,4296.28,0.009403483944249445
20-50 km,2024,Buzios,34.54,4296.28,0.008039513253326134
20-50 km,2024,Sirigado,31.58,4296.28,0.007350545122757362
20-50 km,2024,Cavala,26.7,4296.28,0.006214678745333172
20-50 km,2024,Siri,24.05,4296.28,0.0055978660608712654
20-50 km,2024,Pescada,21.71,4296.28,0.0050532088225162235
20-50 km,2024,Caçao,20.200000000000003,4296.28,0.0047017419721247225
20-50 km,2024,Arabaiana,19.67,4296.28,0.004578379435232341
20-50 km,2024,Carapeba,19.5,4296.28,0.00453881031962535
20-50 km,2024,Caranguejo,19.2,4296.28,0.004468982468554191
20-50 km,2024,Agulhao,15.969999999999999,4296.28,0.0037171692720213765
20-50 km,2024,Marisco,15.799999999999999,4296.28,0.0036776001564143863
20-50 km,2024,Bagre,15.280000000000001,4296.28,0.003556565214557711
20-50 km,2024,Cururuca,14.5,4296.28,0.0033750128017726966
20-50 km,2024,Arraia,13.42,4296.28,0.0031236325379165233
20-50 km,2024,Pargo,11.400000000000002,4296.28,0.002653458340704052
20-50 km,2024,Espada,9.1,4296.28,0.00211811148249183
20-50 km,2024,Xareu,8.5,4296.28,0.0019784557803495116
20-50 km,2024,Salema,8.11,4296.28,0.0018876795739570047
20-50 km,2024,Bicuda,6.24,4296.28,0.0014524193022801123
20-50 km,2024,Ubarana,5.999999999999999,4296.28,0.0013965570214231845
20-50 km,2024,Camurupim,5.3999999999999995,4296.28,0.0012569013192808662
20-50 km,2024,Garabebeu,5.3,4296.28,0.0012336253689238133
20-50 km,2024,Camarao,5.1,4296.28,0.001187073468209707
20-50 km,2024,Peixe Galo,3.78,4296.28,0.0008798309234966064
20-50 km,2024,Dentao,2.9,4296.28,0.0006750025603545393
20-50 km,2024,Paru,2.9,4296.28,0.0006750025603545393
20-50 km,2024,Pampo,2.8200000000000003,4296.28,0.0006563818000688969
20-50 km,2024,Polvo,2.0,4296.28,0.00046551900714106157
20-50 km,2024,Beijupira,1.34,4296.28,0.0003118977347845113
20-50 km,2024,Garoupa,1.1,4296.28,0.0002560354539275839
20-50 km,2024,Sardinha,1.03,4296.28,0.00023974228867764674
20-50 km,2024,Budiao,0.59,4296.28,0.00013732810710661317
20-50 km,2024,Tilapia,0.26,4296.28,6.051747092833801e-05
20-50 km,2024,Saramunete,0.17,4296.28,3.9569115606990235e-05
20-50 km,2024,Carauna,0.05,4296.28,1.163797517852654e-05
20-50 km,2024,Cangulo,0.02,4296.28,4.655190071410616e-06
20-50 km,2024,Pirauna,0.0,4296.28,0.0
20-50 km,2023,Albacora,3485.46,5581.67,0.6244475219781893
20-50 km,2023,Lagosta,187.81,5581.67,0.03364763592258231
20-50 km,2023,Bonito,172.35999999999999,5581.67,0.030879647130697442
20-50 km,2023,Agulha,169.5,5581.67,0.03036725567796018
20-50 km,2023,Ova Voador,128.61,5581.67,0.02304149116662218
20-50 km,2023,Peixe Voador,117.51,5581.67,0.02105283902487965
20-50 km,2023,Ariaco,101.09,5581.67,0.018111067117905572
20-50 km,2023,Caico,88.24,5581.67,0.015808888737600037
20-50 km,2023,Tainha,83.63,5581.67,0.014982971046299762
20-50 km,2023,Outros,81.99000000000001,5581.67,0.014689152171303572
20-50 km,2023,Guaiuba,78.35000000000001,5581.67,0.014037017595092509
20-50 km,2023,Serra,77.19,5581.67,0.013829194488387883
20-50 km,2023,Dourado,71.05,5581.67,0.012729165285658234
20-50 km,2023,Arabaiana,69.68,5581.67,0.01248371903032605
20-50 km,2023,Garajuba,66.82000000000001,5581.67,0.011971327577588788
20-50 km,2023,Buzios,65.95,5581.67,0.011815460247560318
20-50 km,2023,Cioba,57.99,5581.67,0.010389363756725138
20-50 km,2023,Biquara,40.1,5581.67,0.007184229809358131
20-50 km,2023,Camurim,39.73,5581.67,0.00711794140463338
20-50 km,2023,Cavala,29.79,5581.67,0.005337112369595479
20-50 km,2023,Carapeba,29.0,5581.67,0.005195577667615606
20-50 km,2023,Agulhao,28.89,5581.67,0.005175870304048789
20-50 km,2023,Bagre,27.85,5581.67,0.004989546139417056
20-50 km,2023,Caranguejo,24.38,5581.67,0.004367868397809257
20-50 km,2023,Marisco,23.320000000000004,5581.67,0.004177961076165378
20-50 km,2023,Pargo,20.900000000000002,5581.67,0.0037443990776953855
20-50 km,2023,Siri,20.150000000000002,5581.67,0.0036100306897398093
20-50 km,2023,Caçao,19.99,5581.67,0.003581365433642619
20-50 km,2023,Pescada,19.21,5581.67,0.0034416223101688204
20-50 km,2023,Arraia,18.02,5581.67,0.003228424467945973
20-50 km,2023,Cururuca,17.76,5581.67,0.0031818434267880404
20-50 km,2023,Sirigado,16.240000000000002,5581.67,0.0029095234938647397
20-50 km,2023,Xareu,15.76,5581.67,0.0028235277255731707
20-50 km,2023,Salema,12.73,5581.67,0.0022806794382326436
20-50 km,2023,Pampo,8.44,5581.67,0.0015120922591267487
20-50 km,2023,Camurupim,7.7,5581.67,0.001379515449677247
20-50 km,2023,Peixe Galo,7.59,5581.67,0.0013598080861104292
20-50 km,2023,Bicuda,7.390000000000001,5581.67,0.0013239765159889425
20-50 km,2023,Paru,6.31,5581.67,0.0011304860373329128
20-50 km,2023,Ubarana,6.13,5581.67,0.0010982376242235747
20-50 km,2023,Espada,5.83,5581.67,0.0010444902690413442
20-50 km,2023,Dentao,5.67,5581.67,0.0010158250129441546
20-50 km,2023,Polvo,4.49,5581.67,0.0008044187492273818
20-50 km,2023,Camarao,3.06,5581.67,0.0005482230228587502
20-50 km,2023,Garabebeu,2.91,5581.67,0.000521349345267635
20-50 km,2023,Sardinha,2.64,5581.67,0.0004729767256036276
20-50 km,2023,Garoupa,2.0799999999999996,5581.67,0.0003726483292634641
20-50 km,2023,Budiao,2.04,5581.67,0.0003654820152391668
20-50 km,2023,Beijupira,1.6099999999999999,5581.67,0.0002884441394779698
20-50 km,2023,Tilapia,0.29000000000000004,5581.67,5.195577667615607e-05
20-50 km,2023,Carauna,0.2,5581.67,3.583157012148694e-05
20-50 km,2023,Cangulo,0.11,5581.67,1.9707363566817815e-05
20-50 km,2023,Saramunete,0.07,5581.67,1.254104954252043e-05
20-50 km,2023,Pirauna,0.06,5581.67,1.0749471036446081e-05
20-50 km,2022,Albacora,3466.81,5586.95,0.6205192457423102
20-50 km,2022,Bonito,291.94,5586.95,0.05225391313686358
20-50 km,2022,Ova Voador,168.62,5586.95,0.030181046903945803
