mpa_exposure_class,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,cpue_mean,cpue_fisherman_mean,n_locals,cpue,cpue_fisherman
0-10 km,2001,267.13,4621,265.0,673.5999999999999,0.05176892942716389,0.3531617252164023,2,0.05780783380220731,0.39657066508313543
0-10 km,2002,326.04999999999995,5488,289.0,770.6899999999999,0.0545737484160222,0.4023525172709056,2,0.059411443148688035,0.423062450531342
0-10 km,2003,445.36,6089,292.0,743.19,0.06284172811502975,0.5196389981934171,2,0.07314173099031039,0.5992545647815498
0-10 km,2004,837.1500000000001,9109,320.0,881.62,0.08124739788551395,0.8624791519491986,2,0.09190361181249315,0.949558766815635
0-10 km,2005,472.91999999999996,7513,326.0,737.96,0.057886792460509054,0.5759117294369989,2,0.06294689205377345,0.6408477424250636
0-10 km,2006,265.59,4678,249.0,663.46,0.051351381461675547,0.3686829850047315,2,0.05677426250534416,0.400310493473608
0-10 km,2007,421.59000000000003,5878,298.0,780.71,0.06341742749016195,0.45844859989603104,2,0.07172337529772031,0.5400084538432965
0-10 km,2008,1432.58,16014,427.0,1065.72,0.09319626751353799,1.404889083844351,2,0.08945797427251155,1.3442367601246106
0-10 km,2009,2845.0480000000002,17958,429.0,861.5,0.138411277505868,2.9993124066913426,2,0.15842788729257157,3.302435287289611
0-10 km,2010,2445.663,23574,559.0,891.5,0.09341045357809175,2.5207141854537847,2,0.10374408246373124,2.743312394840157
0-10 km,2011,2099.329,20323,387.0,741.0,0.0944062580679928,2.604564555885176,2,0.10329818432318064,2.8331025641025644
0-10 km,2012,1269.8999999999999,19915,477.0,619.5,0.056168815812589354,1.7962951476873037,2,0.06376600552347476,2.0498789346246973
0-10 km,2013,1665.3,21282,444.0,636.5,0.06570301626603345,2.2098017713556573,2,0.07824922469692698,2.6163393558523174
0-10 km,2014,921.23,10432,232.0,648.0,0.07203893146949415,1.170594024088296,2,0.08830809049079755,1.4216512345679013
0-10 km,2015,870.1,12754,246.0,690.0,0.058640006807923896,1.0817093759421164,2,0.06822173435784852,1.2610144927536233
0-10 km,2016,1694.4,12584,258.0,661.0,0.1185711703556838,2.222624074581848,2,0.1346471710108074,2.56338880484115
0-10 km,2017,1763.0,11428,273.0,618.0,0.1344109934101732,2.4329711519492543,2,0.15427021351067555,2.852750809061489
0-10 km,2018,707.1099999999999,10272,278.0,710.0,0.0634634930545864,0.9012189916996793,2,0.06883859034267911,0.9959295774647886
0-10 km,2019,1940.234,31153,291.0,808.0,0.0539578500209201,2.251391161608365,2,0.06228080762687382,2.401279702970297
0-10 km,2020,1559.54,21842,277.0,733.0,0.0630271225444353,1.8421127081485862,2,0.07140097060708726,2.127612551159618
0-10 km,2021,1512.04756,21970,263.0,750.0,0.06552400264772776,1.8177385832024036,2,0.06882328447883478,2.0160634133333333
0-10 km,2022,1700.73,22615,355.6,849.0,0.07626997943231935,2.0306229145445154,2,0.0752036259120053,2.00321554770318
0-10 km,2023,1763.23,22976,277.0,795.5999999999999,0.08193094640168215,2.3585459051107516,2,0.07674225278551532,2.2162267471091
0-10 km,2024,1204.5,18528,266.6,652.0,0.0629358629970113,1.7855279942213413,2,0.06500971502590673,1.8473926380368098
10-25 km,2003,0.82,3,1.0,5.0,,0.1639999999999999,1,0.2733333333333333,0.16399999999999998
10-25 km,2004,40.3,814,61.0,151.49,0.0495085995085995,0.2660241600105617,1,0.0495085995085995,0.2660241600105617
10-25 km,2005,30.07,739,76.0,170.8,0.0371428571428571,0.2569702088452088,2,0.04069012178619757,0.17605386416861826
10-25 km,2007,21.61,830,81.0,172.41,0.0245289855072463,0.1906594588136909,2,0.026036144578313252,0.12534075749666493
10-25 km,2008,148.38,3849,128.0,292.29,0.0385502727981293,0.5076465154469876,1,0.038550272798129386,0.5076465154469876
10-25 km,2009,279.372,4879,174.0,267.5,0.06138727099234735,0.9948812592466143,2,0.05726009428161509,1.044381308411215
10-25 km,2010,354.645,9116,241.0,302.5,0.03841712488874565,1.1414780059718885,2,0.038903576129881524,1.172380165289256
10-25 km,2011,340.376,8978,311.0,297.5,0.03728584661028855,1.1000486859838277,2,0.03791222989529962,1.1441210084033613
10-25 km,2012,316.5,10566,224.0,250.5,0.0313459090883944,1.2351090753546732,2,0.02995457126632595,1.2634730538922156
10-25 km,2013,293.4,8932,205.0,302.75,0.0338665973013957,1.2117279920870425,2,0.032848186296462155,0.9691164327002476
10-25 km,2014,130.12,4252,97.0,217.0,0.0342458847256285,0.5690490684375575,2,0.030602069614299156,0.59963133640553
10-25 km,2015,123.80000000000001,3911,92.0,207.0,0.035561919483654,0.5674311023622047,2,0.03165430836103299,0.5980676328502416
10-25 km,2016,277.3,3669,89.0,213.0,0.08931479759496755,1.2295342905724542,2,0.07557917688743528,1.3018779342723006
10-25 km,2017,279.0,2626,101.0,215.0,0.1144644828855355,1.2308721241305511,2,0.10624523990860625,1.2976744186046512
10-25 km,2018,93.75999999999999,1581,78.0,178.0,0.05529148548892705,0.4698789346246973,2,0.059304237824161915,0.5267415730337078
10-25 km,2019,256.786,18158,74.0,183.0,0.03272068285131425,1.179339404934688,2,0.014141755699966957,1.4032021857923498
10-25 km,2020,355.68,4782,67.0,158.0,0.09442126151127925,2.715634704968944,2,0.07437892095357591,2.2511392405063293
10-25 km,2021,222.63830000000002,5600,69.0,169.4,0.0338125941425414,1.1011836726546906,2,0.03975683928571429,1.314275678866588
10-25 km,2022,227.86,5725,70.9,158.3,0.03384100681968095,1.2106305353979772,2,0.039800873362445414,1.4394188250157929
10-25 km,2023,265.68,6191,67.0,169.3,0.03600040503561585,1.3174076504721666,2,0.04291390728476821,1.5692852923803897
10-25 km,2024,203.9,4913,71.8,161.0,0.0350245070222726,1.0650494001411432,2,0.041502137187054755,1.2664596273291926
25-50 km,2001,202.7,5976,219.0,710.82,0.0339190093708166,0.2851636138544216,1,0.0339190093708166,0.2851636138544216
25-50 km,2002,305.65,5495,208.0,697.0,0.0556232939035486,0.438522238163558,1,0.05562329390354868,0.43852223816355806
25-50 km,2003,332.59,5482,200.0,684.23,0.0606694636993797,0.4860792423600251,1,0.06066946369937978,0.4860792423600251
25-50 km,2004,421.24,6107,200.0,666.13,0.0689765842475847,0.6323690570909583,1,0.06897658424758474,0.6323690570909583
25-50 km,2005,335.3,4930,217.0,699.5,0.0680121703853955,0.4793423874195854,1,0.06801217038539555,0.47934238741958546
25-50 km,2006,364.5,4786,196.0,666.79,0.0761596322607605,0.5466488699590576,1,0.07615963226076056,0.5466488699590576
25-50 km,2007,509.34,5534,208.0,654.75,0.0920383086375135,0.7779152348224513,1,0.09203830863751354,0.7779152348224513
25-50 km,2008,431.96,5406,201.0,640.87,0.0794890781192151,0.5515128031460509,2,0.07990381058083611,0.674021252360073
25-50 km,2009,1522.1180000000002,5595,149.0,939.5,0.18153557619945182,1.0827624444979864,2,0.2720496872207328,1.620136242682278
25-50 km,2010,1385.945,7035,185.0,868.5,0.13315744461000256,1.122469879464877,2,0.19700710732054014,1.5957915947035117
25-50 km,2011,1300.534,11918,302.0,740.5,0.07760446015899425,1.3040121588742029,2,0.10912351065615036,1.7562916948008105
25-50 km,2012,1485.8999999999999,15401,424.0,605.5,0.07017432157463491,1.788630422091931,2,0.0964807480033764,2.454004954582989
25-50 km,2013,1675.8000000000002,14983,370.0,592.5,0.08466132406512014,2.2249483298886594,2,0.11184675966094909,2.828354430379747
25-50 km,2014,1093.57,7275,183.0,580.0,0.0951099542606684,1.2394695964405589,2,0.1503189003436426,1.8854655172413792
25-50 km,2015,777.6,7836,190.0,641.0,0.0739694291961673,0.8555597816359406,2,0.0992343032159265,1.2131045241809673
25-50 km,2016,1707.8,6858,183.0,592.0,0.16767826184290668,2.058472773273532,2,0.2490230387868183,2.8847972972972973
25-50 km,2017,1783.0,5712,204.0,525.0,0.2015363804415953,2.3035131252448737,2,0.3121498599439776,3.396190476190476
25-50 km,2018,458.53999999999996,4567,212.0,604.0,0.0873096064427559,0.7245234657039711,2,0.10040289029997809,0.7591721854304635
25-50 km,2019,1156.6070000000002,14928,157.0,597.0,0.0518348353647905,1.4724642751039811,2,0.07747903269024653,1.9373651591289787
25-50 km,2020,1017.0500000000001,8756,160.0,567.0,0.0753435761998576,1.2058929179434799,2,0.11615463682046598,1.7937389770723104
25-50 km,2021,1263.5892800000001,9470,145.0,540.4,0.08064759412946426,1.4357708443342372,2,0.13343075818373815,2.3382481125092527
25-50 km,2022,914.74,8939,204.70000000000002,557.5,0.06646022831401695,1.1504020029897923,2,0.10233135697505313,1.6407892376681614
25-50 km,2023,1022.78,9624,146.0,565.1,0.073076911168658,1.3785895867122335,2,0.10627389858686616,1.8099097504866395
25-50 km,2024,801.5,7589,172.3,463.0,0.0695462547547376,1.2179451240231056,2,0.10561338779812887,1.7311015118790496
inside,2001,96.6,4841,61.0,151.65,0.0199545548440404,0.6369930761622156,1,0.019954554844040486,0.6369930761622156
