year,production_ton_sum,production_ton_mean,assisted_trips_sum,fleet_monitored_sum,estimated_fishermen_sum,cpue_mean,cpue_median,n_locals,cpue_regional
2001,566.43,141.6075,15438,545.0,1536.0700000000002,0.0393528557672962,0.0373224464237082,4,0.03669063350174893
2002,697.53,174.3825,14004,563.0,1638.73,0.04664039712117068,0.0460926633942257,4,0.04980934018851756
2003,843.65,140.60833333333332,13464,572.0,1708.64,0.10826331950717878,0.0606694636993797,6,0.06265968508615567
2004,1368.54,273.70799999999997,18646,631.0,1826.78,0.061536209972720704,0.0495085995085995,5,0.07339590260645715
2005,1095.13,156.44714285714286,18688,802.0,2077.62,0.06489830983537385,0.057886792460509054,7,0.05860070633561645
2006,753.26,150.652,12761,556.0,1679.61,0.05417535110320147,0.0600473933649289,5,0.059028289319018885
2007,1053.27,150.46714285714285,14409,723.0,2073.49,0.08311081306788,0.06341742749016195,7,0.07309806371018114
2008,2741.52,391.6457142857143,37000,983.0,2732.59,0.09034210804848464,0.0820209122069484,7,0.07409513513513513
2009,6059.101000000001,757.3876250000001,38984,1057.0,3060.0,0.14522132997414808,0.0851491764973442,8,0.15542532833983175
2010,5342.827,667.853375,51782,1335.0,2881.0,0.09354141093820897,0.06763618193732865,8,0.1031792321656174
2011,5027.807,628.475875,53692,1314.0,2456.5,0.08008848447664238,0.0773283223488855,8,0.09364164121284363
2012,4615.4,576.925,61312,1530.0,2040.5,0.07034748382803774,0.049996003226559754,8,0.07527727035490604
2013,5752.599999999999,719.0749999999999,60545,1407.0,2158.25,0.08955091825679799,0.0597032556179077,8,0.09501362622842513
2014,3731.22,466.4025,28719,708.0,2100.0,0.1300218922605329,0.0559230129508083,8,0.12992165465371355
2015,4121.4,515.175,33657,773.0,2313.0,0.13906790895908663,0.051187357611141654,8,0.12245298154915767
2016,7277.3,909.6625,31517,762.0,2142.0,0.24733535865572057,0.1188324728881007,8,0.23090078370403275
2017,7359.0,919.875,26456,793.0,1928.0,0.2881975277203157,0.14449333945437204,8,0.27815996371333535
2018,3693.67,461.70875,21394,788.0,2161.0,0.20212348282341194,0.0715580245309253,8,0.17264980835748342
2019,7817.468,977.1835,77708,737.0,2263.0,0.12976470593881995,0.05729454370706495,8,0.10060055592731765
2020,6618.85,827.35625,45934,686.0,2044.0,0.16036705038459523,0.06402268883265615,8,0.1440947881743371
2021,7434.7032,929.3379,49412,681.0,2097.7,0.14684755031882074,0.0556057550894999,8,0.15046351493564317
2022,7287.54,910.9425,49221,861.0,2163.7,0.15000530212194038,0.07626997943231935,8,0.1480575364173828
2023,7344.87,918.10875,50217,672.0,2069.1,0.16007398395900266,0.07658401799400799,8,0.14626262022820957
2024,5500.400000000001,687.5500000000001,39354,677.8,1741.0,0.1581967827815875,0.0629358629970113,8,0.1397672409412004
