metric,x,effect,ci_lo,ci_hi
richness,-25.666666666666664,-0.5652819487491458,-0.8704875025841198,-0.2600763949141719
richness,-25.44088865379529,-0.5655028732560127,-0.8656046841689536,-0.2654010623430717
richness,-25.215110640923914,-0.5656589944961445,-0.8607870819137842,-0.27053090707850486
richness,-24.98933262805254,-0.5657488353887402,-0.8560376472849738,-0.27546002349250664
richness,-24.763554615181167,-0.565770918852999,-0.8513593455912384,-0.28018249211475965
richness,-24.53777660230979,-0.5657237678081196,-0.8467551360496728,-0.28469239956656645
richness,-24.311998589438417,-0.5656059051733011,-0.8422279492673634,-0.28898386107923874
richness,-24.086220576567044,-0.5654158538677425,-0.8377806620818118,-0.29305104565367324
richness,-23.86044256369567,-0.5651521368106428,-0.8334160697569155,-0.29688820386437004
richness,-23.634664550824294,-0.5648132769212008,-0.829136855596288,-0.3004896982461135
richness,-23.40888653795292,-0.5643977971186156,-0.8249455581120455,-0.3038500361251857
richness,-23.183108525081547,-0.5639042203220861,-0.8208445359739472,-0.30696390467022494
richness,-22.95733051221017,-0.5633310694508114,-0.8168359310591489,-0.30982620784247383
richness,-22.731552499338797,-0.5626768674239905,-0.812921630024071,-0.31243210482390993
richness,-22.505774486467423,-0.5619401371608221,-0.8091032249232585,-0.3147770493983858
richness,-22.279996473596047,-0.5611194015805054,-0.8053819735008596,-0.31685682966015133
richness,-22.054218460724673,-0.5602131836022394,-0.8017587598729156,-0.3186676073315632
richness,-21.8284404478533,-0.5592200061452229,-0.7982340563968855,-0.3202059558935604
richness,-21.602662434981923,-0.558138392128655,-0.7948078875823683,-0.3214688966749417
richness,-21.37688442211055,-0.5569668644717347,-0.7914797969277539,-0.3224539320157155
richness,-21.151106409239176,-0.5557039460936609,-0.7882488175663139,-0.3231590746210079
richness,-20.925328396367803,-0.5543481599136325,-0.7851134475681951,-0.3235828722590699
richness,-20.699550383496426,-0.5528980288508486,-0.7820716306700543,-0.32372442703164295
richness,-20.473772370625053,-0.551352075824508,-0.7791207430921487,-0.3235834085568672
richness,-20.24799435775368,-0.54970882375381,-0.7762575869566939,-0.3231600605509262
richness,-20.022216344882303,-0.5479667955579534,-0.7734783906468565,-0.3224552004690502
richness,-19.79643833201093,-0.546124514156137,-0.7707788162508973,-0.3214702120613768
richness,-19.570660319139556,-0.5441805024675601,-0.7681539740303976,-0.3202070309047226
richness,-19.344882306268183,-0.5421332834114214,-0.7655984436460418,-0.31866812317680104
richness,-19.119104293396806,-0.53998137990692,-0.7631063016799275,-0.3168564581339124
richness,-18.893326280525432,-0.5377233148732549,-0.7606711548200513,-0.3147754749264584
