local,year,fleet_monitored,assisted_trips,estimated_fishermen,production_ton,local_original,local_norm,local_canonical,total_vessels,fleet_production_ton,fishermen_per_vessel,cpue,total_production_ton,species_richness,shannon_index,pielou_index,sp_production_ton,lat,lon,region,port_name
CAICARA DO NORTE,2001,219.0,5976,710.82,202.7,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,224,202.71,3.25,0.0030836984300839725,202.71,29,2.6589,0.7896,202.70000000000002,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2001,57.0,1047,156.8,42.64,GUAMARE,GUAMARE,GUAMARE,57,42.64,2.75,0.002714422158548233,42.629999999999995,25,2.3846,0.7408,42.63,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2001,208.0,3574,516.8,224.49,MACAU,MACAU,MACAU,215,224.49,2.48,0.0031408785674314496,224.51000000000002,27,1.8485,0.5609,224.49,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2001,61.0,4841,151.65,96.6,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,61,96.6,2.49,0.001814238230267976,96.61,25,2.7124,0.8427,96.61,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
CAICARA DO NORTE,2002,208.0,5495,697.0,305.65,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,215,305.65,3.35,0.005056497642484904,305.64,29,2.3357,0.6936,305.60999999999996,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2002,76.0,2007,204.9,73.38,GUAMARE,GUAMARE,GUAMARE,82,73.38,2.7,0.0030468360737419035,73.38,25,2.4997,0.7766,73.38999999999999,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2002,213.0,3481,565.79,252.67,MACAU,MACAU,MACAU,219,252.67,2.66,0.0036294168342430335,252.68,28,2.0719,0.6218,252.65000000000006,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2002,66.0,3021,171.04,65.83,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,67,65.83,2.59,0.0027242634889109566,65.84,12,2.2414,0.902,65.83,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
AREIA BRANCA,2003,26.0,57,124.33,18.8,AREIA BRANCA,AREIA BRANCA,AREIA BRANCA,26,18.799999999999997,4.78,0.3298245614035088,18.8,1,-0.0,0.0,18.8,-4.9529,-37.1373,Litoral Oeste,Areia Branca
CAICARA DO NORTE,2003,200.0,5482,684.23,332.59,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,213,332.6,3.42,0.0046668818230292146,332.59,30,2.4324,0.7152,332.6199999999999,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2003,74.0,1770,189.48,67.68,GUAMARE,GUAMARE,GUAMARE,74,67.68,2.56,0.00382316384180791,67.67,27,2.587,0.7849,67.67,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2003,218.0,4319,553.71,377.68,MACAU,MACAU,MACAU,230,377.68,2.54,0.003975036308909891,377.7,30,1.853,0.5448,377.68,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2003,53.0,1833,151.89,46.08,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,54,46.08,2.87,0.0027932351336606657,46.08,17,2.2142,0.7815,46.06999999999999,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
CAICARA DO NORTE,2004,200.0,6107,666.13,421.24,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,210,421.24,3.33,0.005748048687298728,421.24,31,2.1812,0.6352,421.22999999999996,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2004,85.0,3070,215.33,149.06,GUAMARE,GUAMARE,GUAMARE,87,149.06,2.53,0.004045874049945711,149.05,30,2.6939,0.792,149.06,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2004,235.0,6039,666.29,688.09,MACAU,MACAU,MACAU,244,688.09,2.84,0.005179063360881543,688.0799999999999,30,1.6968,0.4989,688.1,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2004,50.0,2616,127.54,69.85,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,51,69.84,2.55,0.002670107033639144,69.85,20,2.1496,0.7176,69.84,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
AREIA BRANCA,2005,94.0,846,251.27,117.16,AREIA BRANCA,AREIA BRANCA,AREIA BRANCA,97,117.16,2.67,0.01384869976359338,117.16,32,1.4134,0.4078,117.16999999999999,-4.9529,-37.1373,Litoral Oeste,Areia Branca
CAICARA DO NORTE,2005,217.0,4930,699.5,335.3,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE,228,335.31,3.22,0.005667511832319135,335.29,30,2.6121,0.768,335.2999999999999,-5.0697,-36.0703,Litoral Leste,Caiçara do Norte
GUAMARE,2005,72.0,1687,184.08,82.16,GUAMARE,GUAMARE,GUAMARE,72,82.17,2.56,0.0048695909899229405,82.15,31,2.6755,0.7791,82.19,-5.1131,-36.3266,Litoral Norte,Guamaré
MACAU,2005,254.0,5826,553.88,390.76,MACAU,MACAU,MACAU,262,390.76,2.18,0.0033536731891520765,390.77,34,2.3855,0.6765,390.7900000000001,-5.1151,-36.6352,Litoral Norte,Macau
PORTO DO MANGUE,2005,89.0,4660,218.09,139.68,PORTO DO MANGUE,PORTO DO MANGUE,PORTO DO MANGUE,91,139.68,2.45,0.002305381313965005,139.66,31,2.8785,0.8383,139.69000000000003,-5.1614,-36.8428,Litoral Norte,Porto do Mangue
