local,year,boat_type,vessels_monitored,fleet_production_ton,zero_production_flag
AREIA BRANCA,2003,BMG,2,3.08,False
AREIA BRANCA,2003,BMM,20,15.37,False
AREIA BRANCA,2003,BMP,1,0.06,False
AREIA BRANCA,2003,BOV,3,0.29,False
AREIA BRANCA,2005,BMG,4,7.5,False
AREIA BRANCA,2005,BMM,52,79.82,False
AREIA BRANCA,2005,BMP,6,3.73,False
AREIA BRANCA,2005,BOV,22,20.86,False
AREIA BRANCA,2005,CAV,1,0.07,False
AREIA BRANCA,2005,PQM,12,5.18,False
AREIA BRANCA,2006,BMG,1,0.86,False
AREIA BRANCA,2006,BMM,40,21.55,False
AREIA BRANCA,2006,BMP,4,2.12,False
AREIA BRANCA,2006,BOV,9,3.7,False
AREIA BRANCA,2006,JAV,3,5.33,False
AREIA BRANCA,2006,PQM,10,4.45,False
AREIA BRANCA,2007,BMG,4,4.84,False
AREIA BRANCA,2007,BMM,34,29.68,False
AREIA BRANCA,2007,BMP,4,9.18,False
AREIA BRANCA,2007,BOV,7,3.35,False
AREIA BRANCA,2007,PQM,12,8.86,False
AREIA BRANCA,2008,BMG,10,64.26,False
AREIA BRANCA,2008,BMM,43,214.02,False
AREIA BRANCA,2008,BMP,9,30.65,False
AREIA BRANCA,2008,BOV,12,18.43,False
AREIA BRANCA,2008,CAM,1,0.57,False
AREIA BRANCA,2008,JAV,3,11.8,False
AREIA BRANCA,2008,PQM,42,37.38,False
AREIA BRANCA,2009,BMG,6,317.186,False
AREIA BRANCA,2009,BMM,52,293.305,False
AREIA BRANCA,2009,BMP,21,72.88,False
AREIA BRANCA,2009,BOM,0,0.0,True
AREIA BRANCA,2009,BOV,37,50.935,False
AREIA BRANCA,2009,CAM,1,0.618,False
AREIA BRANCA,2009,CAV,19,19.269,False
AREIA BRANCA,2009,JAV,13,8.870000000000001,False
AREIA BRANCA,2009,PED,6,1.337,False
AREIA BRANCA,2009,PQM,20,20.105,False
AREIA BRANCA,2009,PQV,73,57.472,False
AREIA BRANCA,2010,BMG,6,287.256,False
AREIA BRANCA,2010,BMM,47,220.228,False
AREIA BRANCA,2010,BMP,25,44.67,False
AREIA BRANCA,2010,BOM,0,0.0,True
AREIA BRANCA,2010,BOV,37,41.14,False
AREIA BRANCA,2010,CAM,0,0.0,True
AREIA BRANCA,2010,CAR,1,0.141,False
AREIA BRANCA,2010,CAV,18,12.796,False
AREIA BRANCA,2010,JAV,13,11.705,False
AREIA BRANCA,2010,PED,14,20.616,False
AREIA BRANCA,2010,PQM,19,30.995,False
AREIA BRANCA,2010,PQR,1,0.0,True
AREIA BRANCA,2010,PQV,19,34.725,False
AREIA BRANCA,2011,BMG,9,264.295,False
AREIA BRANCA,2011,BMM,43,283.888,False
AREIA BRANCA,2011,BMP,25,60.107,False
AREIA BRANCA,2011,BOM,3,2.61,False
AREIA BRANCA,2011,BOV,32,35.559,False
AREIA BRANCA,2011,CAM,2,0.619,False
AREIA BRANCA,2011,CAR,2,0.15,False
AREIA BRANCA,2011,CAV,10,12.677,False
AREIA BRANCA,2011,JAM,7,8.027,False
AREIA BRANCA,2011,JAV,37,15.171,False
AREIA BRANCA,2011,PED,19,0.651,False
AREIA BRANCA,2011,PQM,8,7.27,False
AREIA BRANCA,2011,PQR,40,0.0,True
AREIA BRANCA,2011,PQV,66,17.324,False
AREIA BRANCA,2012,BMG,9,565.4,False
AREIA BRANCA,2012,BMM,39,275.6,False
AREIA BRANCA,2012,BMP,17,33.2,False
AREIA BRANCA,2012,BOM,12,13.1,False
AREIA BRANCA,2012,BOV,27,30.7,False
AREIA BRANCA,2012,CAM,2,1.3,False
AREIA BRANCA,2012,CAR,5,0.2,False
AREIA BRANCA,2012,CAV,6,5.4,False
AREIA BRANCA,2012,JAM,16,19.4,False
AREIA BRANCA,2012,JAV,27,23.3,False
AREIA BRANCA,2012,PED,46,3.4,False
AREIA BRANCA,2012,PQM,7,4.5,False
AREIA BRANCA,2012,PQV,30,8.7,False
AREIA BRANCA,2013,BMG,19,1043.1,False
AREIA BRANCA,2013,BMM,33,273.4,False
AREIA BRANCA,2013,BMP,10,36.09999999999999,False
AREIA BRANCA,2013,BOM,7,16.7,False
AREIA BRANCA,2013,BOV,11,21.0,False
AREIA BRANCA,2013,CAM,0,0.2,False
AREIA BRANCA,2013,CAR,0,0.0,True
AREIA BRANCA,2013,CAV,3,3.0,False
AREIA BRANCA,2013,JAM,8,18.6,False
AREIA BRANCA,2013,JAV,16,25.2,False
AREIA BRANCA,2013,PED,5,4.1,False
AREIA BRANCA,2013,PQM,1,0.9,False
AREIA BRANCA,2013,PQV,5,12.2,False
AREIA BRANCA,2014,BMG,25,1159.6,False
AREIA BRANCA,2014,BMM,27,106.0,False
AREIA BRANCA,2014,BMP,8,16.6,False
AREIA BRANCA,2014,BOM,7,11.0,False
AREIA BRANCA,2014,BOV,11,8.5,False
AREIA BRANCA,2014,CAM,1,0.4,False
AREIA BRANCA,2014,CAR,1,0.7,False
AREIA BRANCA,2014,CAV,4,1.8,False
AREIA BRANCA,2014,JAM,9,10.1,False
AREIA BRANCA,2014,JAV,15,11.9,False
AREIA BRANCA,2014,PED,3,0.3,False
AREIA BRANCA,2014,PQM,0,0.6,False
AREIA BRANCA,2014,PQV,3,1.2,False
AREIA BRANCA,2015,BMG,40,1972.0,False
AREIA BRANCA,2015,BMM,24,83.4,False
AREIA BRANCA,2015,BMP,9,15.5,False
AREIA BRANCA,2015,BOM,7,14.2,False
AREIA BRANCA,2015,BOV,9,10.3,False
AREIA BRANCA,2015,CAM,1,0.7,False
AREIA BRANCA,2015,CAR,1,0.8,False
AREIA BRANCA,2015,CAV,3,1.0,False
AREIA BRANCA,2015,JAM,9,15.3,False
AREIA BRANCA,2015,JAV,19,15.2,False
AREIA BRANCA,2015,PED,6,0.5,False
AREIA BRANCA,2015,PQM,2,1.2,False
AREIA BRANCA,2015,PQV,4,1.7,False
AREIA BRANCA,2016,BMG,26,2728.0,False
AREIA BRANCA,2016,BMM,26,206.0,False
