local,landing_point_mean,coord_source,platform_dist_m,platform_dist_km,inside_mpa_name,inside_any_mpa,mpa_dist_m,mpa_dist_km,mpa_boundary_dist_m,mpa_boundary_dist_km,municipality,platform_exposure_class,mpa_exposure_class,combined_exposure_class
AREIA BRANCA,Baixa Grande,exact,28996.411431211287,28.996411431211286,APA Dunas do Rosado,TRUE,0,0,-738.974157596007,-0.738974157596007,724931.58,20-50 km,inside,20-50 km × inside
AREIA BRANCA,Matança,exact,35868.17179980813,35.86817179980813,NA,FALSE,8297.142199154661,8.297142199154662,8297.142199154661,8.297142199154662,721124.86,20-50 km,0-10 km,20-50 km × 0-10 km
AREIA BRANCA,Morro Pintado,exact,26696.264494309697,26.6962644943097,APA Dunas do Rosado,TRUE,0,0,-656.8049604098825,-0.6568049604098825,731167.49,20-50 km,inside,20-50 km × inside
AREIA BRANCA,Ponta do Mel,exact,38333.5788671653,38.3335788671653,NA,FALSE,11848.863410430833,11.848863410430834,11848.863410430833,11.848863410430834,721124.86,20-50 km,10-25 km,20-50 km × 10-25 km
AREIA BRANCA,Redonda,exact,26728.219838045134,26.728219838045135,APA Dunas do Rosado,TRUE,0,0,-888.2156042717397,-0.8882156042717397,732547.85,20-50 km,inside,20-50 km × inside
AREIA BRANCA,São Cristóvão,exact,34831.07988965499,34.83107988965499,NA,FALSE,4957.529629542506,4.957529629542506,4957.529629542506,4.957529629542506,721114.2,20-50 km,0-10 km,20-50 km × 0-10 km
AREIA BRANCA,Upanema,exact,26118.944352602266,26.118944352602266,APA Dunas do Rosado,TRUE,0,0,-709.2108089091364,-0.7092108089091365,726516.48,20-50 km,inside,20-50 km × inside
AREIA BRANCA,Zé Figueira,exact,31831.31808567615,31.83131808567615,NA,FALSE,1374.5975139106686,1.3745975139106685,1374.5975139106686,1.3745975139106685,721124.86,20-50 km,0-10 km,20-50 km × 0-10 km
CAICARA DO NORTE,Morada Nova,exact,27543.634207691437,27.543634207691436,NA,FALSE,36796.89657900764,36.79689657900764,36796.89657900764,36.79689657900764,747235.11,20-50 km,25-50 km,20-50 km × 25-50 km
CAICARA DO NORTE,Sede,exact,35899.56586183768,35.89956586183768,NA,FALSE,39292.806922264484,39.29280692226448,39292.806922264484,39.29280692226448,747235.11,20-50 km,25-50 km,20-50 km × 25-50 km
GALINHOS,Galos,exact,21764.4741498777,21.7644741498777,NA,FALSE,21774.377887425784,21.774377887425786,21774.377887425784,21.774377887425786,747235.11,20-50 km,10-25 km,20-50 km × 10-25 km
