local,year,species,sp_production_ton
AREIA BRANCA,2003,Lagosta,18.8
AREIA BRANCA,2005,Agulha,0.1
AREIA BRANCA,2005,Agulhao,0.66
AREIA BRANCA,2005,Albacora,0.13
AREIA BRANCA,2005,Arabaiana,0.78
AREIA BRANCA,2005,Ariaco,2.41
AREIA BRANCA,2005,Arraia,4.04
AREIA BRANCA,2005,Bagre,0.29
AREIA BRANCA,2005,Biquara,0.61
AREIA BRANCA,2005,Bonito,0.29
AREIA BRANCA,2005,Caico,0.43
AREIA BRANCA,2005,Camarao,0.39
AREIA BRANCA,2005,Camurim,0.04
AREIA BRANCA,2005,Camurupim,0.16
AREIA BRANCA,2005,Cangulo,0.22
AREIA BRANCA,2005,Cavala,1.04
AREIA BRANCA,2005,Caçao,2.41
AREIA BRANCA,2005,Cioba,3.52
AREIA BRANCA,2005,Cururuca,0.06
AREIA BRANCA,2005,Dentao,1.36
AREIA BRANCA,2005,Dourado,0.68
AREIA BRANCA,2005,Garajuba,6.4
AREIA BRANCA,2005,Garoupa,0.04
AREIA BRANCA,2005,Guaiuba,1.84
AREIA BRANCA,2005,Lagosta,83.53999999999999
AREIA BRANCA,2005,Outros,0.79
AREIA BRANCA,2005,Pargo,0.91
AREIA BRANCA,2005,Pescada,1.04
AREIA BRANCA,2005,Sardinha,0.14
AREIA BRANCA,2005,Serra,1.07
AREIA BRANCA,2005,Sirigado,1.08
AREIA BRANCA,2005,Tainha,0.1
AREIA BRANCA,2005,Xareu,0.6000000000000001
AREIA BRANCA,2006,Agulha,0.97
AREIA BRANCA,2006,Agulhao,0.08
AREIA BRANCA,2006,Arabaiana,0.1
AREIA BRANCA,2006,Ariaco,1.96
AREIA BRANCA,2006,Arraia,0.53
AREIA BRANCA,2006,Bagre,0.29
AREIA BRANCA,2006,Biquara,0.38
AREIA BRANCA,2006,Bonito,0.05
AREIA BRANCA,2006,Caico,0.38
AREIA BRANCA,2006,Camarao,2.03
AREIA BRANCA,2006,Camurim,0.06
AREIA BRANCA,2006,Cangulo,0.06
AREIA BRANCA,2006,Cavala,1.25
AREIA BRANCA,2006,Caçao,0.98
AREIA BRANCA,2006,Cioba,5.02
AREIA BRANCA,2006,Cururuca,0.01
AREIA BRANCA,2006,Dentao,1.95
AREIA BRANCA,2006,Dourado,0.62
AREIA BRANCA,2006,Garajuba,1.05
AREIA BRANCA,2006,Guaiuba,0.72
AREIA BRANCA,2006,Lagosta,10.89
AREIA BRANCA,2006,Outros,5.15
AREIA BRANCA,2006,Pescada,0.3
AREIA BRANCA,2006,Serra,0.38
AREIA BRANCA,2006,Sirigado,2.51
AREIA BRANCA,2006,Xareu,0.3
AREIA BRANCA,2007,Agulha,18.62
AREIA BRANCA,2007,Ariaco,3.86
AREIA BRANCA,2007,Arraia,0.28
AREIA BRANCA,2007,Bagre,0.02
AREIA BRANCA,2007,Caico,0.68
AREIA BRANCA,2007,Camurim,0.02
AREIA BRANCA,2007,Cavala,0.9199999999999999
AREIA BRANCA,2007,Caçao,0.89
AREIA BRANCA,2007,Cioba,3.11
AREIA BRANCA,2007,Dentao,0.28
AREIA BRANCA,2007,Dourado,0.68
AREIA BRANCA,2007,Garajuba,2.91
