local,year,fleet_monitored,assisted_trips,estimated_fishermen,production_ton,fishermen_per_vessel_x,cpue_ton_per_trip,cpue_per_fisherman,fishermen_per_vessel_y,municipality,n_landing_points,period
AREIA BRANCA,2003,26.0,57,124.33,18.8,4.781923076923077,0.3298245614035088,0.1512104882168422,4.781923076923077,,8,early
AREIA BRANCA,2005,94.0,846,251.27,117.16,2.673085106382979,0.1384869976359338,0.4662713415847494,2.673085106382979,,8,early
AREIA BRANCA,2006,67.0,633,244.16,38.01,3.644179104477612,0.0600473933649289,0.1556766055045871,3.644179104477612,,8,early
AREIA BRANCA,2007,61.0,241,265.31,55.91,4.349344262295082,0.2319917012448132,0.2107346123402811,4.349344262295082,,8,early
AREIA BRANCA,2008,108.0,1867,360.84,377.11,3.3411111111111107,0.2019871451526513,1.0450892362265825,3.3411111111111107,,8,early
AREIA BRANCA,2009,153.0,2570,641.0,841.98,4.189542483660131,0.3276186770428015,1.313541341653666,4.189542483660131,,8,middle
AREIA BRANCA,2010,187.0,4427,490.5,704.232,2.622994652406417,0.1590765755590693,1.435743119266055,2.622994652406417,,8,middle
AREIA BRANCA,2011,167.0,4846,386.0,708.344,2.311377245508982,0.1461708625670656,1.8350880829015543,2.311377245508982,,8,middle
AREIA BRANCA,2012,196.0,5090,289.0,984.1,1.4744897959183674,0.1933398821218074,3.405190311418685,1.4744897959183674,,8,middle
AREIA BRANCA,2013,198.0,5141,328.5,1454.6,1.6590909090909092,0.2829410620501847,4.4280060882800605,1.6590909090909092,,8,middle
AREIA BRANCA,2014,101.0,2292,389.0,1328.79,3.8514851485148514,0.5797513089005235,3.415912596401028,3.8514851485148514,,8,middle
AREIA BRANCA,2015,119.0,2875,490.0,2131.7,4.117647058823529,0.7414608695652173,4.350408163265306,4.117647058823529,,8,middle
AREIA BRANCA,2016,110.0,2705,404.0,3070.2,3.672727272727273,1.1350092421441773,7.599504950495049,3.672727272727273,,8,recent
AREIA BRANCA,2017,99.0,2342,326.0,3005.0,3.292929292929293,1.2830913748932535,9.217791411042946,3.292929292929293,,8,recent
AREIA BRANCA,2018,109.0,1978,390.0,2284.02,3.5779816513761467,1.1547118301314458,5.856461538461539,3.5779816513761467,,8,recent
AREIA BRANCA,2019,104.0,5729,380.0,4065.29,3.6538461538461537,0.7095985337755281,10.698131578947368,3.6538461538461537,,8,recent
AREIA BRANCA,2020,81.0,4398,296.0,3364.9,3.654320987654321,0.7650977717144156,11.367905405405406,3.654320987654321,,8,recent
AREIA BRANCA,2021,93.0,5340,337.7,4081.78639,3.631182795698925,0.7643794737827716,12.087019218241045,3.631182795698925,,8,recent
AREIA BRANCA,2022,111.9,5041,320.6,3794.97,2.865058087578195,0.7528208688752231,11.83708671241422,2.865058087578195,,8,recent
AREIA BRANCA,2023,81.0,4576,265.4,3747.05,3.276543209876543,0.8188483391608392,14.118500376789752,3.276543209876543,,8,recent
AREIA BRANCA,2024,61.1,3406,219.0,2896.9,3.5842880523731586,0.8505284791544334,13.22785388127854,3.5842880523731586,,8,recent
CAICARA DO NORTE,2001,219.0,5976,710.82,202.7,3.2457534246575346,0.0339190093708166,0.2851636138544216,3.2457534246575346,,2,early
CAICARA DO NORTE,2002,208.0,5495,697.0,305.65,3.3509615384615383,0.0556232939035486,0.438522238163558,3.3509615384615383,,2,early
CAICARA DO NORTE,2003,200.0,5482,684.23,332.59,3.42115,0.0606694636993797,0.4860792423600251,3.42115,,2,early
CAICARA DO NORTE,2004,200.0,6107,666.13,421.24,3.33065,0.0689765842475847,0.6323690570909583,3.33065,,2,early
CAICARA DO NORTE,2005,217.0,4930,699.5,335.3,3.2235023041474653,0.0680121703853955,0.4793423874195854,3.2235023041474653,,2,early
CAICARA DO NORTE,2006,196.0,4786,666.79,364.5,3.401989795918367,0.0761596322607605,0.5466488699590576,3.401989795918367,,2,early
CAICARA DO NORTE,2007,208.0,5534,654.75,509.34,3.1478365384615383,0.0920383086375135,0.7779152348224513,3.1478365384615383,,2,early
CAICARA DO NORTE,2008,199.0,5402,634.87,429.4,3.1903015075376886,0.0794890781192151,0.6763589396254351,3.1903015075376886,,2,early
CAICARA DO NORTE,2009,130.0,5082,854.5,1485.851,6.573076923076923,0.2923752459661551,1.738854300760679,6.573076923076923,,2,middle
CAICARA DO NORTE,2010,145.0,5675,797.5,1346.424,5.5,0.2372553303964757,1.6883059561128526,5.5,,2,middle
CAICARA DO NORTE,2011,217.0,10818,685.0,1257.689,3.1566820276497696,0.1162589203179885,1.8360423357664235,3.1566820276497696,,2,middle
CAICARA DO NORTE,2012,406.0,14516,571.0,1450.1,1.4064039408866995,0.0998966657481399,2.5395796847635723,1.4064039408866995,,2,middle
CAICARA DO NORTE,2013,356.0,14222,566.0,1634.4,1.5898876404494382,0.1149205456335255,2.8876325088339225,1.5898876404494382,,2,middle
CAICARA DO NORTE,2014,178.0,6908,557.0,1081.2,3.1292134831460676,0.1565141864504922,1.941113105924596,3.1292134831460676,,2,middle
CAICARA DO NORTE,2015,181.0,7474,604.0,760.9,3.3370165745856353,0.1018062617072518,1.2597682119205298,3.3370165745856353,,2,middle
CAICARA DO NORTE,2016,177.0,6376,561.0,1672.6,3.169491525423729,0.2623274780426599,2.981461675579322,3.169491525423729,,2,recent
CAICARA DO NORTE,2017,190.0,5230,494.0,1750.0,2.6,0.3346080305927342,3.54251012145749,2.6,,2,recent
CAICARA DO NORTE,2018,200.0,4084,554.0,424.39,2.77,0.1039152791380998,0.7660469314079422,2.77,,2,recent
CAICARA DO NORTE,2019,150.0,12633,561.0,1122.63,3.74,0.0888648777012586,2.0011229946524067,3.74,,2,recent
CAICARA DO NORTE,2020,154.0,8105,534.0,999.21,3.4675324675324677,0.1232831585441085,1.871179775280899,3.4675324675324677,,2,recent
CAICARA DO NORTE,2021,138.0,8799,509.6,1250.73997,3.692753623188406,0.1421456949653369,2.4543562990580847,3.692753623188406,,2,recent
CAICARA DO NORTE,2022,191.8,8280,531.1,898.67,2.769030239833159,0.1085350241545893,1.6920918847674635,2.769030239833159,,2,recent
CAICARA DO NORTE,2023,140.0,8953,539.5,999.63,3.8535714285714286,0.1116530771808332,1.852882298424467,3.8535714285714286,,2,recent
CAICARA DO NORTE,2024,166.8,6922,436.0,784.3,2.6139088729016784,0.1133054030626986,1.7988532110091742,2.6139088729016784,,2,recent
GALINHOS,2004,61.0,814,151.49,40.3,2.48344262295082,0.0495085995085995,0.2660241600105617,2.48344262295082,,1,early
GALINHOS,2005,74.0,735,162.8,27.3,2.2,0.0371428571428571,0.1676904176904176,2.2,,1,early
GALINHOS,2007,80.0,828,167.41,20.31,2.092625,0.0245289855072463,0.1213189176273818,2.092625,,1,early
GALINHOS,2008,128.0,3849,292.29,148.38,2.283515625,0.0385502727981293,0.5076465154469876,2.283515625,,1,early
