local,year,fleet_monitored,assisted_trips,estimated_fishermen,production_ton,fishermen_per_vessel,cpue_ton_per_trip,cpue_per_fisherman
AREIA BRANCA,2003,26.0,57,124.33,18.8,4.781923076923077,0.3298245614035088,0.15121048821684227
AREIA BRANCA,2005,94.0,846,251.27,117.16,2.673085106382979,0.1384869976359338,0.4662713415847494
AREIA BRANCA,2006,67.0,633,244.16,38.01,3.6441791044776117,0.060047393364928904,0.15567660550458715
AREIA BRANCA,2007,61.0,241,265.31,55.91,4.349344262295082,0.23199170124481328,0.21073461234028115
AREIA BRANCA,2008,108.0,1867,360.84,377.11,3.3411111111111107,0.20198714515265132,1.0450892362265825
AREIA BRANCA,2009,153.0,2570,641.0,841.98,4.189542483660131,0.32761867704280156,1.313541341653666
AREIA BRANCA,2010,187.0,4427,490.5,704.232,2.622994652406417,0.15907657555906934,1.435743119266055
AREIA BRANCA,2011,167.0,4846,386.0,708.344,2.311377245508982,0.14617086256706563,1.8350880829015546
AREIA BRANCA,2012,196.0,5090,289.0,984.0999999999999,1.4744897959183674,0.19333988212180744,3.405190311418685
AREIA BRANCA,2013,198.0,5141,328.5,1454.6,1.6590909090909092,0.28294106205018477,4.4280060882800605
AREIA BRANCA,2014,101.0,2292,389.0,1328.79,3.8514851485148514,0.5797513089005235,3.415912596401028
AREIA BRANCA,2015,119.0,2875,490.0,2131.7,4.117647058823529,0.7414608695652173,4.350408163265306
AREIA BRANCA,2016,110.0,2705,404.0,3070.2,3.672727272727273,1.1350092421441773,7.599504950495049
AREIA BRANCA,2017,99.0,2342,326.0,3005.0,3.292929292929293,1.2830913748932535,9.217791411042946
AREIA BRANCA,2018,109.0,1978,390.0,2284.02,3.5779816513761467,1.1547118301314458,5.856461538461539
AREIA BRANCA,2019,104.0,5729,380.0,4065.29,3.6538461538461537,0.7095985337755281,10.698131578947368
AREIA BRANCA,2020,81.0,4398,296.0,3364.9,3.654320987654321,0.7650977717144156,11.367905405405406
AREIA BRANCA,2021,93.0,5340,337.7,4081.78639,3.6311827956989244,0.7643794737827716,12.087019218241043
AREIA BRANCA,2022,111.9,5041,320.6,3794.97,2.865058087578195,0.7528208688752231,11.837086712414221
AREIA BRANCA,2023,81.0,4576,265.4,3747.05,3.276543209876543,0.8188483391608392,14.118500376789752
AREIA BRANCA,2024,61.1,3406,219.0,2896.9,3.5842880523731586,0.8505284791544334,13.22785388127854
CAICARA DO NORTE,2001,219.0,5976,710.82,202.7,3.2457534246575346,0.0339190093708166,0.2851636138544216
