municipality,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,n_locals,cpue_ton_per_trip,cpue_per_fisherman
,2001,566.43,15438,545.0,1536.0700000000002,4,0.03669063350174893,0.3687527261127422
,2002,697.53,14004,563.0,1638.73,4,0.04980934018851756,0.4256527921012003
,2003,843.65,13464,572.0,1708.64,6,0.06265968508615567,0.4937552673471298
,2004,1368.54,18646,631.0,1826.78,5,0.07339590260645715,0.7491542495538598
,2005,1095.13,18688,802.0,2077.62,7,0.05860070633561645,0.5271079408168964
,2006,753.26,12761,556.0,1679.61,5,0.059028289319018885,0.4484731574591721
,2007,1053.27,14409,723.0,2073.49,7,0.07309806371018114,0.5079696550260672
,2008,2741.52,37000,983.0,2732.59,7,0.07409513513513513,1.0032679618969549
,2009,6059.101000000001,38984,1057.0,3060.0,8,0.15542532833983175,1.980098366013072
,2010,5342.827,51782,1335.0,2881.0,8,0.1031792321656174,1.85450433877126
,2011,5027.807,53692,1314.0,2456.5,8,0.09364164121284363,2.0467360065133318
,2012,4615.4,61312,1530.0,2040.5,8,0.07527727035490604,2.2618965939720654
,2013,5752.599999999999,60545,1407.0,2158.25,8,0.09501362622842513,2.6654002085022586
,2014,3731.22,28719,708.0,2100.0,8,0.12992165465371355,1.7767714285714284
,2015,4121.4,33657,773.0,2313.0,8,0.12245298154915767,1.7818417639429311
,2016,7277.3,31517,762.0,2142.0,8,0.23090078370403275,3.3974323062558356
,2017,7359.0,26456,793.0,1928.0,8,0.27815996371333535,3.8169087136929463
,2018,3693.67,21394,788.0,2161.0,8,0.17264980835748342,1.7092410920869967
,2019,7817.468,77708,737.0,2263.0,8,0.10060055592731765,3.4544710561201946
,2020,6618.85,45934,686.0,2044.0,8,0.1440947881743371,3.2381849315068494
,2021,7434.7032,49412,681.0,2097.7,8,0.15046351493564317,3.544216618200887
,2022,7287.54,49221,861.0,2163.7,8,0.1480575364173828,3.3680916947820867
,2023,7344.87,50217,672.0,2069.1,8,0.14626262022820957,3.5497897636653617
,2024,5500.400000000001,39354,677.8,1741.0,8,0.1397672409412004,3.159333716255026
