local,year,gear_cod,gear_type,gear_group,gear_production_ton
AREIA BRANCA,2003,CVL,covo lagosta,passive,18.8
AREIA BRANCA,2005,APO,arrasto de porta,active,0.39
AREIA BRANCA,2005,CPL,covo peixe e lagosta,passive,1.37
AREIA BRANCA,2005,CVL,covo lagosta,passive,62.89
AREIA BRANCA,2005,CVP,covo peixe,passive,4.68
AREIA BRANCA,2005,LCL,linha e covo lagosta,mixed,24.8
AREIA BRANCA,2005,LIN,linha,passive,12.49
AREIA BRANCA,2005,MEL,mergulho livre,active,0.1
AREIA BRANCA,2005,RES,rede de espera,passive,10.26
AREIA BRANCA,2005,TRF,tarrafa,active,0.18
AREIA BRANCA,2006,APA,arrasto de praia,active,5.33
AREIA BRANCA,2006,APO,arrasto de porta,active,1.84
AREIA BRANCA,2006,CVL,covo lagosta,passive,4.25
AREIA BRANCA,2006,CVP,covo peixe,passive,0.67
AREIA BRANCA,2006,LCL,linha e covo lagosta,mixed,6.81
AREIA BRANCA,2006,LIN,linha,passive,15.89
AREIA BRANCA,2006,RAG,rede agulha,passive,0.97
AREIA BRANCA,2006,RES,rede de espera,passive,2.25
AREIA BRANCA,2007,CVL,covo lagosta,passive,9.540000000000001
AREIA BRANCA,2007,CVP,covo peixe,passive,0.67
AREIA BRANCA,2007,LCL,linha e covo lagosta,mixed,8.7
AREIA BRANCA,2007,LIN,linha,passive,12.39
AREIA BRANCA,2007,RAG,rede agulha,passive,18.62
AREIA BRANCA,2007,RES,rede de espera,passive,5.98
AREIA BRANCA,2008,APA,arrasto de praia,active,11.8
AREIA BRANCA,2008,APO,arrasto de porta,active,77.34
AREIA BRANCA,2008,CPL,covo peixe e lagosta,passive,0.06
AREIA BRANCA,2008,CVL,covo lagosta,passive,109.22
AREIA BRANCA,2008,CVP,covo peixe,passive,4.39
AREIA BRANCA,2008,LCL,linha e covo lagosta,mixed,9.87
AREIA BRANCA,2008,LIN,linha,passive,60.28
AREIA BRANCA,2008,MEL,mergulho livre,active,1.04
AREIA BRANCA,2008,RAG,rede agulha,passive,53.29
AREIA BRANCA,2008,RES,rede de espera,passive,49.82
AREIA BRANCA,2009,APA,arrasto de praia,active,8.9008
AREIA BRANCA,2009,APO,arrasto de porta,active,111.069
AREIA BRANCA,2009,CMN,coleta manual,active,1.337
AREIA BRANCA,2009,CMP,compressor,active,3.9054
AREIA BRANCA,2009,CUR,curral,passive,0.0
AREIA BRANCA,2009,CVL,covo lagosta,passive,0.07
AREIA BRANCA,2009,CVP,covo peixe,passive,9.2729
AREIA BRANCA,2009,ESP,espinhel,passive,4.8903
AREIA BRANCA,2009,LCP,linha e covo peixe,mixed,0.0
AREIA BRANCA,2009,LIJ,linha e jereré,passive,0.0
AREIA BRANCA,2009,LIN,linha,passive,408.7905
AREIA BRANCA,2009,MEL,mergulho livre,active,12.761
AREIA BRANCA,2009,PUC,puçá/mangote,active,0.0
AREIA BRANCA,2009,RAG,rede agulha,passive,0.816
AREIA BRANCA,2009,RCA,rede caçoeira,passive,66.6776
AREIA BRANCA,2009,RES,rede de espera,passive,193.9499
AREIA BRANCA,2009,RTP,rede de tapagem,passive,0.0
AREIA BRANCA,2009,SRD,sardinheira,active,0.0
AREIA BRANCA,2009,TNR,tainheira,active,8.3726
AREIA BRANCA,2009,TRF,tarrafa,active,10.9879
AREIA BRANCA,2009,TRM,tresmalho,passive,0.0
AREIA BRANCA,2010,APA,arrasto de praia,active,30.451
AREIA BRANCA,2010,APO,arrasto de porta,active,10.87
AREIA BRANCA,2010,CMN,coleta manual,active,1.83
AREIA BRANCA,2010,CMP,compressor,active,6.513
AREIA BRANCA,2010,CUR,curral,passive,0.0
AREIA BRANCA,2010,CVL,covo lagosta,passive,0.544
AREIA BRANCA,2010,CVP,covo peixe,passive,14.516
AREIA BRANCA,2010,ESP,espinhel,passive,8.556
AREIA BRANCA,2010,LCP,linha e covo peixe,passive,0.0
AREIA BRANCA,2010,LES,linha e espinhel,passive,0.0
AREIA BRANCA,2010,LIJ,linha e jereré,passive,0.0
AREIA BRANCA,2010,LIN,linha,passive,352.763
AREIA BRANCA,2010,LRE,linha e rede de espera,passive,0.0
AREIA BRANCA,2010,MEL,mergulho livre,active,3.372
AREIA BRANCA,2010,PUC,puçá,active,0.277
AREIA BRANCA,2010,RAG,rede de agulha,passive,5.514
AREIA BRANCA,2010,RCA,rede caçoeira,passive,78.134
AREIA BRANCA,2010,RES,rede de espera,passive,178.638
AREIA BRANCA,2010,RTP,rede de tapagem,passive,0.0
AREIA BRANCA,2010,SRD,sardinheira,active,0.0
AREIA BRANCA,2010,TNR,tainheira,active,7.159
AREIA BRANCA,2010,TRF,tarrafa,active,5.094
AREIA BRANCA,2010,TRM,tresmalho,passive,0.0
AREIA BRANCA,2011,APA,arrasto de praia,active,0.013
AREIA BRANCA,2011,APO,arrasto de porta,active,6.348
AREIA BRANCA,2011,CMN,coleta manual,active,0.152
AREIA BRANCA,2011,CMP,compressor,active,17.592
AREIA BRANCA,2011,CPL,covo peixe e lagosta,passive,4.292
AREIA BRANCA,2011,CVL,covo lagosta,passive,7.66
AREIA BRANCA,2011,CVP,covo peixe,passive,58.776
AREIA BRANCA,2011,JER,jereré,active,0.018
AREIA BRANCA,2011,LCL,linha e covo lagosta,mixed,13.046
AREIA BRANCA,2011,LCP,linha e covo peixe,mixed,4.195
AREIA BRANCA,2011,LES,linha e espinhel,mixed,9.22
AREIA BRANCA,2011,LIJ,linha e jereré,mixed,0.019
AREIA BRANCA,2011,LIN,linha,passive,316.684
AREIA BRANCA,2011,LML,linha e mergulho livre,mixed,0.161
AREIA BRANCA,2011,LRE,linha e rede de espera,mixed,14.147
AREIA BRANCA,2011,MEL,mergulho livre,active,4.337
AREIA BRANCA,2011,PUC,puçá,active,0.131
AREIA BRANCA,2011,RAG,rede agulha,passive,9.645
AREIA BRANCA,2011,RCA,rede caçoeira,passive,69.21000000000001
AREIA BRANCA,2011,RES,rede de espera,passive,153.615
AREIA BRANCA,2011,TNR,traineira,active,9.024000000000001
AREIA BRANCA,2011,TRF,tarrafa,active,1.593
AREIA BRANCA,2011,TRM,tremalho,passive,8.45
AREIA BRANCA,2012,APA,arrasto de praia,active,1.5
AREIA BRANCA,2012,APO,arrasto de porta,active,0.7
AREIA BRANCA,2012,CMN,coleta manual,active,0.6
AREIA BRANCA,2012,CMP,compressor,active,34.0
AREIA BRANCA,2012,CPL,covo peixe e lagosta,passive,9.3
AREIA BRANCA,2012,CUR,curral,passive,0.0
AREIA BRANCA,2012,CVL,covo lagosta,passive,31.9
AREIA BRANCA,2012,CVP,covo peixe,passive,91.80000000000001
AREIA BRANCA,2012,JER,jereré,active,0.0
AREIA BRANCA,2012,LCL,linha e covo lagosta,mixed,32.4
AREIA BRANCA,2012,LCP,linha e covo peixe,mixed,12.7
AREIA BRANCA,2012,LES,linha e espinhel,mixed,1.4
AREIA BRANCA,2012,LIJ,linha e jereré,mixed,0.3
AREIA BRANCA,2012,LIN,linha,passive,550.8
AREIA BRANCA,2012,LML,linha e mergulho livre,mixed,0.6
AREIA BRANCA,2012,LRE,linha e rede de espera,mixed,10.5
AREIA BRANCA,2012,MEL,mergulho livre,active,9.0
AREIA BRANCA,2012,PUC,puçá,active,0.1
AREIA BRANCA,2012,RAG,rede agulha,passive,9.3
AREIA BRANCA,2012,RCA,rede caçoeira,passive,61.2
AREIA BRANCA,2012,RES,rede de espera,passive,104.8
AREIA BRANCA,2012,RTP,rede de tapagem,passive,0.0
AREIA BRANCA,2012,SRD,sardinheira,passive,0.0
AREIA BRANCA,2012,TNR,traineira,active,6.800000000000001
AREIA BRANCA,2012,TRF,tarrafa,active,0.7
AREIA BRANCA,2012,TRM,tremalho,passive,14.0
AREIA BRANCA,2013,APA,arrasto de praia,active,0.3
AREIA BRANCA,2013,APO,arrasto de porta,active,1.0
AREIA BRANCA,2013,CMN,coleta manual,active,0.5
AREIA BRANCA,2013,CMP,compressor,active,17.6
AREIA BRANCA,2013,CPL,covo peixe e lagosta,passive,4.8
AREIA BRANCA,2013,CUR,curral,passive,0.0
AREIA BRANCA,2013,CVL,covo lagosta,passive,56.8
AREIA BRANCA,2013,CVP,covo peixe,passive,75.8
AREIA BRANCA,2013,ESP,espinhel,passive,7.7
AREIA BRANCA,2013,JER,jereré,active,0.0
AREIA BRANCA,2013,LCL,linha e covo lagosta,passive,15.6
AREIA BRANCA,2013,LCP,linha e covo peixe,passive,18.4
AREIA BRANCA,2013,LES,linha e espinhel,passive,9.0
AREIA BRANCA,2013,LIJ,linha e jereré,passive,0.0
AREIA BRANCA,2013,LIN,linha,passive,1071.5
AREIA BRANCA,2013,LML,linha e mergulho livre,mixed,1.1
AREIA BRANCA,2013,LRE,linha e rede de espera,passive,5.8
AREIA BRANCA,2013,MEL,mergulho livre,active,5.7
AREIA BRANCA,2013,PUC,puçá,active,0.0
AREIA BRANCA,2013,RAG,rede agulha,passive,2.3
AREIA BRANCA,2013,RCA,rede caçoeira,passive,14.8
AREIA BRANCA,2013,RES,rede de espera,passive,129.5
AREIA BRANCA,2013,RTP,rede de tapagem,passive,0.0
AREIA BRANCA,2013,SRD,sardinheira,active,0.0
AREIA BRANCA,2013,TNR,tainheira,active,2.9
AREIA BRANCA,2013,TRF,tarrafa,active,1.2
AREIA BRANCA,2013,TRM,tresmalho,passive,12.9
AREIA BRANCA,2014,APA,arrasto de praia,active,0.7
