local,landing_point_mean,latitude,longitude
AREIA BRANCA,Baixa Grande,-4.931284321002511,-36.9879877205538
AREIA BRANCA,Matança,-4.929863992314963,-37.08068852131728
AREIA BRANCA,Morro Pintado,-4.940236526252264,-36.93005097747947
AREIA BRANCA,Ponta do Mel,-4.925432268385885,-37.11270590450727
AREIA BRANCA,Redonda,-4.9517701405946966,-36.89743178981018
AREIA BRANCA,São Cristóvão,-4.947833889792277,-37.05058540527553
AREIA BRANCA,Upanema,-4.919653577604059,-36.95856103352911
AREIA BRANCA,Zé Figueira,-4.940229916945483,-37.01828512850523
CAICARA DO NORTE,Morada Nova,-5.064928603554005,-36.07101599744643
CAICARA DO NORTE,Sede,-5.149659447940746,-36.04814451469139
GALINHOS,Galos,-5.095352694945626,-36.20624667475862
GROSSOS,Areias Alvas,-4.892776878574419,-37.21178130112545
GROSSOS,Pernambuquinho,-4.914548516398247,-37.18569746845682
GROSSOS,Sede,-4.938470784785444,-37.16204930231303
GUAMARE,Amaro,-5.093413301837474,-36.32143938603708
GUAMARE,Sede,-5.085746505744687,-36.39164119897589
MACAU,Barreiras,-5.061947994159254,-36.50638780624514
MACAU,Diogo Lopes,-5.086593330740029,-36.66344588806127
MACAU,Porto da Areia,-5.087731868559231,-36.54233381460647
MACAU,Porto de São Pedro,-5.084034062736216,-36.5867758170263
MACAU,Sertãozinho,-5.094262170998853,-36.61371432508926
MACAU,Soledade,-5.066917186953133,-36.45803660622718
PORTO DO MANGUE,Logradouro,-5.060085787165176,-36.7497874579974
PORTO DO MANGUE,Rosado,-4.992958193457964,-36.83981805592954
PORTO DO MANGUE,Sede,-5.037559675495645,-36.79870863555735
TIBAU,Emanoelas,-4.848717298193558,-37.24212931149628
TIBAU,Sede,-4.87132601932674,-37.40877012606223
