species,taxon_group
Agulha,small_pelagic
Agulhao,small_pelagic
Albacora,large_pelagic
Albacorinha,large_pelagic
Arabaiana,large_pelagic
Ariaco,demersal
Arraia,elasmobranch
Bagre,other
Beijupira,demersal
Bicuda,demersal
Biquara,demersal
Bonito,large_pelagic
Budiao,demersal
Buzios,other
Caçao,other
Caico,other
Camarao,invertebrate
Camurim,other
Camurupim,other
Cangulo,other
Caranguejo,other
Carapeba,other
Carauna,other
Cavala,large_pelagic
Cioba,demersal
Cururuca,other
Dentao,other
Dourado,other
Espada,demersal
Galo Do Alto,other
Garabebeu,other
Garajuba,other
Garoupa,demersal
Guaiuba,other
Lagosta,invertebrate
Marisco,other
Outros,other
Ova Voador,other
Pampo,other
Pargo,demersal
Paru,other
Peixe Galo,other
Peixe Voador,small_pelagic
Pescada,demersal
Pirauna,other
Polvo,invertebrate
Salema,other
Saramunete,other
Sardinha,small_pelagic
Serra,large_pelagic
Siri,invertebrate
Sirigado,demersal
Tainha,demersal
Tilapia,other
Ubarana,other
Xareu,demersal
