local,year,boat_type,propulsion,vessels_monitored,total_vessels,boat_share,share_motorised,share_sail_row,share_other
AREIA BRANCA,2003,BMG,motorised,2,26,0.07692307692307693,0.8846153846153846,0.11538461538461539,0.0
AREIA BRANCA,2003,BMM,motorised,20,26,0.7692307692307693,0.8846153846153846,0.11538461538461539,0.0
AREIA BRANCA,2003,BMP,motorised,1,26,0.038461538461538464,0.8846153846153846,0.11538461538461539,0.0
AREIA BRANCA,2003,BOV,sail/row,3,26,0.11538461538461539,0.8846153846153846,0.11538461538461539,0.0
AREIA BRANCA,2005,BMG,motorised,4,97,0.041237113402061855,0.7628865979381443,0.23711340206185566,0.0
AREIA BRANCA,2005,BMM,motorised,52,97,0.5360824742268041,0.7628865979381443,0.23711340206185566,0.0
AREIA BRANCA,2005,BMP,motorised,6,97,0.061855670103092786,0.7628865979381443,0.23711340206185566,0.0
AREIA BRANCA,2005,BOV,sail/row,22,97,0.2268041237113402,0.7628865979381443,0.23711340206185566,0.0
AREIA BRANCA,2005,CAV,sail/row,1,97,0.010309278350515464,0.7628865979381443,0.23711340206185566,0.0
AREIA BRANCA,2005,PQM,motorised,12,97,0.12371134020618557,0.7628865979381443,0.23711340206185566,0.0
AREIA BRANCA,2006,BMG,motorised,1,67,0.014925373134328358,0.8208955223880597,0.1791044776119403,0.0
AREIA BRANCA,2006,BMM,motorised,40,67,0.5970149253731343,0.8208955223880597,0.1791044776119403,0.0
AREIA BRANCA,2006,BMP,motorised,4,67,0.05970149253731343,0.8208955223880597,0.1791044776119403,0.0
AREIA BRANCA,2006,BOV,sail/row,9,67,0.13432835820895522,0.8208955223880597,0.1791044776119403,0.0
AREIA BRANCA,2006,JAV,sail/row,3,67,0.04477611940298507,0.8208955223880597,0.1791044776119403,0.0
AREIA BRANCA,2006,PQM,motorised,10,67,0.14925373134328357,0.8208955223880597,0.1791044776119403,0.0
AREIA BRANCA,2007,BMG,motorised,4,61,0.06557377049180328,0.8852459016393442,0.11475409836065574,0.0
AREIA BRANCA,2007,BMM,motorised,34,61,0.5573770491803278,0.8852459016393442,0.11475409836065574,0.0
AREIA BRANCA,2007,BMP,motorised,4,61,0.06557377049180328,0.8852459016393442,0.11475409836065574,0.0
AREIA BRANCA,2007,BOV,sail/row,7,61,0.11475409836065574,0.8852459016393442,0.11475409836065574,0.0
AREIA BRANCA,2007,PQM,motorised,12,61,0.19672131147540983,0.8852459016393442,0.11475409836065574,0.0
AREIA BRANCA,2008,BMG,motorised,10,120,0.08333333333333333,0.875,0.125,0.0
AREIA BRANCA,2008,BMM,motorised,43,120,0.35833333333333334,0.875,0.125,0.0
AREIA BRANCA,2008,BMP,motorised,9,120,0.075,0.875,0.125,0.0
AREIA BRANCA,2008,BOV,sail/row,12,120,0.1,0.875,0.125,0.0
AREIA BRANCA,2008,CAM,motorised,1,120,0.008333333333333333,0.875,0.125,0.0
AREIA BRANCA,2008,JAV,sail/row,3,120,0.025,0.875,0.125,0.0
AREIA BRANCA,2008,PQM,motorised,42,120,0.35,0.875,0.125,0.0
AREIA BRANCA,2009,BMG,motorised,6,248,0.024193548387096774,0.4032258064516129,0.5725806451612904,0.024193548387096774
AREIA BRANCA,2009,BMM,motorised,52,248,0.20967741935483872,0.4032258064516129,0.5725806451612904,0.024193548387096774
AREIA BRANCA,2009,BMP,motorised,21,248,0.0846774193548387,0.4032258064516129,0.5725806451612904,0.024193548387096774
AREIA BRANCA,2009,BOM,other,0,248,0.0,0.4032258064516129,0.5725806451612904,0.024193548387096774
AREIA BRANCA,2009,BOV,sail/row,37,248,0.14919354838709678,0.4032258064516129,0.5725806451612904,0.024193548387096774
AREIA BRANCA,2009,CAM,motorised,1,248,0.004032258064516129,0.4032258064516129,0.5725806451612904,0.024193548387096774
AREIA BRANCA,2009,CAV,sail/row,19,248,0.07661290322580645,0.4032258064516129,0.5725806451612904,0.024193548387096774
AREIA BRANCA,2009,JAV,sail/row,13,248,0.05241935483870968,0.4032258064516129,0.5725806451612904,0.024193548387096774
AREIA BRANCA,2009,PED,other,6,248,0.024193548387096774,0.4032258064516129,0.5725806451612904,0.024193548387096774
AREIA BRANCA,2009,PQM,motorised,20,248,0.08064516129032258,0.4032258064516129,0.5725806451612904,0.024193548387096774
AREIA BRANCA,2009,PQV,sail/row,73,248,0.29435483870967744,0.4032258064516129,0.5725806451612904,0.024193548387096774
AREIA BRANCA,2010,BMG,motorised,6,200,0.03,0.485,0.435,0.08
AREIA BRANCA,2010,BMM,motorised,47,200,0.235,0.485,0.435,0.08
AREIA BRANCA,2010,BMP,motorised,25,200,0.125,0.485,0.435,0.08
AREIA BRANCA,2010,BOM,other,0,200,0.0,0.485,0.435,0.08
AREIA BRANCA,2010,BOV,sail/row,37,200,0.185,0.485,0.435,0.08
AREIA BRANCA,2010,CAM,motorised,0,200,0.0,0.485,0.435,0.08
AREIA BRANCA,2010,CAR,other,1,200,0.005,0.485,0.435,0.08
AREIA BRANCA,2010,CAV,sail/row,18,200,0.09,0.485,0.435,0.08
AREIA BRANCA,2010,JAV,sail/row,13,200,0.065,0.485,0.435,0.08
AREIA BRANCA,2010,PED,other,14,200,0.07,0.485,0.435,0.08
AREIA BRANCA,2010,PQM,motorised,19,200,0.095,0.485,0.435,0.08
AREIA BRANCA,2010,PQR,other,1,200,0.005,0.485,0.435,0.08
AREIA BRANCA,2010,PQV,sail/row,19,200,0.095,0.485,0.435,0.08
AREIA BRANCA,2011,BMG,motorised,9,303,0.0297029702970297,0.3102310231023102,0.47854785478547857,0.21122112211221122
AREIA BRANCA,2011,BMM,motorised,43,303,0.1419141914191419,0.3102310231023102,0.47854785478547857,0.21122112211221122
AREIA BRANCA,2011,BMP,motorised,25,303,0.08250825082508251,0.3102310231023102,0.47854785478547857,0.21122112211221122
AREIA BRANCA,2011,BOM,other,3,303,0.009900990099009901,0.3102310231023102,0.47854785478547857,0.21122112211221122
AREIA BRANCA,2011,BOV,sail/row,32,303,0.10561056105610561,0.3102310231023102,0.47854785478547857,0.21122112211221122
AREIA BRANCA,2011,CAM,motorised,2,303,0.006600660066006601,0.3102310231023102,0.47854785478547857,0.21122112211221122
