mpa_exposure_class,year,boat_type,propulsion,vessels_monitored,total_vessels,boat_share,share_motorised,share_sail_row,share_other
0-10 km,2001,BMG,motorised,2,272,0.007352941176470588,0.2426470588235294,0.7389705882352942,0.01838235294117647
0-10 km,2001,BMM,motorised,20,272,0.07352941176470588,0.2426470588235294,0.7389705882352942,0.01838235294117647
0-10 km,2001,BMP,motorised,40,272,0.14705882352941177,0.2426470588235294,0.7389705882352942,0.01838235294117647
0-10 km,2001,BOV,sail/row,72,272,0.2647058823529412,0.2426470588235294,0.7389705882352942,0.01838235294117647
0-10 km,2001,CAV,sail/row,129,272,0.4742647058823529,0.2426470588235294,0.7389705882352942,0.01838235294117647
0-10 km,2001,PED,other,5,272,0.01838235294117647,0.2426470588235294,0.7389705882352942,0.01838235294117647
0-10 km,2001,PQM,motorised,4,272,0.014705882352941176,0.2426470588235294,0.7389705882352942,0.01838235294117647
0-10 km,2002,BMG,motorised,1,301,0.0033222591362126247,0.24584717607973422,0.717607973421927,0.036544850498338874
0-10 km,2002,BMM,motorised,27,301,0.08970099667774087,0.24584717607973422,0.717607973421927,0.036544850498338874
0-10 km,2002,BMP,motorised,44,301,0.1461794019933555,0.24584717607973422,0.717607973421927,0.036544850498338874
0-10 km,2002,BOV,sail/row,74,301,0.24584717607973422,0.24584717607973422,0.717607973421927,0.036544850498338874
0-10 km,2002,CAV,sail/row,142,301,0.4717607973421927,0.24584717607973422,0.717607973421927,0.036544850498338874
0-10 km,2002,PED,other,11,301,0.036544850498338874,0.24584717607973422,0.717607973421927,0.036544850498338874
0-10 km,2002,PQM,motorised,2,301,0.006644518272425249,0.24584717607973422,0.717607973421927,0.036544850498338874
0-10 km,2003,BMM,motorised,25,304,0.08223684210526316,0.23026315789473684,0.756578947368421,0.013157894736842105
0-10 km,2003,BMP,motorised,44,304,0.14473684210526316,0.23026315789473684,0.756578947368421,0.013157894736842105
0-10 km,2003,BOV,sail/row,80,304,0.2631578947368421,0.23026315789473684,0.756578947368421,0.013157894736842105
0-10 km,2003,CAV,sail/row,150,304,0.4934210526315789,0.23026315789473684,0.756578947368421,0.013157894736842105
0-10 km,2003,PED,other,4,304,0.013157894736842105,0.23026315789473684,0.756578947368421,0.013157894736842105
0-10 km,2003,PQM,motorised,1,304,0.003289473684210526,0.23026315789473684,0.756578947368421,0.013157894736842105
0-10 km,2004,BMM,motorised,26,331,0.07854984894259819,0.24471299093655588,0.7039274924471299,0.0513595166163142
0-10 km,2004,BMP,motorised,54,331,0.16314199395770393,0.24471299093655588,0.7039274924471299,0.0513595166163142
0-10 km,2004,BOV,sail/row,82,331,0.24773413897280966,0.24471299093655588,0.7039274924471299,0.0513595166163142
0-10 km,2004,CAV,sail/row,151,331,0.4561933534743202,0.24471299093655588,0.7039274924471299,0.0513595166163142
0-10 km,2004,PED,other,17,331,0.0513595166163142,0.24471299093655588,0.7039274924471299,0.0513595166163142
0-10 km,2004,PQM,motorised,1,331,0.0030211480362537764,0.24471299093655588,0.7039274924471299,0.0513595166163142
0-10 km,2005,BMM,motorised,25,334,0.0748502994011976,0.23353293413173654,0.7485029940119761,0.017964071856287425
0-10 km,2005,BMP,motorised,53,334,0.15868263473053892,0.23353293413173654,0.7485029940119761,0.017964071856287425
0-10 km,2005,BOV,sail/row,81,334,0.24251497005988024,0.23353293413173654,0.7485029940119761,0.017964071856287425
0-10 km,2005,CAV,sail/row,166,334,0.49700598802395207,0.23353293413173654,0.7485029940119761,0.017964071856287425
0-10 km,2005,JAV,sail/row,3,334,0.008982035928143712,0.23353293413173654,0.7485029940119761,0.017964071856287425
0-10 km,2005,PED,other,6,334,0.017964071856287425,0.23353293413173654,0.7485029940119761,0.017964071856287425
0-10 km,2006,BMM,motorised,22,267,0.08239700374531835,0.4606741573033708,0.5355805243445693,0.003745318352059925
0-10 km,2006,BMP,motorised,51,267,0.19101123595505617,0.4606741573033708,0.5355805243445693,0.003745318352059925
0-10 km,2006,BOV,sail/row,57,267,0.21348314606741572,0.4606741573033708,0.5355805243445693,0.003745318352059925
0-10 km,2006,CAM,motorised,48,267,0.1797752808988764,0.4606741573033708,0.5355805243445693,0.003745318352059925
0-10 km,2006,CAV,sail/row,83,267,0.31086142322097376,0.4606741573033708,0.5355805243445693,0.003745318352059925
0-10 km,2006,JAV,sail/row,3,267,0.011235955056179775,0.4606741573033708,0.5355805243445693,0.003745318352059925
0-10 km,2006,PED,other,1,267,0.003745318352059925,0.4606741573033708,0.5355805243445693,0.003745318352059925
0-10 km,2006,PQM,motorised,2,267,0.00749063670411985,0.4606741573033708,0.5355805243445693,0.003745318352059925
0-10 km,2007,BMM,motorised,32,325,0.09846153846153846,0.5692307692307692,0.41846153846153844,0.012307692307692308
0-10 km,2007,BMP,motorised,56,325,0.1723076923076923,0.5692307692307692,0.41846153846153844,0.012307692307692308
0-10 km,2007,BOV,sail/row,49,325,0.15076923076923077,0.5692307692307692,0.41846153846153844,0.012307692307692308
0-10 km,2007,CAM,motorised,95,325,0.2923076923076923,0.5692307692307692,0.41846153846153844,0.012307692307692308
0-10 km,2007,CAV,sail/row,84,325,0.25846153846153846,0.5692307692307692,0.41846153846153844,0.012307692307692308
0-10 km,2007,JAV,sail/row,3,325,0.009230769230769232,0.5692307692307692,0.41846153846153844,0.012307692307692308
0-10 km,2007,PED,other,4,325,0.012307692307692308,0.5692307692307692,0.41846153846153844,0.012307692307692308
0-10 km,2007,PQM,motorised,2,325,0.006153846153846154,0.5692307692307692,0.41846153846153844,0.012307692307692308
0-10 km,2008,BMM,motorised,54,481,0.11226611226611227,0.6029106029106029,0.37422037422037424,0.02286902286902287
0-10 km,2008,BMP,motorised,82,481,0.1704781704781705,0.6029106029106029,0.37422037422037424,0.02286902286902287
0-10 km,2008,BOV,sail/row,51,481,0.10602910602910603,0.6029106029106029,0.37422037422037424,0.02286902286902287
0-10 km,2008,CAM,motorised,153,481,0.3180873180873181,0.6029106029106029,0.37422037422037424,0.02286902286902287
0-10 km,2008,CAV,sail/row,125,481,0.2598752598752599,0.6029106029106029,0.37422037422037424,0.02286902286902287
0-10 km,2008,JAV,sail/row,4,481,0.008316008316008316,0.6029106029106029,0.37422037422037424,0.02286902286902287
0-10 km,2008,PED,other,11,481,0.02286902286902287,0.6029106029106029,0.37422037422037424,0.02286902286902287
0-10 km,2008,PQM,motorised,1,481,0.002079002079002079,0.6029106029106029,0.37422037422037424,0.02286902286902287
0-10 km,2009,BMG,motorised,1,501,0.001996007984031936,0.590818363273453,0.3872255489021956,0.021956087824351298
0-10 km,2009,BMM,motorised,39,501,0.07784431137724551,0.590818363273453,0.3872255489021956,0.021956087824351298
0-10 km,2009,BMP,motorised,78,501,0.15568862275449102,0.590818363273453,0.3872255489021956,0.021956087824351298
0-10 km,2009,BOM,other,0,501,0.0,0.590818363273453,0.3872255489021956,0.021956087824351298
0-10 km,2009,BOV,sail/row,52,501,0.10379241516966067,0.590818363273453,0.3872255489021956,0.021956087824351298
0-10 km,2009,CAM,motorised,178,501,0.35528942115768464,0.590818363273453,0.3872255489021956,0.021956087824351298
0-10 km,2009,CAV,sail/row,134,501,0.26746506986027946,0.590818363273453,0.3872255489021956,0.021956087824351298
0-10 km,2009,JAV,sail/row,7,501,0.013972055888223553,0.590818363273453,0.3872255489021956,0.021956087824351298
0-10 km,2009,PED,other,11,501,0.021956087824351298,0.590818363273453,0.3872255489021956,0.021956087824351298
0-10 km,2009,PQM,motorised,0,501,0.0,0.590818363273453,0.3872255489021956,0.021956087824351298
