boat_type,propulsion,year,vessels_monitored,n_locals,year_total_vessels,boat_share_of_year
BMG,motorised,2001,2,1,557,0.003590664272890485
BMG,motorised,2002,1,1,583,0.0017152658662092624
BMG,motorised,2003,2,1,598,0.0033444816053511705
BMG,motorised,2005,4,1,828,0.004830917874396135
BMG,motorised,2006,1,1,589,0.001697792869269949
BMG,motorised,2007,4,1,765,0.00522875816993464
BMG,motorised,2008,10,1,1103,0.009066183136899365
BMG,motorised,2009,9,5,1418,0.006346967559943582
BMG,motorised,2010,8,8,1364,0.005865102639296188
BMG,motorised,2011,11,8,1498,0.007343124165554072
BMG,motorised,2012,10,8,1416,0.007062146892655367
BMG,motorised,2013,19,8,842,0.022565320665083134
BMG,motorised,2014,26,8,844,0.030805687203791468
BMG,motorised,2015,42,8,888,0.0472972972972973
BMG,motorised,2016,28,8,880,0.031818181818181815
BMG,motorised,2017,23,8,794,0.028967254408060455
BMG,motorised,2018,31,8,708,0.043785310734463276
BMG,motorised,2019,34,8,876,0.03881278538812785
BMG,motorised,2020,22,8,806,0.02729528535980149
BMG,motorised,2021,24,8,819,0.029304029304029304
BMG,motorised,2022,20,8,866,0.023094688221709007
BMG,motorised,2023,21,8,819,0.02564102564102564
BMG,motorised,2024,18,8,741,0.024291497975708502
BMM,motorised,2001,68,4,557,0.12208258527827648
BMM,motorised,2002,83,4,583,0.1423670668953688
BMM,motorised,2003,105,6,598,0.17558528428093645
BMM,motorised,2004,82,4,653,0.12557427258805512
BMM,motorised,2005,135,6,828,0.16304347826086957
BMM,motorised,2006,120,5,589,0.2037351443123939
BMM,motorised,2007,120,6,765,0.1568627450980392
BMM,motorised,2008,155,6,1103,0.14052583862194015
BMM,motorised,2009,179,8,1418,0.12623413258110014
BMM,motorised,2010,183,8,1364,0.13416422287390029
BMM,motorised,2011,171,8,1498,0.11415220293724966
BMM,motorised,2012,150,8,1416,0.1059322033898305
BMM,motorised,2013,123,8,842,0.14608076009501186
BMM,motorised,2014,112,8,844,0.13270142180094788
BMM,motorised,2015,132,8,888,0.14864864864864866
BMM,motorised,2016,126,8,880,0.1431818181818182
BMM,motorised,2017,108,8,794,0.13602015113350127
BMM,motorised,2018,130,8,708,0.18361581920903955
BMM,motorised,2019,179,8,876,0.204337899543379
BMM,motorised,2020,167,8,806,0.20719602977667495
BMM,motorised,2021,163,8,819,0.199023199023199
BMM,motorised,2022,187,8,866,0.21593533487297922
BMM,motorised,2023,185,8,819,0.2258852258852259
BMM,motorised,2024,160,8,741,0.21592442645074225
BMP,motorised,2001,86,4,557,0.15439856373429084
BMP,motorised,2002,91,4,583,0.15608919382504288
BMP,motorised,2003,91,5,598,0.15217391304347827
BMP,motorised,2004,107,5,653,0.1638591117917305
BMP,motorised,2005,120,6,828,0.14492753623188406
BMP,motorised,2006,106,5,589,0.1799660441426146
BMP,motorised,2007,118,6,765,0.1542483660130719
BMP,motorised,2008,177,6,1103,0.16047144152311876
BMP,motorised,2009,174,8,1418,0.1227080394922426
BMP,motorised,2010,186,8,1364,0.13636363636363635
BMP,motorised,2011,130,8,1498,0.08678237650200267
BMP,motorised,2012,70,8,1416,0.04943502824858757
BMP,motorised,2013,39,8,842,0.04631828978622328
BMP,motorised,2014,37,8,844,0.04383886255924171
BMP,motorised,2015,47,8,888,0.05292792792792793
BMP,motorised,2016,49,8,880,0.05568181818181818
BMP,motorised,2017,40,8,794,0.05037783375314862
BMP,motorised,2018,28,8,708,0.03954802259887006
BMP,motorised,2019,35,8,876,0.03995433789954338
BMP,motorised,2020,34,8,806,0.04218362282878412
BMP,motorised,2021,41,8,819,0.050061050061050064
BMP,motorised,2022,53,8,866,0.061200923787528866
BMP,motorised,2023,48,8,819,0.05860805860805861
BMP,motorised,2024,51,8,741,0.06882591093117409
BOM,other,2009,0,8,1418,0.0
BOM,other,2010,0,8,1364,0.0
BOM,other,2011,72,8,1498,0.04806408544726302
BOM,other,2012,151,8,1416,0.10663841807909605
BOM,other,2013,108,8,842,0.12826603325415678
BOM,other,2014,123,8,844,0.1457345971563981
BOM,other,2015,126,8,888,0.14189189189189189
BOM,other,2016,125,8,880,0.14204545454545456
BOM,other,2017,116,8,794,0.14609571788413098
BOM,other,2018,93,8,708,0.13135593220338984
BOM,other,2019,114,8,876,0.13013698630136986
BOM,other,2020,104,8,806,0.12903225806451613
BOM,other,2021,102,8,819,0.12454212454212454
BOM,other,2022,99,8,866,0.11431870669745958
BOM,other,2023,83,8,819,0.10134310134310134
BOM,other,2024,76,8,741,0.10256410256410256
BOV,sail/row,2001,216,4,557,0.3877917414721723
BOV,sail/row,2002,204,4,583,0.34991423670668953
BOV,sail/row,2003,199,5,598,0.33277591973244147
BOV,sail/row,2004,209,5,653,0.32006125574272587
BOV,sail/row,2005,247,6,828,0.29830917874396135
BOV,sail/row,2006,156,5,589,0.26485568760611206
BOV,sail/row,2007,173,6,765,0.2261437908496732
BOV,sail/row,2008,189,6,1103,0.17135086128739802
BOV,sail/row,2009,234,7,1418,0.16502115655853314
BOV,sail/row,2010,211,8,1364,0.15469208211143695
