term,kind,x_value,partial_effect,ci_lower,ci_upper
year_c,smooth,-13.0,-0.770918,-0.995757,-0.54608
year_c,smooth,-12.884422,-0.763921,-0.981779,-0.546063
year_c,smooth,-12.768844,-0.756931,-0.968026,-0.545837
year_c,smooth,-12.653266,-0.749948,-0.954511,-0.545385
year_c,smooth,-12.537688,-0.742968,-0.941245,-0.54469
year_c,smooth,-12.422111,-0.735989,-0.928245,-0.543734
year_c,smooth,-12.306533,-0.729011,-0.915522,-0.5425
year_c,smooth,-12.190955,-0.722031,-0.903092,-0.54097
year_c,smooth,-12.075377,-0.715047,-0.890969,-0.539125
year_c,smooth,-11.959799,-0.708057,-0.879165,-0.536948
year_c,smooth,-11.844221,-0.701059,-0.867696,-0.534422
year_c,smooth,-11.728643,-0.694052,-0.856572,-0.531532
year_c,smooth,-11.613065,-0.687033,-0.845803,-0.528262
year_c,smooth,-11.497487,-0.68,-0.8354,-0.524601
year_c,smooth,-11.38191,-0.672952,-0.825366,-0.520538
year_c,smooth,-11.266332,-0.665887,-0.815707,-0.516067
year_c,smooth,-11.150754,-0.658802,-0.806422,-0.511183
year_c,smooth,-11.035176,-0.651697,-0.797507,-0.505886
year_c,smooth,-10.919598,-0.644568,-0.788955,-0.500181
year_c,smooth,-10.80402,-0.637414,-0.780754,-0.494073
year_c,smooth,-10.688442,-0.630233,-0.772891,-0.487575
year_c,smooth,-10.572864,-0.623023,-0.765347,-0.4807
year_c,smooth,-10.457286,-0.615783,-0.758099,-0.473466
year_c,smooth,-10.341709,-0.608509,-0.751125,-0.465893
year_c,smooth,-10.226131,-0.601201,-0.744399,-0.458004
year_c,smooth,-10.110553,-0.593857,-0.737892,-0.449822
year_c,smooth,-9.994975,-0.586474,-0.731575,-0.441372
year_c,smooth,-9.879397,-0.57905,-0.725421,-0.432679
year_c,smooth,-9.763819,-0.571585,-0.719401,-0.423769
year_c,smooth,-9.648241,-0.564075,-0.713484,-0.414665
year_c,smooth,-9.532663,-0.556518,-0.707645,-0.405392
year_c,smooth,-9.417085,-0.548914,-0.701856,-0.395972
year_c,smooth,-9.301508,-0.54126,-0.696091,-0.386429
year_c,smooth,-9.18593,-0.533554,-0.690327,-0.376781
year_c,smooth,-9.070352,-0.525793,-0.68454,-0.367047
year_c,smooth,-8.954774,-0.517978,-0.678709,-0.357247
year_c,smooth,-8.839196,-0.510104,-0.672813,-0.347395
year_c,smooth,-8.723618,-0.502171,-0.666836,-0.337506
year_c,smooth,-8.60804,-0.494176,-0.660758,-0.327594
year_c,smooth,-8.492462,-0.486118,-0.654565,-0.317671
year_c,smooth,-8.376884,-0.477994,-0.648241,-0.307747
year_c,smooth,-8.261307,-0.469805,-0.641778,-0.297831
year_c,smooth,-8.145729,-0.461551,-0.635175,-0.287928
year_c,smooth,-8.030151,-0.453237,-0.628433,-0.278041
year_c,smooth,-7.914573,-0.444865,-0.621557,-0.268174
year_c,smooth,-7.798995,-0.436438,-0.614548,-0.258327
year_c,smooth,-7.683417,-0.427958,-0.607412,-0.248504
year_c,smooth,-7.567839,-0.419428,-0.600151,-0.238705
year_c,smooth,-7.452261,-0.410852,-0.592772,-0.228931
year_c,smooth,-7.336683,-0.402231,-0.585278,-0.219183
year_c,smooth,-7.221106,-0.393569,-0.577675,-0.209462
year_c,smooth,-7.105528,-0.384868,-0.569969,-0.199767
year_c,smooth,-6.98995,-0.376131,-0.562163,-0.190099
year_c,smooth,-6.874372,-0.367361,-0.554264,-0.180457
year_c,smooth,-6.758794,-0.358561,-0.546278,-0.170844
year_c,smooth,-6.643216,-0.349733,-0.538208,-0.161257
year_c,smooth,-6.527638,-0.34088,-0.530061,-0.151699
year_c,smooth,-6.41206,-0.332005,-0.521842,-0.142169
year_c,smooth,-6.296482,-0.323112,-0.513555,-0.132668
year_c,smooth,-6.180905,-0.314201,-0.505206,-0.123196
year_c,smooth,-6.065327,-0.305277,-0.496799,-0.113755
year_c,smooth,-5.949749,-0.296342,-0.488338,-0.104346
year_c,smooth,-5.834171,-0.287399,-0.479828,-0.094969
year_c,smooth,-5.718593,-0.27845,-0.471272,-0.085627
year_c,smooth,-5.603015,-0.269498,-0.462676,-0.076321
year_c,smooth,-5.487437,-0.260547,-0.454041,-0.067053
year_c,smooth,-5.371859,-0.251599,-0.445373,-0.057825
year_c,smooth,-5.256281,-0.242656,-0.436673,-0.04864
year_c,smooth,-5.140704,-0.233722,-0.427945,-0.039499
year_c,smooth,-5.025126,-0.224799,-0.419193,-0.030406
year_c,smooth,-4.909548,-0.21589,-0.410418,-0.021363
year_c,smooth,-4.79397,-0.206998,-0.401623,-0.012373
year_c,smooth,-4.678392,-0.198126,-0.392811,-0.00344
year_c,smooth,-4.562814,-0.189275,-0.383985,0.005434
year_c,smooth,-4.447236,-0.18045,-0.375145,0.014245
