local,year,gear_cod,gear_type,gear_group,gear_production_ton,total_production_ton,gear_share,share_active,share_passive,share_mixed
AREIA BRANCA,2003,CVL,covo lagosta,passive,18.8,18.8,1.0,,,
AREIA BRANCA,2005,APO,arrasto de porta,active,0.39,117.16,0.003328781153977467,,,
AREIA BRANCA,2005,CPL,covo peixe e lagosta,passive,1.37,117.16,0.011693410720382384,,,
AREIA BRANCA,2005,CVL,covo lagosta,passive,62.89,117.16,0.5367872994195971,,,
AREIA BRANCA,2005,CVP,covo peixe,passive,4.68,117.16,0.0399453738477296,,,
AREIA BRANCA,2005,LCL,linha e covo lagosta,mixed,24.8,117.16,0.2116763400477979,,,
AREIA BRANCA,2005,LIN,linha,passive,12.49,117.16,0.10660635029020143,,,
AREIA BRANCA,2005,MEL,mergulho livre,active,0.1,117.16,0.0008535336292249915,,,
AREIA BRANCA,2005,RES,rede de espera,passive,10.26,117.16,0.08757255035848413,,,
AREIA BRANCA,2005,TRF,tarrafa,active,0.18,117.16,0.0015363605326049847,,,
AREIA BRANCA,2006,APA,arrasto de praia,active,5.33,38.01,0.14022625624835572,,,
AREIA BRANCA,2006,APO,arrasto de porta,active,1.84,38.01,0.048408313601683774,,,
AREIA BRANCA,2006,CVL,covo lagosta,passive,4.25,38.01,0.11181268087345436,,,
AREIA BRANCA,2006,CVP,covo peixe,passive,0.67,38.01,0.017626940278873984,,,
AREIA BRANCA,2006,LCL,linha e covo lagosta,mixed,6.81,38.01,0.17916337805840568,,,
AREIA BRANCA,2006,LIN,linha,passive,15.89,38.01,0.41804788213627997,,,
AREIA BRANCA,2006,RAG,rede agulha,passive,0.97,38.01,0.025519600105235466,,,
AREIA BRANCA,2006,RES,rede de espera,passive,2.25,38.01,0.05919494869771113,,,
AREIA BRANCA,2007,CVL,covo lagosta,passive,9.54,55.900000000000006,0.17066189624329156,,,
AREIA BRANCA,2007,CVP,covo peixe,passive,0.67,55.900000000000006,0.011985688729874776,,,
AREIA BRANCA,2007,LCL,linha e covo lagosta,mixed,8.7,55.900000000000006,0.15563506261180676,,,
AREIA BRANCA,2007,LIN,linha,passive,12.39,55.900000000000006,0.2216457960644007,,,
AREIA BRANCA,2007,RAG,rede agulha,passive,18.62,55.900000000000006,0.3330948121645796,,,
AREIA BRANCA,2007,RES,rede de espera,passive,5.98,55.900000000000006,0.10697674418604651,,,
AREIA BRANCA,2008,APA,arrasto de praia,active,11.8,377.11,0.031290604863302485,,,
AREIA BRANCA,2008,APO,arrasto de porta,active,77.34,377.11,0.20508604916337408,,,
AREIA BRANCA,2008,CPL,covo peixe e lagosta,passive,0.06,377.11,0.00015910477049136854,,,
AREIA BRANCA,2008,CVL,covo lagosta,passive,109.22,377.11,0.2896237172177879,,,
AREIA BRANCA,2008,CVP,covo peixe,passive,4.39,377.11,0.011641165707618466,,,
AREIA BRANCA,2008,LCL,linha e covo lagosta,mixed,9.87,377.11,0.026172734745830126,,,
AREIA BRANCA,2008,LIN,linha,passive,60.28,377.11,0.1598472594203283,,,
AREIA BRANCA,2008,MEL,mergulho livre,active,1.04,377.11,0.0027578160218503884,,,
AREIA BRANCA,2008,RAG,rede agulha,passive,53.29,377.11,0.14131155365808384,,,
AREIA BRANCA,2008,RES,rede de espera,passive,49.82,377.11,0.13210999443133303,,,
AREIA BRANCA,2009,APA,arrasto de praia,active,8.9008,841.8009,0.0105735216011292,,,
AREIA BRANCA,2009,APO,arrasto de porta,active,111.069,841.8009,0.1319421255073498,,,
AREIA BRANCA,2009,CMN,coleta manual,active,1.337,841.8009,0.001588261547356388,,,
AREIA BRANCA,2009,CMP,compressor,active,3.9054,841.8009,0.00463933930220317,,,
AREIA BRANCA,2009,CUR,curral,passive,0.0,841.8009,0.0,,,
AREIA BRANCA,2009,CVL,covo lagosta,passive,0.07,841.8009,8.3155054835413e-05,,,
AREIA BRANCA,2009,CVP,covo peixe,passive,9.2729,841.8009,0.011015550114047158,,,
AREIA BRANCA,2009,ESP,espinhel,passive,4.8903,841.8009,0.00580933092373743,,,
