platform_exposure_class,year,gear_cod,gear_type,gear_group,gear_production_ton,total_production_ton,gear_share,share_active,share_passive,share_mixed
0-20 km,2001,APA,arrasto de praia,active,4.8,267.14000000000004,0.017968106610765887,,,
0-20 km,2001,APO,arrasto de porta,active,0.02,267.14000000000004,7.48671108781912e-05,,,
0-20 km,2001,CMN,coleta manual,active,4.92,267.14000000000004,0.018417309276035035,,,
0-20 km,2001,CPL,covo peixe e lagosta,passive,0.18,267.14000000000004,0.0006738039979037208,,,
0-20 km,2001,CUR,curral,passive,2.41,267.14000000000004,0.009021486860822039,,,
0-20 km,2001,CVL,covo lagosta,passive,0.03,267.14000000000004,0.00011230066631728679,,,
0-20 km,2001,JER,jereré,active,1.26,267.14000000000004,0.004716627985326046,,,
0-20 km,2001,LCP,linha e covo peixe,mixed,1.64,267.14000000000004,0.006139103092011678,,,
0-20 km,2001,LIJ,linha e jereré,mixed,10.62,267.14000000000004,0.03975443587631952,,,
0-20 km,2001,LIN,linha,passive,15.010000000000002,267.14000000000004,0.0561877667140825,,,
0-20 km,2001,MEL,mergulho livre,active,0.46,267.14000000000004,0.0017219435501983976,,,
0-20 km,2001,PUC,puçá,active,2.71,267.14000000000004,0.010144493523994907,,,
0-20 km,2001,RAG,rede agulha,passive,6.08,267.14000000000004,0.022759601706970126,,,
0-20 km,2001,RES,rede de espera,passive,81.70000000000002,267.14000000000004,0.3058321479374111,,,
0-20 km,2001,RTP,rede de tapagem,passive,0.11,267.14000000000004,0.0004117691098300516,,,
0-20 km,2001,SRD,sardinheira,passive,128.68,267.14000000000004,0.4816949913902822,,,
0-20 km,2001,TRF,tarrafa,active,0.38,267.14000000000004,0.0014224751066856329,,,
0-20 km,2001,TRM,tremalho,passive,6.13,267.14000000000004,0.022946769484165602,,,
0-20 km,2002,APA,arrasto de praia,active,8.34,326.06,0.025578114457461817,,,
0-20 km,2002,APO,arrasto de porta,active,3.51,326.06,0.010764889897564864,,,
0-20 km,2002,CMN,coleta manual,active,10.51,326.06,0.032233331288719864,,,
0-20 km,2002,CPL,covo peixe e lagosta,passive,0.92,326.06,0.0028215665828375145,,,
0-20 km,2002,CUR,curral,passive,2.04,326.06,0.006256517205422315,,,
0-20 km,2002,CVL,covo lagosta,passive,0.04,326.06,0.00012267680794945715,,,
0-20 km,2002,LIJ,linha e jereré,mixed,28.02,326.06,0.08593510396859473,,,
0-20 km,2002,LIN,linha,passive,20.41,326.06,0.06259584125621051,,,
0-20 km,2002,MEL,mergulho livre,active,0.42,326.06,0.0012881064834693,,,
0-20 km,2002,PUC,puçá,active,3.48,326.06,0.010672882291602773,,,
0-20 km,2002,RAG,rede agulha,passive,8.86,326.06,0.02717291296080476,,,
0-20 km,2002,RES,rede de espera,passive,98.33000000000001,326.06,0.3015702631417531,,,
0-20 km,2002,RTP,rede de tapagem,passive,1.2,326.06,0.0036803042384837147,,,
