gear_cod,gear_type,gear_group,year,gear_production_ton,n_locals,year_total_production,gear_share_of_year
APA,arrasto de praia,active,2001,22.560000000000002,3,566.46,0.03982628958796738
APA,arrasto de praia,active,2002,24.37,2,697.54,0.03493706454110159
APA,arrasto de praia,active,2003,28.21,2,843.66,0.03343764075575469
APA,arrasto de praia,active,2004,43.83,3,1368.52,0.03202729956449303
APA,arrasto de praia,active,2005,23.41,2,1095.1,0.021377043192402523
APA,arrasto de praia,active,2006,36.71,3,753.27,0.048734185617374914
APA,arrasto de praia,active,2007,11.72,3,1053.28,0.011127145678262191
APA,arrasto de praia,active,2008,95.52,6,2741.1,0.034847324066980406
APA,arrasto de praia,active,2009,148.10440000000003,8,6058.9447,0.02444392667917897
APA,arrasto de praia,active,2010,146.697,8,5342.846,0.02745671501667838
APA,arrasto de praia,active,2011,1.559,4,5028.452,0.0003100357724405045
APA,arrasto de praia,active,2012,16.8,8,4616.2,0.0036393570469217106
APA,arrasto de praia,active,2013,12.299999999999999,8,5753.9,0.002137680529727663
APA,arrasto de praia,active,2014,2.0,8,3731.2000000000003,0.0005360205831903944
APA,arrasto de praia,active,2015,6.2,8,4119.8,0.0015049274236613429
APA,arrasto de praia,active,2016,13.7,8,7280.5,0.0018817388915596455
APA,arrasto de praia,active,2017,11.7,8,7359.9,0.0015896955121672848
APA,arrasto de praia,active,2018,3.1,8,3693.5,0.0008393123054013809
APA,arrasto de praia,active,2019,13.9,8,7817.400000000001,0.0017780847852227083
APA,arrasto de praia,active,2020,1.5,8,6618.900000000001,0.00022662375923491817
APA,arrasto de praia,active,2021,0.0,8,7434.799999999999,0.0
APO,arrasto de porta,active,2001,4.800000000000001,3,566.46,0.00847367863573774
APO,arrasto de porta,active,2002,11.559999999999999,3,697.54,0.016572526306735096
APO,arrasto de porta,active,2003,4.79,3,843.66,0.0056776426522532775
APO,arrasto de porta,active,2004,28.1,3,1368.52,0.020533130681319966
APO,arrasto de porta,active,2005,10.780000000000001,4,1095.1,0.00984384987672359
APO,arrasto de porta,active,2006,13.54,4,753.27,0.017974962496847078
APO,arrasto de porta,active,2007,4.21,5,1053.28,0.003997037824699985
APO,arrasto de porta,active,2008,269.24,6,2741.1,0.09822334099449127
APO,arrasto de porta,active,2009,351.59999999999997,8,6058.9447,0.058029907419356375
APO,arrasto de porta,active,2010,79.687,8,5342.846,0.014914710249930468
APO,arrasto de porta,active,2011,156.907,8,5028.452,0.03120383768205404
APO,arrasto de porta,active,2012,29.599999999999998,8,4616.2,0.006412200511243014
APO,arrasto de porta,active,2013,22.299999999999997,8,5753.9,0.0038756321799127548
APO,arrasto de porta,active,2014,7.799999999999999,8,3731.2000000000003,0.002090480274442538
APO,arrasto de porta,active,2015,2.0,8,4119.8,0.0004854604592455944
APO,arrasto de porta,active,2016,13.8,8,7280.5,0.0018954742119359936
APO,arrasto de porta,active,2017,13.600000000000001,8,7359.9,0.0018478511936303485
