local,year,fleet_monitored,assisted_trips,estimated_fishermen,production_ton,fishermen_per_vessel_x,cpue_ton_per_trip,cpue_per_fisherman,fishermen_per_vessel_y,municipality,n_landing_points,period,platform_dist_km_mean,mpa_dist_km_mean,inside_any_mpa_any,platform_exposure_class,mpa_exposure_class,combined_exposure_class,richness,shannon_h,simpson_1d,pielou_j,total_production_div
AREIA BRANCA,2003,26.0,57,124.33,18.8,4.781923076923077,0.3298245614035088,0.15121048821684227,4.781923076923077,Areia Branca,8,early,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,1,-0.0,0.0,,18.8
AREIA BRANCA,2005,94.0,846,251.27,117.16,2.673085106382979,0.1384869976359338,0.4662713415847494,2.673085106382979,Areia Branca,8,early,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,32,1.4133863298211584,0.4847140235159074,0.4078170897786476,117.16999999999999
AREIA BRANCA,2006,67.0,633,244.16,38.01,3.644179104477612,0.060047393364928904,0.15567660550458715,3.644179104477612,Areia Branca,8,early,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,26,2.449958983425477,0.8652017640152294,0.7519602181319169,38.019999999999996
AREIA BRANCA,2007,61.0,241,265.31,55.91,4.349344262295082,0.23199170124481328,0.21073461234028115,4.349344262295082,Areia Branca,8,early,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,19,1.9428444478746507,0.7825780767470663,0.6598351881704346,55.900000000000006
AREIA BRANCA,2008,108.0,1867,360.84,377.11,3.3411111111111107,0.20198714515265132,1.0450892362265825,3.3411111111111107,Areia Branca,8,early,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,34,2.1634487819977672,0.8130112083021898,0.6135075432292207,377.1
AREIA BRANCA,2009,153.0,2570,641.0,841.98,4.189542483660131,0.32761867704280156,1.313541341653666,4.189542483660131,Areia Branca,8,middle,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,38,2.4178979092511144,0.8338300167600219,0.6646984574608634,841.721
AREIA BRANCA,2010,187.0,4427,490.5,704.232,2.622994652406417,0.15907657555906934,1.435743119266055,2.622994652406417,Areia Branca,8,middle,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,36,2.488047841798288,0.8338757443495074,0.6943029699377605,704.2330000000002
AREIA BRANCA,2011,167.0,4846,386.0,708.344,2.311377245508982,0.14617086256706563,1.8350880829015546,2.311377245508982,Areia Branca,8,middle,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,48,2.7836883682101097,0.8991191220768294,0.7190761627635727,708.341
AREIA BRANCA,2012,196.0,5090,289.0,984.1,1.4744897959183674,0.19333988212180747,3.4051903114186852,1.4744897959183674,Areia Branca,8,middle,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,42,2.26842962560489,0.758438539876981,0.6069101491765158,984.5000000000001
AREIA BRANCA,2013,198.0,5141,328.5,1454.6,1.6590909090909092,0.28294106205018477,4.4280060882800605,1.6590909090909092,Areia Branca,8,middle,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,35,1.6298476184281003,0.5618120202280521,0.45842139510394975,1454.7999999999997
AREIA BRANCA,2014,101.0,2292,389.0,1328.79,3.8514851485148514,0.5797513089005235,3.415912596401028,3.8514851485148514,Areia Branca,8,middle,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,34,0.8755648211672755,0.27931848488405453,0.24829135167981137,1328.9
AREIA BRANCA,2015,119.0,2875,490.0,2131.7,4.117647058823529,0.7414608695652173,4.350408163265306,4.117647058823529,Areia Branca,8,middle,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,43,0.6663853249901825,0.21034046704372178,0.1771735894109164,2131.8999999999996
AREIA BRANCA,2016,110.0,2705,404.0,3070.2,3.672727272727273,1.1350092421441773,7.599504950495049,3.672727272727273,Areia Branca,8,recent,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,37,0.8539716275894853,0.27614669872445297,0.23649710357556533,3070.1999999999994
AREIA BRANCA,2017,99.0,2342,326.0,3005.0,3.292929292929293,1.2830913748932535,9.217791411042946,3.292929292929293,Areia Branca,8,recent,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,34,0.8816078511895231,0.2878144770879144,0.2500050250209413,3005.7000000000003
AREIA BRANCA,2018,109.0,1978,390.0,2284.02,3.5779816513761467,1.1547118301314458,5.856461538461539,3.5779816513761467,Areia Branca,8,recent,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,39,0.7354209779442157,0.30218433292713176,0.2007393484755874,2283.5
AREIA BRANCA,2019,104.0,5729,380.0,4065.29,3.6538461538461537,0.7095985337755281,10.698131578947368,3.6538461538461537,Areia Branca,8,recent,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,49,0.706658836326825,0.22594420995459352,0.18157540230464617,4065.3
AREIA BRANCA,2020,81.0,4398,296.0,3364.9,3.654320987654321,0.7650977717144156,11.367905405405406,3.654320987654321,Areia Branca,8,recent,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,49,0.5822299157193181,0.18073364960138316,0.14960349428311864,3364.9100000000008
AREIA BRANCA,2021,93.0,5340,337.7,4081.78639,3.631182795698925,0.7643794737827716,12.087019218241043,3.631182795698925,Areia Branca,8,recent,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,49,0.7181038705077439,0.25939674046429284,0.18451619435161587,4081.7599999999998
AREIA BRANCA,2022,111.9,5041,320.6,3794.97,2.865058087578195,0.7528208688752231,11.837086712414221,2.865058087578195,Areia Branca,8,recent,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,48,0.7611521677262685,0.27451958638495955,0.19661912816760702,3794.91
AREIA BRANCA,2023,81.0,4576,265.4,3747.05,3.276543209876543,0.8188483391608392,14.118500376789752,3.276543209876543,Areia Branca,8,recent,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,53,0.6788204023177594,0.22931548549284897,0.17097493511766382,3747.07
AREIA BRANCA,2024,61.1,3406,219.0,2896.9,3.5842880523731586,0.8505284791544334,13.22785388127854,3.5842880523731586,Areia Branca,8,recent,31.17549859480912,3.309766594129834,True,20-50 km,inside,20-50 km × inside,45,0.5723153774012996,0.19550347268523816,0.1503457106952056,2897.19
CAICARA DO NORTE,2001,219.0,5976,710.82,202.7,3.2457534246575346,0.0339190093708166,0.2851636138544216,3.2457534246575346,Caiçara do Norte,2,early,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,29,2.6588505656192885,0.9076283590375515,0.7896100312724732,202.7
CAICARA DO NORTE,2002,208.0,5495,697.0,305.65,3.3509615384615383,0.05562329390354868,0.43852223816355806,3.3509615384615383,Caiçara do Norte,2,early,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,29,2.3357122215656907,0.8472963841598449,0.6936462786446277,305.60999999999996
CAICARA DO NORTE,2003,200.0,5482,684.23,332.59,3.42115,0.06066946369937978,0.4860792423600251,3.42115,Caiçara do Norte,2,early,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,30,2.4323704797815404,0.8472620416168744,0.7151512267108849,332.6199999999999
CAICARA DO NORTE,2004,200.0,6107,666.13,421.24,3.33065,0.06897658424758474,0.6323690570909583,3.33065,Caiçara do Norte,2,early,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,31,2.181227900576204,0.7716464042589266,0.6351881270050431,421.22999999999996
CAICARA DO NORTE,2005,217.0,4930,699.5,335.3,3.2235023041474653,0.06801217038539555,0.47934238741958546,3.2235023041474653,Caiçara do Norte,2,early,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,30,2.6120973157418352,0.9026570789751738,0.767993451313699,335.2999999999999
CAICARA DO NORTE,2006,196.0,4786,666.79,364.5,3.401989795918367,0.07615963226076056,0.5466488699590576,3.401989795918367,Caiçara do Norte,2,early,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,32,2.3209207991684133,0.8323812305440403,0.669676185451264,364.48
CAICARA DO NORTE,2007,208.0,5534,654.75,509.34,3.1478365384615383,0.09203830863751354,0.7779152348224513,3.1478365384615383,Caiçara do Norte,2,early,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,30,2.0913108372131073,0.760145809455636,0.6148748815604138,509.34000000000003
CAICARA DO NORTE,2008,199.0,5402,634.87,429.4,3.1903015075376886,0.0794890781192151,0.6763589396254351,3.1903015075376886,Caiçara do Norte,2,early,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,35,2.511702772380024,0.845016108741544,0.7064576319787426,429.4
CAICARA DO NORTE,2009,130.0,5082,854.5,1485.851,6.573076923076923,0.2923752459661551,1.738854300760679,6.573076923076923,Caiçara do Norte,2,middle,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,38,2.5073990020439445,0.8238460609428615,0.6893029860858465,1485.9555
CAICARA DO NORTE,2010,145.0,5675,797.5,1346.424,5.5,0.23725533039647576,1.6883059561128526,5.5,Caiçara do Norte,2,middle,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,37,2.9162066717825343,0.9102176104671702,0.8076081324283102,1346.4279999999999
CAICARA DO NORTE,2011,217.0,10818,685.0,1257.689,3.1566820276497696,0.11625892031798854,1.8360423357664235,3.1566820276497696,Caiçara do Norte,2,middle,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,49,2.8047266359574015,0.8913433299034277,0.720672184509398,1257.695
CAICARA DO NORTE,2012,406.0,14516,571.0,1450.1,1.4064039408866995,0.09989666574813998,2.5395796847635723,1.4064039408866995,Caiçara do Norte,2,middle,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,44,2.519468405376814,0.8085406392806619,0.6657880944428471,1450.2
CAICARA DO NORTE,2013,356.0,14222,566.0,1634.4,1.5898876404494382,0.11492054563352554,2.8876325088339225,1.5898876404494382,Caiçara do Norte,2,middle,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,37,2.5991719995948075,0.8535448353279476,0.7198092181750735,1634.4999999999998
CAICARA DO NORTE,2014,178.0,6908,557.0,1081.2,3.1292134831460676,0.1565141864504922,1.941113105924596,3.1292134831460676,Caiçara do Norte,2,middle,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,37,2.2837981499725393,0.7950537284745939,0.6324702486244408,1081.0
CAICARA DO NORTE,2015,181.0,7474,604.0,760.9,3.3370165745856353,0.10180626170725181,1.2597682119205298,3.3370165745856353,Caiçara do Norte,2,middle,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,42,2.9234871499075687,0.9160518336039553,0.7821684227003092,760.8999999999999
CAICARA DO NORTE,2016,177.0,6376,561.0,1672.6,3.169491525423729,0.26232747804265993,2.9814616755793226,3.169491525423729,Caiçara do Norte,2,recent,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,38,2.741101947419425,0.8837744365791343,0.7535496967103061,1673.0000000000005
CAICARA DO NORTE,2017,190.0,5230,494.0,1750.0,2.6,0.33460803059273425,3.54251012145749,2.6,Caiçara do Norte,2,recent,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,35,2.685397781458435,0.8723529098284978,0.7553122043228203,1750.4
CAICARA DO NORTE,2018,200.0,4084,554.0,424.39,2.77,0.10391527913809989,0.7660469314079422,2.77,Caiçara do Norte,2,recent,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,41,2.929112321149457,0.9211414284711753,0.7887587122414358,424.4
CAICARA DO NORTE,2019,150.0,12633,561.0,1122.63,3.74,0.08886487770125862,2.0011229946524067,3.74,Caiçara do Norte,2,recent,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,49,2.7859166252737912,0.8981578349635367,0.7158389678542656,1122.6499999999999
CAICARA DO NORTE,2020,154.0,8105,534.0,999.21,3.4675324675324677,0.12328315854410858,1.871179775280899,3.4675324675324677,Caiçara do Norte,2,recent,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,47,2.695962650744218,0.8838152052202723,0.7002231939229538,999.2400000000001
CAICARA DO NORTE,2021,138.0,8799,509.6,1250.73997,3.692753623188406,0.14214569496533697,2.4543562990580847,3.692753623188406,Caiçara do Norte,2,recent,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,49,2.6254142382798706,0.8798320864837958,0.6745980125429836,1250.6999999999998
CAICARA DO NORTE,2022,191.8,8280,531.1,898.67,2.769030239833159,0.10853502415458936,1.6920918847674635,2.769030239833159,Caiçara do Norte,2,recent,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,46,2.960248663686694,0.9259853668528443,0.7731851477135658,898.72
CAICARA DO NORTE,2023,140.0,8953,539.5,999.63,3.8535714285714286,0.11165307718083324,1.852882298424467,3.8535714285714286,Caiçara do Norte,2,recent,31.721600034764556,38.044851750636056,False,20-50 km,25-50 km,20-50 km × 25-50 km,49,3.026077278986394,0.9331584955084997,0.7775480487769367,999.62
