group_a,group_b,species,mean_abundance_a,mean_abundance_b,contribution,cumulative_contribution,rank,bray_curtis_total
0-20 km × 0-10 km,20-50 km × 10-25 km,Sardinha,0.22804410393881058,0.030779669003084847,0.09863221746786288,0.09863221746786288,1,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Tainha,0.11685440970569448,0.20677360724939128,0.04495959877184841,0.1435918162397113,2,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Caico,0.04409800344782133,0.09206917040043457,0.02398558347630662,0.1675773997160179,3,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Lagosta,0.005321779020279182,0.04555629605814078,0.020117258518930804,0.1876946582349487,4,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Peixe Voador,0.07328693763900367,0.03315802632440951,0.02006445565729708,0.2077591138922458,5,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Albacora,0.012525212638807463,0.052057050270696265,0.019765918815944406,0.22752503270819022,6,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Agulha,0.029174470441742296,0.003473348838148629,0.012850560801796836,0.24037559350998705,7,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Espada,0.00817499268793544,0.0262403435894466,0.00903267545075558,0.24940826896074264,8,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Garabebeu,0.0012450787265069895,0.016576280550510778,0.007665600912001895,0.25707386987274455,9,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Outros,0.055582785775852545,0.07007952744441674,0.0072483708342821,0.26432224070702665,10,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Buzios,0.07607547688602131,0.06244568934258218,0.00681489377171957,0.2711371344787462,11,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Caranguejo,0.015986248862175187,0.00451357084162118,0.005736339010277004,0.2768734734890232,12,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Pescada,0.007950648464344186,0.01885459848235203,0.005451975009003923,0.2823254484980271,13,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Serra,0.039288368015417276,0.029120492859005424,0.005083937578205927,0.287409386076233,14,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Cururuca,0.009837807897928904,0.018656208527779765,0.0044092003149254315,0.29181858639115843,15,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Camurim,0.003986496583051756,0.00933891743119395,0.0026762104240710977,0.29449479681522955,16,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Cavala,0.009045719606338348,0.004553140935421536,0.0022462893354584066,0.29674108615068795,17,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Budiao,0.004841691649636075,0.0003547000346467015,0.0022434958074946873,0.2989845819581826,18,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Xareu,0.009920580902563468,0.01411510046616948,0.002097259781803006,0.30108184173998565,19,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Biquara,0.011480463907953,0.015577927318486737,0.0020487317052668686,0.3031305734452525,20,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Ariaco,0.012197817897733424,0.01612198678837367,0.0019620844453201234,0.30509265789057266,21,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Bonito,0.00792391632666065,0.011651692071863137,0.001863887872601244,0.3069565457631739,22,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Guaiuba,0.040989013768424655,0.04440906826455725,0.0017100272480662963,0.3086665730112402,23,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Camarao,0.008104866015462942,0.00484823954247683,0.0016283132364930564,0.3102948862477332,24,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Bicuda,0.0014040452251242342,0.0046583406216661105,0.0016271476982709385,0.31192203394600415,25,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Cioba,0.010914902055274804,0.007930883548122476,0.0014920092535761645,0.31341404319958033,26,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Arraia,0.0068032074411123605,0.009563343428515711,0.0013800679937016754,0.314794111193282,27,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Camurupim,0.0005621044874405424,0.0032900410236555745,0.0013639682681075163,0.3161580794613895,28,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Carapeba,0.017033827242715596,0.01965230999394439,0.0013092413756143966,0.3174673208370039,29,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Ova Voador,0.02350942632227821,0.021206474098934194,0.001151476111672009,0.3186187969486759,30,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Salema,0.007885366046967032,0.006063817812251375,0.0009107741173578289,0.31952957106603375,31,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Sirigado,0.0023215123036126164,0.0007178441912662118,0.0008018340561732024,0.3203314051222069,32,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Siri,0.0020150983797222136,0.00043534139948702425,0.0007898784901175948,0.3211212836123245,33,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Dourado,0.03127957863052238,0.02979696085260487,0.0007413088889587552,0.32186259250128324,34,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Agulhao,0.0009497040515075381,0.002149287056917862,0.000599791502705162,0.3224623840039884,35,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Garajuba,0.011348006067137012,0.012363531554170906,0.000507762743516947,0.32297014674750535,36,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Pargo,0.0010257562273293626,8.451158741119334e-05,0.0004706223199590847,0.32344076906746444,37,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Ubarana,0.0004561618773635216,0.0013346403895911465,0.0004392392561138125,0.3238800083235783,38,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Caçao,0.004556179667676739,0.0054048479158511345,0.00042433412408719777,0.3243043424476655,39,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Pampo,0.0014284636887323824,0.002156300369334167,0.0003639183403008923,0.3246682607879664,40,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Marisco,0.02573637048452818,0.02508185696656599,0.00032725675898109477,0.3249955175469475,41,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Dentao,0.001531543784434881,0.0008935992077724764,0.00031897228833120233,0.3253144898352787,42,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Beijupira,0.00015637018822014666,0.0007895254044576098,0.0003165776081187316,0.3256310674433974,43,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Arabaiana,0.0007085593991188609,0.00011430057325971278,0.0002971294129295741,0.325928196856327,44,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Garoupa,0.000516902394780183,7.402680262828927e-05,0.0002214377960759469,0.326149634652403,45,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Peixe Galo,0.0007127036363476462,0.000322518547572553,0.00019509254438754663,0.32634472719679053,46,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Carauna,0.0007975602622376039,0.0005469914566830498,0.00012528440277727708,0.3264700115995678,47,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Polvo,0.00023625110026047634,2.2353467333574035e-05,0.00010694881646345116,0.32657696041603124,48,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Paru,0.0012674595794237445,0.001420488962981368,7.651469177881173e-05,0.32665347510781007,49,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Tilapia,0.00016373187846001908,4.691178873782589e-05,5.84100448610966e-05,0.3267118851526712,50,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Pirauna,0.00010871638979240124,7.505886198052142e-06,5.0605251797174556e-05,0.32676249040446836,51,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Bagre,0.012344959681402874,0.01225685414658109,4.405276741089194e-05,0.32680654317187924,52,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Albacorinha,0.00019504206726147632,0.0002515879230009602,2.8272927869741957e-05,0.32683481609974896,53,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Saramunete,4.7719527804887125e-05,4.925737817471718e-06,2.1396894993707705e-05,0.32685621299474266,54,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Cangulo,2.944676095948958e-05,9.968755106788e-06,9.739002926350791e-06,0.326865951997669,55,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 10-25 km,Galo Do Alto,1.643234428542945e-05,2.3455894368912946e-05,3.5117750417417476e-06,0.32686946377271076,56,0.32686946377271076
0-20 km × 0-10 km,20-50 km × 25-50 km,Sardinha,0.22804410393881058,0.00516448983507078,0.1114398070518699,0.1114398070518699,1,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Peixe Voador,0.07328693763900367,0.26566423836558434,0.09618865036329033,0.20762845741516023,2,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Tainha,0.11685440970569448,0.005454437796699207,0.055699985954497634,0.2633284433696579,3,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Buzios,0.07607547688602131,2.828804407747837e-05,0.03802359442097192,0.3013520377906298,4,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Lagosta,0.005321779020279182,0.06105177309707237,0.027864997038396594,0.3292170348290264,5,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Dourado,0.03127957863052238,0.07861376765904164,0.02366709451425963,0.35288412934328606,6,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Agulha,0.029174470441742296,0.07235753892920926,0.021591534243733484,0.37447566358701956,7,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Ova Voador,0.02350942632227821,0.05026022104394386,0.013375397360832826,0.3878510609478524,8,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Marisco,0.02573637048452818,5.8372154445590285e-06,0.01286526663454181,0.40071632758239417,9,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Sirigado,0.0023215123036126164,0.027496347036898555,0.01258741736664297,0.41330374494903716,10,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Garajuba,0.011348006067137012,0.03152351381475145,0.010087753873807219,0.4233914988228444,11,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Carapeba,0.017033827242715596,0.00033434672033288797,0.008349740261191355,0.4317412390840357,12,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Caranguejo,0.015986248862175187,2.649197778684482e-06,0.00799179983219825,0.439733038916234,13,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Caico,0.04409800344782133,0.030158350768235254,0.006969826339793039,0.44670286525602704,14,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Biquara,0.011480463907953,0.02442192158357513,0.006470728837811064,0.4531735940938381,15,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Bonito,0.00792391632666065,0.020623465887171503,0.006349774780255427,0.45952336887409356,16,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Guaiuba,0.040989013768424655,0.02875378202730255,0.006117615870561052,0.4656409847446546,17,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Pargo,0.0010257562273293626,0.012935983361493335,0.005955113567081986,0.4715960983117366,18,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Cioba,0.010914902055274804,0.02207317426415355,0.005579136104439373,0.477175234416176,19,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Albacora,0.012525212638807463,0.02254914530166862,0.005011966331430579,0.48218720074760657,20,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Agulhao,0.0009497040515075381,0.009819651191443698,0.00443497356996808,0.48662217431757465,21,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Xareu,0.009920580902563468,0.001150066147549926,0.0043852573775067715,0.49100743169508143,22,0.5373807291067265
0-20 km × 0-10 km,20-50 km × 25-50 km,Ariaco,0.012197817897733424,0.020621755134029675,0.0042119686181481255,0.49521940031322953,23,0.5373807291067265
