group_a,group_b,species,mean_abundance_a,mean_abundance_b,contribution,cumulative_contribution,rank,bray_curtis_total
0-20 km,20-50 km,Albacora,0.012525212638807463,0.44303737036401164,0.2152560788626021,0.2152560788626021,1,0.5591306605242764
0-20 km,20-50 km,Sardinha,0.22804410393881058,0.0043681595101194145,0.11183797221434559,0.32709405107694767,2,0.5591306605242764
0-20 km,20-50 km,Tainha,0.11685440970569448,0.021315547509263583,0.04776943109821545,0.37486348217516313,3,0.5591306605242764
0-20 km,20-50 km,Buzios,0.07607547688602131,0.006256187637814598,0.034909644624103356,0.4097731267992665,4,0.5591306605242764
0-20 km,20-50 km,Lagosta,0.005321779020279182,0.0465803764939525,0.02062929873683666,0.43040242553610314,5,0.5591306605242764
0-20 km,20-50 km,Marisco,0.02573637048452818,0.0015763541170968176,0.012080008183715681,0.4424824337198188,6,0.5591306605242764
0-20 km,20-50 km,Guaiuba,0.040989013768424655,0.01781871658367476,0.011585148592374948,0.4540675823121938,7,0.5591306605242764
0-20 km,20-50 km,Outros,0.055582785775852545,0.03353971628134161,0.011021534747255469,0.4650891170594493,8,0.5591306605242764
0-20 km,20-50 km,Caico,0.04409800344782133,0.023477090856745996,0.010310456295537668,0.47539957335498695,9,0.5591306605242764
0-20 km,20-50 km,Bonito,0.00792391632666065,0.026857971395288716,0.009467027534314033,0.484866600889301,10,0.5591306605242764
0-20 km,20-50 km,Serra,0.039288368015417276,0.022898350100968915,0.00819500895722418,0.4930616098465252,11,0.5591306605242764
0-20 km,20-50 km,Caranguejo,0.015986248862175187,0.003686051783018295,0.006150098539578446,0.4992117083861036,12,0.5591306605242764
0-20 km,20-50 km,Ariaco,0.012197817897733424,0.02290126962714928,0.0053517258647079275,0.5045634342508115,13,0.5591306605242764
0-20 km,20-50 km,Carapeba,0.017033827242715596,0.0071329779486816736,0.004950424647016961,0.5095138588978285,14,0.5591306605242764
0-20 km,20-50 km,Peixe Voador,0.07328693763900367,0.08261032237937425,0.004661692370185294,0.5141755512680138,15,0.5591306605242764
0-20 km,20-50 km,Sirigado,0.0023215123036126164,0.010632040255507376,0.0041552639759473795,0.5183308152439612,16,0.5591306605242764
0-20 km,20-50 km,Camarao,0.008104866015462942,0.01627758680104229,0.004086360392789675,0.5224171756367508,17,0.5591306605242764
0-20 km,20-50 km,Xareu,0.009920580902563468,0.0019317165092356625,0.003994432196663903,0.5264116078334148,18,0.5591306605242764
0-20 km,20-50 km,Ova Voador,0.02350942632227821,0.016478831871596746,0.0035152972253407327,0.5299269050587555,19,0.5591306605242764
0-20 km,20-50 km,Garajuba,0.011348006067137012,0.01722601069313721,0.0029390023130000994,0.5328659073717557,20,0.5591306605242764
0-20 km,20-50 km,Salema,0.007885366046967032,0.0027972277580112326,0.0025440691444778996,0.5354099765162336,21,0.5591306605242764
0-20 km,20-50 km,Bagre,0.012344959681402874,0.008438505633235945,0.0019532270240834645,0.5373632035403171,22,0.5591306605242764
0-20 km,20-50 km,Budiao,0.004841691649636075,0.0010176917205880485,0.0019119999645240133,0.539275203504841,23,0.5591306605242764
0-20 km,20-50 km,Espada,0.00817499268793544,0.004502816038410421,0.0018360883247625095,0.5411112918296036,24,0.5591306605242764
0-20 km,20-50 km,Agulha,0.029174470441742296,0.025513109508639154,0.0018306804665515711,0.5429419722961552,25,0.5591306605242764
0-20 km,20-50 km,Arabaiana,0.0007085593991188609,0.004264607947646823,0.0017780242742639811,0.5447199965704191,26,0.5591306605242764
0-20 km,20-50 km,Pargo,0.0010257562273293626,0.004451017861924486,0.0017126308172975614,0.5464326273877167,27,0.5591306605242764
0-20 km,20-50 km,Cioba,0.010914902055274804,0.013937769122696961,0.0015114335337110783,0.5479440609214278,28,0.5591306605242764
0-20 km,20-50 km,Camurim,0.003986496583051756,0.006999422180842678,0.0015064627988954607,0.5494505237203232,29,0.5591306605242764
0-20 km,20-50 km,Agulhao,0.0009497040515075381,0.0035034449893158915,0.0012768704689041766,0.5507273941892273,30,0.5591306605242764
0-20 km,20-50 km,Polvo,0.00023625110026047634,0.002741515163345766,0.0012526320315426448,0.55198002622077,31,0.5591306605242764
0-20 km,20-50 km,Dourado,0.03127957863052238,0.02903859006631312,0.0011204942821046292,0.5531005205028746,32,0.5591306605242764
0-20 km,20-50 km,Tilapia,0.00016373187846001908,0.0022464199863308086,0.0010413440539353948,0.55414186455681,33,0.5591306605242764
0-20 km,20-50 km,Caçao,0.004556179667676739,0.006157090694088616,0.0008004555132059385,0.554942320070016,34,0.5591306605242764
0-20 km,20-50 km,Paru,0.0012674595794237445,0.0024777832744316552,0.0006051618475039554,0.5555474819175199,35,0.5591306605242764
0-20 km,20-50 km,Pampo,0.0014284636887323824,0.0005301430640579008,0.0004491603123372408,0.5559966422298571,36,0.5591306605242764
0-20 km,20-50 km,Siri,0.0020150983797222136,0.0011336339639070124,0.00044073220790760064,0.5564373744377648,37,0.5591306605242764
0-20 km,20-50 km,Camurupim,0.0005621044874405424,0.001314852252131725,0.00037637388234559134,0.5568137483201103,38,0.5591306605242764
0-20 km,20-50 km,Cururuca,0.009837807897928904,0.010589101096863951,0.0003756465994675237,0.5571893949195779,39,0.5591306605242764
0-20 km,20-50 km,Cavala,0.009045719606338348,0.008302941079368619,0.00037138926348486475,0.5575607841830628,40,0.5591306605242764
0-20 km,20-50 km,Carauna,0.0007975602622376039,0.00023285630474352505,0.00028235197874703944,0.5578431361618098,41,0.5591306605242764
0-20 km,20-50 km,Dentao,0.001531543784434881,0.001951577702446854,0.00021001695900598654,0.5580531531208158,42,0.5591306605242764
0-20 km,20-50 km,Biquara,0.011480463907953,0.011071798806593251,0.00020433255067987474,0.5582574856714957,43,0.5591306605242764
0-20 km,20-50 km,Peixe Galo,0.0007127036363476462,0.0010822198998846017,0.00018475813176847773,0.5584422438032641,44,0.5591306605242764
0-20 km,20-50 km,Arraia,0.0068032074411123605,0.007082104085226341,0.00013944832205699037,0.5585816921253212,45,0.5591306605242764
0-20 km,20-50 km,Bicuda,0.0014040452251242342,0.001172465969495216,0.00011578962781450908,0.5586974817531357,46,0.5591306605242764
0-20 km,20-50 km,Garabebeu,0.0012450787265069895,0.0010432250197535604,0.00010092685337671455,0.5587984086065124,47,0.5591306605242764
0-20 km,20-50 km,Beijupira,0.00015637018822014666,0.0002733849201529542,5.8507365966403775e-05,0.5588569159724788,48,0.5591306605242764
0-20 km,20-50 km,Albacorinha,0.00019504206726147632,0.00030782881409954104,5.639337341903236e-05,0.5589133093458978,49,0.5591306605242764
0-20 km,20-50 km,Ubarana,0.0004561618773635216,0.0005410149397923123,4.242653121439534e-05,0.5589557358771122,50,0.5591306605242764
0-20 km,20-50 km,Pirauna,0.00010871638979240124,2.9548156646459204e-05,3.958411657297102e-05,0.5589953199936852,51,0.5591306605242764
0-20 km,20-50 km,Pescada,0.007950648464344186,0.007875699436899815,3.7474513722185465e-05,0.5590327945074074,52,0.5591306605242764
0-20 km,20-50 km,Cangulo,2.944676095948958e-05,0.00010081798472863313,3.568561188457177e-05,0.559068480119292,53,0.5591306605242764
0-20 km,20-50 km,Galo Do Alto,1.643234428542945e-05,8.415184713277311e-05,3.385975142367183e-05,0.5591023398707157,54,0.5591306605242764
0-20 km,20-50 km,Garoupa,0.000516902394780183,0.0005583990826645148,2.0748343942165884e-05,0.5591230882146578,55,0.5591306605242764
0-20 km,20-50 km,Saramunete,4.7719527804887125e-05,3.257490856752507e-05,7.572309618681027e-06,0.5591306605242765,56,0.5591306605242764
