local,year,species,sp_production_ton,rel_abundance
AREIA BRANCA,2003,Lagosta,18.8,1.0
AREIA BRANCA,2005,Agulha,0.1,0.0008534607834769993
AREIA BRANCA,2005,Agulhao,0.66,0.005632841170948195
AREIA BRANCA,2005,Albacora,0.13,0.001109499018520099
AREIA BRANCA,2005,Arabaiana,0.78,0.006656994111120594
AREIA BRANCA,2005,Ariaco,2.41,0.020568404881795684
AREIA BRANCA,2005,Arraia,4.04,0.03447981565247077
AREIA BRANCA,2005,Bagre,0.29,0.0024750362720832976
AREIA BRANCA,2005,Biquara,0.61,0.005206110779209695
AREIA BRANCA,2005,Bonito,0.29,0.0024750362720832976
AREIA BRANCA,2005,Caico,0.43,0.0036698813689510965
AREIA BRANCA,2005,Camarao,0.39,0.003328497055560297
AREIA BRANCA,2005,Camurim,0.04,0.0003413843133907997
AREIA BRANCA,2005,Camurupim,0.16,0.0013655372535631989
AREIA BRANCA,2005,Cangulo,0.22,0.0018776137236493982
AREIA BRANCA,2005,Cavala,1.04,0.008875992148160792
AREIA BRANCA,2005,Caçao,2.41,0.020568404881795684
AREIA BRANCA,2005,Cioba,3.52,0.03004181957839037
AREIA BRANCA,2005,Cururuca,0.06,0.0005120764700861995
AREIA BRANCA,2005,Dentao,1.36,0.01160706665528719
AREIA BRANCA,2005,Dourado,0.68,0.005803533327643595
AREIA BRANCA,2005,Garajuba,6.4,0.054621490142527956
AREIA BRANCA,2005,Garoupa,0.04,0.0003413843133907997
AREIA BRANCA,2005,Guaiuba,1.84,0.015703678415976786
AREIA BRANCA,2005,Lagosta,83.53999999999999,0.7129811385166851
AREIA BRANCA,2005,Outros,0.79,0.006742340189468294
AREIA BRANCA,2005,Pargo,0.91,0.007766493129640693
AREIA BRANCA,2005,Pescada,1.04,0.008875992148160792
AREIA BRANCA,2005,Sardinha,0.14,0.001194845096867799
AREIA BRANCA,2005,Serra,1.07,0.009132030383203892
AREIA BRANCA,2005,Sirigado,1.08,0.009217376461551591
AREIA BRANCA,2005,Tainha,0.1,0.0008534607834769993
AREIA BRANCA,2005,Xareu,0.6000000000000001,0.005120764700861996
AREIA BRANCA,2006,Agulha,0.97,0.025512887953708575
AREIA BRANCA,2006,Agulhao,0.08,0.002104155707522357
AREIA BRANCA,2006,Arabaiana,0.1,0.002630194634402946
AREIA BRANCA,2006,Ariaco,1.96,0.05155181483429774
AREIA BRANCA,2006,Arraia,0.53,0.013940031562335614
AREIA BRANCA,2006,Bagre,0.29,0.0076275644397685435
AREIA BRANCA,2006,Biquara,0.38,0.009994739610731196
AREIA BRANCA,2006,Bonito,0.05,0.001315097317201473
AREIA BRANCA,2006,Caico,0.38,0.009994739610731196
AREIA BRANCA,2006,Camarao,2.03,0.053392951078379804
AREIA BRANCA,2006,Camurim,0.06,0.0015781167806417677
AREIA BRANCA,2006,Cangulo,0.06,0.0015781167806417677
AREIA BRANCA,2006,Cavala,1.25,0.03287743293003682
AREIA BRANCA,2006,Caçao,0.98,0.02577590741714887
AREIA BRANCA,2006,Cioba,5.02,0.13203577064702787
AREIA BRANCA,2006,Cururuca,0.01,0.00026301946344029463
AREIA BRANCA,2006,Dentao,1.95,0.05128879537085745
AREIA BRANCA,2006,Dourado,0.62,0.016307206733298267
AREIA BRANCA,2006,Garajuba,1.05,0.027617043661230935
AREIA BRANCA,2006,Guaiuba,0.72,0.018937401367701213
AREIA BRANCA,2006,Lagosta,10.89,0.28642819568648087
AREIA BRANCA,2006,Outros,5.15,0.13545502367175175
AREIA BRANCA,2006,Pescada,0.3,0.007890583903208837
AREIA BRANCA,2006,Serra,0.38,0.009994739610731196
AREIA BRANCA,2006,Sirigado,2.51,0.06601788532351394
AREIA BRANCA,2006,Xareu,0.3,0.007890583903208837
AREIA BRANCA,2007,Agulha,18.62,0.33309481216457965
AREIA BRANCA,2007,Ariaco,3.86,0.06905187835420394
AREIA BRANCA,2007,Arraia,0.28,0.005008944543828265
AREIA BRANCA,2007,Bagre,0.02,0.00035778175313059033
AREIA BRANCA,2007,Caico,0.68,0.012164579606440074
AREIA BRANCA,2007,Camurim,0.02,0.00035778175313059033
AREIA BRANCA,2007,Cavala,0.92,0.016457960644007157
AREIA BRANCA,2007,Caçao,0.89,0.01592128801431127
AREIA BRANCA,2007,Cioba,3.11,0.0556350626118068
AREIA BRANCA,2007,Dentao,0.28,0.005008944543828265
AREIA BRANCA,2007,Dourado,0.68,0.012164579606440074
AREIA BRANCA,2007,Garajuba,2.91,0.0520572450805009
AREIA BRANCA,2007,Garoupa,3.58,0.06404293381037568
AREIA BRANCA,2007,Guaiuba,1.77,0.031663685152057246
AREIA BRANCA,2007,Lagosta,16.74,0.29946332737030407
AREIA BRANCA,2007,Salema,0.43,0.007692307692307693
AREIA BRANCA,2007,Serra,0.51,0.009123434704830053
AREIA BRANCA,2007,Sirigado,0.56,0.01001788908765653
AREIA BRANCA,2007,Xareu,0.04,0.0007155635062611807
AREIA BRANCA,2008,Agulha,53.29,0.14131530098117212
AREIA BRANCA,2008,Agulhao,0.43,0.0011402810925483957
AREIA BRANCA,2008,Albacora,0.84,0.0022275258552108194
AREIA BRANCA,2008,Arabaiana,2.06,0.0054627419782551055
AREIA BRANCA,2008,Ariaco,15.95,0.042296473084062584
AREIA BRANCA,2008,Arraia,2.21,0.005860514452399894
AREIA BRANCA,2008,Bagre,1.89,0.005011933174224344
AREIA BRANCA,2008,Biquara,0.3,0.0007955449482895784
AREIA BRANCA,2008,Bonito,2.06,0.0054627419782551055
AREIA BRANCA,2008,Budiao,0.09,0.00023866348448687351
