species,mean_a,mean_b,contribution_pct,cumulative_pct,rank,contrast_type,group_a,group_b
Lagosta,0.0038,0.17052,12.488,12.488,1,platform,0-20 km,20-50 km
Sardinha,0.15336,0.01397,11.167,23.655,2,platform,0-20 km,20-50 km
Tainha,0.15397,0.09348,9.288,32.943,3,platform,0-20 km,20-50 km
Peixe Voador,0.04855,0.07313,6.873,39.816,4,platform,0-20 km,20-50 km
Outros,0.06196,0.0455,4.362,44.179,5,platform,0-20 km,20-50 km
Buzios,0.04456,0.01872,4.002,48.18,6,platform,0-20 km,20-50 km
Marisco,0.04765,0.00543,3.758,51.939,7,platform,0-20 km,20-50 km
Caranguejo,0.05,0.0101,3.73,55.669,8,platform,0-20 km,20-50 km
Caico,0.0585,0.06917,3.55,59.219,9,platform,0-20 km,20-50 km
Agulha,0.04041,0.02184,2.927,62.145,10,platform,0-20 km,20-50 km
Albacora,0.01507,0.03135,2.878,65.024,11,platform,0-20 km,20-50 km
Ariaco,0.01173,0.04388,2.732,67.756,12,platform,0-20 km,20-50 km
Camarao,0.01211,0.03032,2.625,70.38,13,platform,0-20 km,20-50 km
Guaiuba,0.03579,0.02793,2.276,72.657,14,platform,0-20 km,20-50 km
Dourado,0.01952,0.02917,2.264,74.921,15,platform,0-20 km,20-50 km
Ova Voador,0.01443,0.01511,1.859,76.78,16,platform,0-20 km,20-50 km
Serra,0.03424,0.03113,1.847,78.627,17,platform,0-20 km,20-50 km
Carapeba,0.01411,0.02155,1.728,80.355,18,platform,0-20 km,20-50 km
Pescada,0.01082,0.02159,1.254,81.609,19,platform,0-20 km,20-50 km
Garajuba,0.01221,0.0215,1.242,82.851,20,platform,0-20 km,20-50 km
Biquara,0.01463,0.0133,1.196,84.047,21,platform,0-20 km,20-50 km
Arraia,0.0084,0.01798,1.186,85.233,22,platform,0-20 km,20-50 km
Bagre,0.01872,0.01756,1.147,86.381,23,platform,0-20 km,20-50 km
Espada,0.00792,0.01172,1.132,87.513,24,platform,0-20 km,20-50 km
Cururuca,0.0113,0.01503,1.109,88.622,25,platform,0-20 km,20-50 km
Xareu,0.01324,0.00437,1.03,89.652,26,platform,0-20 km,20-50 km
Camurim,0.00448,0.01379,0.938,90.59,27,platform,0-20 km,20-50 km
Cioba,0.00887,0.01592,0.885,91.475,28,platform,0-20 km,20-50 km
Bonito,0.01129,0.00965,0.83,92.305,29,platform,0-20 km,20-50 km
Cavala,0.01146,0.01154,0.803,93.109,30,platform,0-20 km,20-50 km
Sirigado,0.00292,0.00938,0.673,93.782,31,platform,0-20 km,20-50 km
Salema,0.00819,0.00598,0.672,94.454,32,platform,0-20 km,20-50 km
Caçao,0.00619,0.01076,0.636,95.09,33,platform,0-20 km,20-50 km
Budiao,0.00633,0.00054,0.497,95.588,34,platform,0-20 km,20-50 km
Dentao,0.00516,0.00316,0.453,96.04,35,platform,0-20 km,20-50 km
Pargo,0.00357,0.00403,0.426,96.466,36,platform,0-20 km,20-50 km
Paru,0.00262,0.00391,0.361,96.827,37,platform,0-20 km,20-50 km
Polvo,0.00023,0.00477,0.359,97.186,38,platform,0-20 km,20-50 km
Garabebeu,0.00125,0.00366,0.336,97.522,39,platform,0-20 km,20-50 km
Camurupim,0.00052,0.00463,0.333,97.856,40,platform,0-20 km,20-50 km
Pampo,0.00107,0.00352,0.303,98.159,41,platform,0-20 km,20-50 km
Agulhao,0.0007,0.0035,0.27,98.429,42,platform,0-20 km,20-50 km
Siri,0.00118,0.00233,0.237,98.666,43,platform,0-20 km,20-50 km
Ubarana,0.00037,0.00287,0.226,98.891,44,platform,0-20 km,20-50 km
Tilapia,0.0001,0.00293,0.223,99.114,45,platform,0-20 km,20-50 km
Arabaiana,0.00142,0.00262,0.222,99.336,46,platform,0-20 km,20-50 km
Bicuda,0.00087,0.00222,0.192,99.528,47,platform,0-20 km,20-50 km
Garoupa,0.00168,0.00061,0.147,99.675,48,platform,0-20 km,20-50 km
Carauna,0.00122,0.0004,0.116,99.791,49,platform,0-20 km,20-50 km
Peixe Galo,0.00055,0.00096,0.092,99.883,50,platform,0-20 km,20-50 km
Beijupira,0.00017,0.00056,0.047,99.93,51,platform,0-20 km,20-50 km
Albacorinha,0.00027,0.00021,0.034,99.964,52,platform,0-20 km,20-50 km
Pirauna,0.00017,3e-05,0.014,99.978,53,platform,0-20 km,20-50 km
Cangulo,5e-05,7e-05,0.008,99.986,54,platform,0-20 km,20-50 km
Saramunete,9e-05,1e-05,0.007,99.994,55,platform,0-20 km,20-50 km
Galo Do Alto,1e-05,8e-05,0.006,100.0,56,platform,0-20 km,20-50 km
Lagosta,0.05204,0.14826,11.413,11.413,1,mpa_status,inside,outside
Sardinha,0.1505,0.01529,11.275,22.689,2,mpa_status,inside,outside
Tainha,0.08375,0.12589,8.69,31.378,3,mpa_status,inside,outside
Peixe Voador,0.04324,0.07558,6.873,38.251,4,mpa_status,inside,outside
Camarao,0.06069,0.0079,4.579,42.83,5,mpa_status,inside,outside
Outros,0.05003,0.05101,4.092,46.922,6,mpa_status,inside,outside
Buzios,0.04401,0.01898,4.035,50.957,7,mpa_status,inside,outside
Caico,0.0474,0.0743,3.586,54.543,8,mpa_status,inside,outside
Ariaco,0.05068,0.02591,3.47,58.013,9,mpa_status,inside,outside
Albacora,0.02627,0.02618,3.405,61.418,10,mpa_status,inside,outside
Caranguejo,0.0163,0.02566,2.504,63.922,11,mpa_status,inside,outside
Agulha,0.01578,0.03321,2.493,66.415,12,mpa_status,inside,outside
Guaiuba,0.0363,0.0277,2.319,68.735,13,mpa_status,inside,outside
Dourado,0.0206,0.02868,2.307,71.042,14,mpa_status,inside,outside
Marisco,0.00358,0.02577,2.12,73.162,15,mpa_status,inside,outside
