platform_exposure_class,species,mean_species_share,rank
0-20 km,Sardinha,0.24421217993069153,1.0
0-20 km,Tainha,0.11974581227558052,2.0
0-20 km,Buzios,0.10851846115142572,3.0
0-20 km,Peixe Voador,0.07408856058323941,4.0
0-20 km,Outros,0.05592479711157359,5.0
0-20 km,Ova Voador,0.05242335540077773,6.0
0-20 km,Caico,0.046385595141580284,7.0
0-20 km,Serra,0.041980303975472116,8.0
0-20 km,Guaiuba,0.03807141694606331,9.0
0-20 km,Marisco,0.03576815907639508,10.0
0-20 km,Agulha,0.03145655836413893,11.0
0-20 km,Dourado,0.02816141418543834,12.0
0-20 km,Carapeba,0.01939779976480154,13.0
0-20 km,Caranguejo,0.0179965360682012,14.0
0-20 km,Bagre,0.014226218218320416,15.0
0-20 km,Xareu,0.01299409942207573,16.0
0-20 km,Ariaco,0.012754988967001312,17.0
0-20 km,Cururuca,0.012688064752511486,18.0
0-20 km,Garajuba,0.011985451050062192,19.0
0-20 km,Espada,0.011868248067884108,20.0
20-50 km,Albacora,0.29849563837823256,1.0
20-50 km,Peixe Voador,0.1308174635699308,2.0
20-50 km,Lagosta,0.07048968580511428,3.0
20-50 km,Outros,0.05289513912961586,4.0
20-50 km,Dourado,0.04427353353360397,5.0
20-50 km,Agulha,0.03783569478216959,6.0
20-50 km,Caico,0.030212938050996164,7.0
20-50 km,Camarao,0.0281285296793206,8.0
20-50 km,Serra,0.026491431659838513,9.0
20-50 km,Ariaco,0.024198736234729953,10.0
20-50 km,Ova Voador,0.02312324392288597,11.0
20-50 km,Bonito,0.021879763802604854,12.0
20-50 km,Tainha,0.020500039658380903,13.0
20-50 km,Cioba,0.01963931697321591,14.0
20-50 km,Guaiuba,0.01825173073094775,15.0
20-50 km,Garajuba,0.0162258763123258,16.0
20-50 km,Sirigado,0.014654666933606285,17.0
20-50 km,Cavala,0.012453294212267658,18.0
20-50 km,Cururuca,0.011751990580800476,19.0
20-50 km,Biquara,0.010743987355253275,20.0
