local,year,species,sp_production_ton,total_production_ton,species_share
TIBAU,2024,Ariaco,4.42,17.12,0.25817757009345793
TIBAU,2024,Caico,3.34,17.12,0.1950934579439252
TIBAU,2024,Pescada,1.51,17.12,0.08820093457943924
TIBAU,2024,Garajuba,1.5,17.12,0.08761682242990654
TIBAU,2024,Caçao,1.0,17.12,0.05841121495327103
TIBAU,2024,Serra,0.84,17.12,0.04906542056074766
TIBAU,2024,Cururuca,0.7,17.12,0.04088785046728972
TIBAU,2024,Espada,0.6,17.12,0.035046728971962614
TIBAU,2024,Bagre,0.59,17.12,0.0344626168224299
TIBAU,2024,Salema,0.52,17.12,0.030373831775700934
TIBAU,2024,Carapeba,0.5,17.12,0.029205607476635514
TIBAU,2024,Pampo,0.38,17.12,0.02219626168224299
TIBAU,2024,Arraia,0.31,17.12,0.018107476635514017
TIBAU,2024,Biquara,0.27,17.12,0.01577102803738318
TIBAU,2024,Ubarana,0.14,17.12,0.008177570093457945
TIBAU,2024,Camurupim,0.1,17.12,0.005841121495327103
TIBAU,2024,Dentao,0.1,17.12,0.005841121495327103
TIBAU,2024,Paru,0.1,17.12,0.005841121495327103
TIBAU,2024,Xareu,0.06,17.12,0.003504672897196261
TIBAU,2024,Arabaiana,0.04,17.12,0.002336448598130841
TIBAU,2024,Beijupira,0.02,17.12,0.0011682242990654205
TIBAU,2024,Bicuda,0.02,17.12,0.0011682242990654205
TIBAU,2024,Siri,0.02,17.12,0.0011682242990654205
TIBAU,2024,Agulha,0.01,17.12,0.0005841121495327102
TIBAU,2024,Buzios,0.01,17.12,0.0005841121495327102
TIBAU,2024,Ova Voador,0.01,17.12,0.0005841121495327102
TIBAU,2024,Peixe Voador,0.01,17.12,0.0005841121495327102
TIBAU,2024,Agulhao,0.0,17.12,0.0
TIBAU,2024,Albacora,0.0,17.12,0.0
TIBAU,2024,Bonito,0.0,17.12,0.0
TIBAU,2024,Budiao,0.0,17.12,0.0
TIBAU,2024,Camarao,0.0,17.12,0.0
TIBAU,2024,Camurim,0.0,17.12,0.0
TIBAU,2024,Cangulo,0.0,17.12,0.0
TIBAU,2024,Caranguejo,0.0,17.12,0.0
TIBAU,2024,Carauna,0.0,17.12,0.0
TIBAU,2024,Cavala,0.0,17.12,0.0
TIBAU,2024,Cioba,0.0,17.12,0.0
TIBAU,2024,Dourado,0.0,17.12,0.0
TIBAU,2024,Garabebeu,0.0,17.12,0.0
TIBAU,2024,Garoupa,0.0,17.12,0.0
TIBAU,2024,Guaiuba,0.0,17.12,0.0
TIBAU,2024,Lagosta,0.0,17.12,0.0
TIBAU,2024,Marisco,0.0,17.12,0.0
TIBAU,2024,Outros,0.0,17.12,0.0
TIBAU,2024,Pargo,0.0,17.12,0.0
TIBAU,2024,Peixe Galo,0.0,17.12,0.0
TIBAU,2024,Pirauna,0.0,17.12,0.0
TIBAU,2024,Polvo,0.0,17.12,0.0
TIBAU,2024,Saramunete,0.0,17.12,0.0
TIBAU,2024,Sardinha,0.0,17.12,0.0
TIBAU,2024,Sirigado,0.0,17.12,0.0
TIBAU,2024,Tainha,0.0,17.12,0.0
TIBAU,2024,Tilapia,0.0,17.12,0.0
TIBAU,2023,Lagosta,5.17,23.14,0.22342264477095936
TIBAU,2023,Caico,4.74,23.14,0.2048401037165082
TIBAU,2023,Ariaco,3.65,23.14,0.15773552290406223
TIBAU,2023,Garajuba,1.88,23.14,0.08124459809853067
TIBAU,2023,Pescada,1.59,23.14,0.06871218668971478
TIBAU,2023,Serra,1.02,23.14,0.04407951598962835
TIBAU,2023,Arraia,0.91,23.14,0.03932584269662921
TIBAU,2023,Cururuca,0.78,23.14,0.033707865168539325
TIBAU,2023,Caçao,0.68,23.14,0.029386343993085567
TIBAU,2023,Espada,0.51,23.14,0.022039757994814176
TIBAU,2023,Bagre,0.43,23.14,0.018582541054451167
TIBAU,2023,Carapeba,0.37,23.14,0.01598962834917891
TIBAU,2023,Pampo,0.35,23.14,0.015125324114088158
TIBAU,2023,Biquara,0.3,23.14,0.012964563526361278
TIBAU,2023,Ubarana,0.24,23.14,0.010371650821089023
TIBAU,2023,Salema,0.18,23.14,0.007778738115816767
TIBAU,2023,Xareu,0.09,23.14,0.0038893690579083835
TIBAU,2023,Paru,0.06,23.14,0.0025929127052722557
TIBAU,2023,Cavala,0.04,23.14,0.001728608470181504
TIBAU,2023,Camurupim,0.03,23.14,0.0012964563526361278
TIBAU,2023,Beijupira,0.02,23.14,0.000864304235090752
TIBAU,2023,Caranguejo,0.02,23.14,0.000864304235090752
TIBAU,2023,Bonito,0.01,23.14,0.000432152117545376
TIBAU,2023,Camurim,0.01,23.14,0.000432152117545376
TIBAU,2023,Garabebeu,0.01,23.14,0.000432152117545376
TIBAU,2023,Guaiuba,0.01,23.14,0.000432152117545376
TIBAU,2023,Pirauna,0.01,23.14,0.000432152117545376
TIBAU,2023,Sardinha,0.01,23.14,0.000432152117545376
TIBAU,2023,Tainha,0.01,23.14,0.000432152117545376
TIBAU,2023,Tilapia,0.01,23.14,0.000432152117545376
TIBAU,2023,Agulha,0.0,23.14,0.0
TIBAU,2023,Agulhao,0.0,23.14,0.0
TIBAU,2023,Albacora,0.0,23.14,0.0
TIBAU,2023,Arabaiana,0.0,23.14,0.0
TIBAU,2023,Bicuda,0.0,23.14,0.0
TIBAU,2023,Budiao,0.0,23.14,0.0
TIBAU,2023,Buzios,0.0,23.14,0.0
TIBAU,2023,Camarao,0.0,23.14,0.0
TIBAU,2023,Cangulo,0.0,23.14,0.0
TIBAU,2023,Carauna,0.0,23.14,0.0
TIBAU,2023,Cioba,0.0,23.14,0.0
TIBAU,2023,Dentao,0.0,23.14,0.0
TIBAU,2023,Dourado,0.0,23.14,0.0
TIBAU,2023,Garoupa,0.0,23.14,0.0
TIBAU,2023,Marisco,0.0,23.14,0.0
TIBAU,2023,Outros,0.0,23.14,0.0
TIBAU,2023,Ova Voador,0.0,23.14,0.0
TIBAU,2023,Pargo,0.0,23.14,0.0
TIBAU,2023,Peixe Galo,0.0,23.14,0.0
TIBAU,2023,Peixe Voador,0.0,23.14,0.0
TIBAU,2023,Polvo,0.0,23.14,0.0
TIBAU,2023,Saramunete,0.0,23.14,0.0
TIBAU,2023,Siri,0.0,23.14,0.0
TIBAU,2023,Sirigado,0.0,23.14,0.0
TIBAU,2022,Caico,3.93,15.98,0.24593241551939926
TIBAU,2022,Lagosta,2.7,15.98,0.16896120150187735
TIBAU,2022,Ariaco,2.67,15.98,0.16708385481852314
TIBAU,2022,Garajuba,1.5,15.98,0.09386733416770963
TIBAU,2022,Pescada,0.93,15.98,0.05819774718397998
TIBAU,2022,Caçao,0.7,15.98,0.04380475594493116
TIBAU,2022,Serra,0.63,15.98,0.039424280350438046
TIBAU,2022,Cururuca,0.6,15.98,0.03754693366708385
TIBAU,2022,Bagre,0.44,15.98,0.027534418022528158
TIBAU,2022,Espada,0.4,15.98,0.025031289111389236
TIBAU,2022,Pampo,0.35,15.98,0.02190237797246558
TIBAU,2022,Salema,0.27,15.98,0.016896120150187734
TIBAU,2022,Arraia,0.25,15.98,0.015644555694618274
TIBAU,2022,Biquara,0.2,15.98,0.012515644555694618
TIBAU,2022,Ubarana,0.16,15.98,0.010012515644555695
TIBAU,2022,Carapeba,0.1,15.98,0.006257822277847309
TIBAU,2022,Paru,0.1,15.98,0.006257822277847309
TIBAU,2022,Bonito,0.03,15.98,0.0018773466833541927
TIBAU,2022,Tilapia,0.01,15.98,0.0006257822277847309
TIBAU,2022,Xareu,0.01,15.98,0.0006257822277847309
TIBAU,2022,Agulha,0.0,15.98,0.0
TIBAU,2022,Agulhao,0.0,15.98,0.0
TIBAU,2022,Albacora,0.0,15.98,0.0
TIBAU,2022,Arabaiana,0.0,15.98,0.0
TIBAU,2022,Beijupira,0.0,15.98,0.0
TIBAU,2022,Bicuda,0.0,15.98,0.0
TIBAU,2022,Budiao,0.0,15.98,0.0
TIBAU,2022,Buzios,0.0,15.98,0.0
TIBAU,2022,Camarao,0.0,15.98,0.0
TIBAU,2022,Camurim,0.0,15.98,0.0
TIBAU,2022,Camurupim,0.0,15.98,0.0
TIBAU,2022,Cangulo,0.0,15.98,0.0
TIBAU,2022,Caranguejo,0.0,15.98,0.0
TIBAU,2022,Carauna,0.0,15.98,0.0
TIBAU,2022,Cavala,0.0,15.98,0.0
TIBAU,2022,Cioba,0.0,15.98,0.0
TIBAU,2022,Dentao,0.0,15.98,0.0
TIBAU,2022,Dourado,0.0,15.98,0.0
TIBAU,2022,Garabebeu,0.0,15.98,0.0
TIBAU,2022,Garoupa,0.0,15.98,0.0
TIBAU,2022,Guaiuba,0.0,15.98,0.0
TIBAU,2022,Marisco,0.0,15.98,0.0
TIBAU,2022,Outros,0.0,15.98,0.0
TIBAU,2022,Ova Voador,0.0,15.98,0.0
TIBAU,2022,Pargo,0.0,15.98,0.0
TIBAU,2022,Peixe Galo,0.0,15.98,0.0
TIBAU,2022,Peixe Voador,0.0,15.98,0.0
TIBAU,2022,Pirauna,0.0,15.98,0.0
TIBAU,2022,Polvo,0.0,15.98,0.0
TIBAU,2022,Saramunete,0.0,15.98,0.0
TIBAU,2022,Sardinha,0.0,15.98,0.0
TIBAU,2022,Siri,0.0,15.98,0.0
TIBAU,2022,Sirigado,0.0,15.98,0.0
TIBAU,2022,Tainha,0.0,15.98,0.0
TIBAU,2021,Caico,3.29,12.82,0.25663026521060844
TIBAU,2021,Ariaco,1.9,12.82,0.14820592823712947
TIBAU,2021,Lagosta,1.17,12.82,0.09126365054602183
TIBAU,2021,Pescada,1.04,12.82,0.0811232449297972
TIBAU,2021,Arraia,0.77,12.82,0.06006240249609984
TIBAU,2021,Caçao,0.76,12.82,0.059282371294851796
TIBAU,2021,Garajuba,0.7,12.82,0.05460218408736349
TIBAU,2021,Serra,0.67,12.82,0.05226209048361935
TIBAU,2021,Espada,0.55,12.82,0.04290171606864275
TIBAU,2021,Bagre,0.39,12.82,0.030421216848673948
TIBAU,2021,Cururuca,0.36,12.82,0.028081123244929795
TIBAU,2021,Guaiuba,0.3,12.82,0.023400936037441495
TIBAU,2021,Ubarana,0.19,12.82,0.014820592823712949
TIBAU,2021,Bicuda,0.08,12.82,0.0062402496099844
TIBAU,2021,Pampo,0.08,12.82,0.0062402496099844
TIBAU,2021,Cavala,0.07,12.82,0.00546021840873635
TIBAU,2021,Arabaiana,0.06,12.82,0.004680187207488299
TIBAU,2021,Biquara,0.05,12.82,0.0039001560062402497
TIBAU,2021,Carapeba,0.05,12.82,0.0039001560062402497
TIBAU,2021,Sardinha,0.05,12.82,0.0039001560062402497
TIBAU,2021,Camurupim,0.04,12.82,0.0031201248049922
TIBAU,2021,Cioba,0.04,12.82,0.0031201248049922
TIBAU,2021,Peixe Galo,0.04,12.82,0.0031201248049922
TIBAU,2021,Bonito,0.03,12.82,0.0023400936037441494
TIBAU,2021,Salema,0.03,12.82,0.0023400936037441494
TIBAU,2021,Outros,0.02,12.82,0.0015600624024961
TIBAU,2021,Pargo,0.02,12.82,0.0015600624024961
TIBAU,2021,Xareu,0.02,12.82,0.0015600624024961
TIBAU,2021,Beijupira,0.01,12.82,0.00078003120124805
TIBAU,2021,Camurim,0.01,12.82,0.00078003120124805
