local,period_a,period_b,bray_curtis
ALL,early,middle,0.2381680514731052
ALL,early,recent,0.584868332091419
ALL,middle,recent,0.40364420253954175
AREIA BRANCA,early,middle,0.7068903994164171
AREIA BRANCA,early,recent,0.915496778200397
AREIA BRANCA,middle,recent,0.27505596880271393
CAICARA DO NORTE,early,middle,0.18011223930267475
CAICARA DO NORTE,early,recent,0.31780040098443624
CAICARA DO NORTE,middle,recent,0.2537213670825455
GALINHOS,early,middle,0.25926470793117196
GALINHOS,early,recent,0.46017957560031064
GALINHOS,middle,recent,0.34552031829960894
GROSSOS,early,middle,0.8028342077120066
GROSSOS,early,recent,0.8731239549547734
GROSSOS,middle,recent,0.420047890074251
GUAMARE,early,middle,0.2630380183051797
GUAMARE,early,recent,0.44185560924122885
GUAMARE,middle,recent,0.4156810872580011
MACAU,early,middle,0.13252742673073586
MACAU,early,recent,0.40928653895905315
MACAU,middle,recent,0.3642202041390615
PORTO DO MANGUE,early,middle,0.37323055696348295
PORTO DO MANGUE,early,recent,0.4854729565234615
PORTO DO MANGUE,middle,recent,0.36232110920130095
TIBAU,early,middle,0.4685400855409764
TIBAU,early,recent,0.5054146316874272
TIBAU,middle,recent,0.15455612324345075
