species,year,sp_production_ton,n_locals,year_total,species_share_year
Agulha,2001,37.08,4,566.43,0.06546263439436471
Agulha,2002,31.759999999999998,3,697.48,0.04553535585249756
Agulha,2003,28.81,3,843.6600000000001,0.034148827726809376
Agulha,2004,51.19,3,1368.52,0.037405372226931285
Agulha,2005,64.0,5,1095.23,0.05843521452115081
Agulha,2006,54.83,4,753.26,0.07279027161936118
Agulha,2007,61.34,4,1053.25,0.05823878471398054
Agulha,2008,122.25999999999999,4,2741.5,0.044596024074411815
Agulha,2009,57.706300000000006,8,6059.0066,0.009524053002351904
Agulha,2010,78.354,8,5342.757,0.014665462045157585
Agulha,2011,101.78699999999999,8,5027.85,0.02024463736984993
Agulha,2012,157.1,8,4613.9,0.034049285853616246
Agulha,2013,189.70000000000002,8,5752.3,0.032978113102585055
Agulha,2014,87.1,8,3730.9,0.02334557345412635
Agulha,2015,105.1,8,4121.6,0.025499805900621113
Agulha,2016,210.9,8,7280.4,0.028968188561068076
Agulha,2017,226.70000000000002,8,7360.299999999999,0.0308003749847153
Agulha,2018,65.19999999999999,8,3691.3,0.0176631539024192
Agulha,2019,154.71,8,7817.5,0.019790214262871763
Agulha,2020,160.4,8,6619.0,0.02423326786523644
Agulha,2021,220.02,8,7434.59,0.02959410001089502
Agulha,2022,149.12,8,7287.5,0.02046243567753002
Agulha,2023,216.20999999999998,8,7344.91,0.029436711954264925
Agulha,2024,136.05,8,5500.99,0.02473191189222304
Agulhao,2001,4.930000000000001,4,566.43,0.008703635047578696
Agulhao,2002,3.0,2,697.48,0.004301198600676722
Agulhao,2003,4.21,3,843.6600000000001,0.004990161913567076
Agulhao,2004,4.02,4,1368.52,0.002937479905299155
Agulhao,2005,3.68,5,1095.23,0.0033600248349661714
Agulhao,2006,3.8,3,753.26,0.005044738868385418
Agulhao,2007,3.84,4,1053.25,0.003645858058390695
Agulhao,2008,6.22,6,2741.5,0.0022688309319715484
Agulhao,2009,29.170400000000004,8,6059.0066,0.004814386569573964
Agulhao,2010,25.704,8,5342.757,0.004810999264986224
Agulhao,2011,25.234,8,5027.85,0.005018845033165269
Agulhao,2012,21.1,8,4613.9,0.004573137692624462
Agulhao,2015,7.2,8,4121.6,0.001746894409937888
Agulhao,2018,8.6,8,3691.3,0.0023298025086013058
Agulhao,2019,21.96,8,7817.5,0.002809082187400064
Agulhao,2020,16.55,8,6619.0,0.002500377700558997
Agulhao,2021,24.520000000000003,8,7434.59,0.0032980971378381327
Agulhao,2022,24.66,8,7287.5,0.003383876500857633
Agulhao,2023,31.55,8,7344.91,0.004295491707862997
Agulhao,2024,17.07,8,5500.99,0.0031030778096306304
Albacora,2001,5.76,4,566.43,0.01016895291562947
Albacora,2002,19.94,3,697.48,0.02858863336583128
Albacora,2003,34.7,4,843.6600000000001,0.041130313159329586
Albacora,2004,31.5,5,1368.52,0.023017566422120248
Albacora,2005,5.91,5,1095.23,0.00539612684093752
Albacora,2006,7.41,4,753.26,0.009837240793351566
Albacora,2007,10.41,5,1053.25,0.009883693330168527
Albacora,2008,18.41,6,2741.5,0.006715301842057268
Albacora,2009,370.272,8,6059.0066,0.06111100786719724
Albacora,2010,289.594,8,5342.757,0.054203101507330397
Albacora,2011,157.32,8,5027.85,0.031289716280318625
Albacora,2012,471.90000000000003,8,4613.9,0.10227789939097078
Albacora,2013,976.7,8,5752.3,0.1697929523842637
Albacora,2014,1184.8000000000002,8,3730.9,0.3175641266182423
Albacora,2015,1929.0,8,4121.6,0.4680221273291925
Albacora,2016,2648.6,8,7280.4,0.3637986923795396
Albacora,2017,2891.7,8,7360.299999999999,0.39287800768990394
Albacora,2018,1896.4,8,3691.3,0.5137485438734322
Albacora,2019,3670.35,8,7817.5,0.46950431723696834
Albacora,2020,3208.99,8,6619.0,0.4848149267260915
Albacora,2021,3512.07,8,7434.59,0.4723959223037182
Albacora,2022,3472.6899999999996,8,7287.5,0.47652692967409943
Albacora,2023,3495.66,8,7344.91,0.47592958933465485
Albacora,2024,2712.4,8,5500.99,0.4930748828847171
Albacorinha,2009,7.0934,8,6059.0066,0.0011707199658769147
Albacorinha,2010,21.520999999999997,8,5342.757,0.004028070151796161
Arabaiana,2001,1.82,1,566.43,0.0032131066504245895
Arabaiana,2002,2.54,3,697.48,0.0036416814819062913
Arabaiana,2003,1.85,2,843.6600000000001,0.002192826494085295
Arabaiana,2004,2.9,3,1368.52,0.002119077543623769
Arabaiana,2005,2.5300000000000002,5,1095.23,0.002310017074039243
Arabaiana,2006,1.85,4,753.26,0.002455991291187638
Arabaiana,2007,2.34,4,1053.25,0.00222169475433183
Arabaiana,2008,9.27,6,2741.5,0.003381360569031552
Arabaiana,2009,10.034600000000001,8,6059.0066,0.0016561460751668437
Arabaiana,2010,10.206,8,5342.757,0.0019102497081562946
Arabaiana,2011,13.8,8,5027.85,0.0027447119544139146
Arabaiana,2012,22.6,8,4613.9,0.004898242267929518
Arabaiana,2013,14.1,8,5752.3,0.0024511934356692103
Arabaiana,2014,5.6000000000000005,8,3730.9,0.0015009783162239676
Arabaiana,2015,11.299999999999999,8,4121.6,0.002741653726708074
Arabaiana,2016,15.999999999999998,8,7280.4,0.0021976814460743913
Arabaiana,2017,14.399999999999999,8,7360.299999999999,0.001956441992853552
Arabaiana,2018,8.1,8,3691.3,0.0021943488743802995
Arabaiana,2019,38.43,8,7817.5,0.004915893827950112
Arabaiana,2020,21.509999999999998,8,6619.0,0.0032497356096087017
Arabaiana,2021,16.72,8,7434.59,0.0022489471510870134
Arabaiana,2022,15.78,8,7287.5,0.0021653516295025727
Arabaiana,2023,71.16,8,7344.91,0.009688341994660248
Arabaiana,2024,20.92,8,5500.99,0.003802951832306549
Ariaco,2001,11.05,4,566.43,0.019508147520435008
Ariaco,2002,11.629999999999999,4,697.48,0.016674313241956756
Ariaco,2003,16.37,4,843.6600000000001,0.0194035511936088
Ariaco,2004,13.0,5,1368.52,0.009499313126589309
Ariaco,2005,22.07,6,1095.23,0.0201510185075281
Ariaco,2006,17.43,5,753.26,0.023139420651567853
Ariaco,2007,20.29,6,1053.25,0.01926418229290292
Ariaco,2008,53.739999999999995,6,2741.5,0.019602407441181833
Ariaco,2009,124.3794,8,6059.0066,0.020528018569908806
