propulsion,year,vessels_monitored,year_total,share
motorised,2001,173,557,0.3105924596050269
other,2001,5,557,0.008976660682226212
sail/row,2001,379,557,0.6804308797127468
motorised,2002,191,583,0.3276157804459691
other,2002,14,583,0.024013722126929673
sail/row,2002,378,583,0.6483704974271012
motorised,2003,214,598,0.35785953177257523
other,2003,8,598,0.013377926421404682
sail/row,2003,376,598,0.6287625418060201
motorised,2004,209,653,0.32006125574272587
other,2004,21,653,0.03215926493108729
sail/row,2004,423,653,0.6477794793261868
motorised,2005,293,828,0.3538647342995169
other,2005,7,828,0.008454106280193236
sail/row,2005,528,828,0.6376811594202898
motorised,2006,310,589,0.5263157894736842
other,2006,1,589,0.001697792869269949
sail/row,2006,278,589,0.47198641765704585
motorised,2007,428,765,0.5594771241830065
other,2007,6,765,0.00784313725490196
sail/row,2007,331,765,0.4326797385620915
motorised,2008,668,1103,0.6056210335448776
other,2008,15,1103,0.013599274705349048
sail/row,2008,420,1103,0.38077969174977333
motorised,2009,713,1418,0.502820874471086
other,2009,24,1418,0.01692524682651622
sail/row,2009,681,1418,0.4802538787023977
motorised,2010,796,1364,0.5835777126099707
other,2010,83,1364,0.06085043988269795
sail/row,2010,485,1364,0.3555718475073314
motorised,2011,753,1498,0.5026702269692924
other,2011,271,1498,0.18090787716955942
sail/row,2011,474,1498,0.3164218958611482
motorised,2012,712,1416,0.5028248587570622
other,2012,311,1416,0.2196327683615819
sail/row,2012,393,1416,0.2775423728813559
motorised,2013,498,842,0.5914489311163895
other,2013,157,842,0.18646080760095013
sail/row,2013,187,842,0.22209026128266032
motorised,2014,491,844,0.5817535545023697
other,2014,170,844,0.2014218009478673
sail/row,2014,183,844,0.21682464454976302
motorised,2015,574,888,0.6463963963963963
other,2015,171,888,0.19256756756756757
sail/row,2015,143,888,0.16103603603603603
motorised,2016,543,880,0.6170454545454546
other,2016,174,880,0.19772727272727272
sail/row,2016,163,880,0.18522727272727274
motorised,2017,493,794,0.6209068010075567
other,2017,164,794,0.20654911838790932
sail/row,2017,137,794,0.172544080604534
motorised,2018,505,708,0.713276836158192
other,2018,127,708,0.17937853107344634
sail/row,2018,76,708,0.10734463276836158
motorised,2019,639,876,0.7294520547945206
other,2019,161,876,0.18378995433789955
sail/row,2019,76,876,0.0867579908675799
motorised,2020,593,806,0.7357320099255583
other,2020,150,806,0.18610421836228289
sail/row,2020,63,806,0.07816377171215881
motorised,2021,601,819,0.7338217338217338
other,2021,153,819,0.18681318681318682
sail/row,2021,65,819,0.07936507936507936
motorised,2022,661,866,0.7632794457274826
other,2022,153,866,0.1766743648960739
sail/row,2022,52,866,0.06004618937644342
motorised,2023,649,819,0.7924297924297924
other,2023,129,819,0.1575091575091575
sail/row,2023,41,819,0.050061050061050064
motorised,2024,584,741,0.7881241565452092
other,2024,122,741,0.16464237516869096
sail/row,2024,35,741,0.04723346828609987
