gear_type,year,gear_production_ton,year_total,share
arrasto de porta,2001,4.800000000000001,566.46,0.00847367863573774
arrasto de praia,2001,22.560000000000002,566.46,0.03982628958796738
coleta de camarão,2001,3.02,566.46,0.005331356141651661
coleta manual,2001,4.92,566.46,0.008685520601631183
covo lagosta,2001,6.8999999999999995,566.46,0.012180913038872998
covo peixe e lagosta,2001,45.989999999999995,566.46,0.08118843342866221
curral,2001,2.41,566.46,0.004254492815026657
espinhel,2001,0.91,566.46,0.001606468241358613
jereré,2001,1.26,566.46,0.0022243406418811567
linha,2001,86.0,566.46,0.15182007555696783
linha e covo lagosta,2001,5.09,566.46,0.00898563005331356
linha e covo peixe,2001,1.64,566.46,0.0028951735338770606
linha e jereré,2001,58.629999999999995,566.46,0.10350245383610492
mergulho livre,2001,0.46,566.46,0.0008120608692582
puçá,2001,2.71,566.46,0.004784097729760265
rede agulha,2001,37.09,566.46,0.06547682095823183
rede de espera,2001,140.70000000000002,566.46,0.24838470501006252
rede de tapagem,2001,0.11,566.46,0.00019418846873565652
sardinheira,2001,128.68,566.46,0.22716520142640256
tarrafa,2001,6.45,566.46,0.011386505666772587
tremalho,2001,6.13,566.46,0.010821593757723404
arrasto de porta,2002,11.559999999999999,697.5400000000001,0.016572526306735093
arrasto de praia,2002,24.37,697.5400000000001,0.034937064541101584
coleta de camarão,2002,3.86,697.5400000000001,0.005533732832525733
coleta manual,2002,10.51,697.5400000000001,0.015067236287524727
coqueiro,2002,2.96,697.5400000000001,0.004243484244631132
covo lagosta,2002,6.27,697.5400000000001,0.008988731828999052
covo peixe e lagosta,2002,38.169999999999995,697.5400000000001,0.05472087622215212
curral,2002,2.04,697.5400000000001,0.0029245634658944288
linha,2002,95.5,697.5400000000001,0.1369097112710382
linha e jereré,2002,164.79000000000002,697.5400000000001,0.23624451644350145
mergulho livre,2002,0.42,697.5400000000001,0.000602116007684147
puçá,2002,3.48,697.5400000000001,0.0049889612065257905
rede agulha,2002,34.02,697.5400000000001,0.04877139662241592
rede de espera,2002,152.0,697.5400000000001,0.21790865039997703
rede de tapagem,2002,1.2,697.5400000000001,0.0017203314505261345
sardinheira,2002,123.03,697.5400000000001,0.17637698196519194
tarrafa,2002,6.8,697.5400000000001,0.009748544886314763
tremalho,2002,16.56,697.5400000000001,0.023740574017260655
arrasto de porta,2003,4.79,843.66,0.0056776426522532775
arrasto de praia,2003,28.21,843.66,0.03343764075575469
coleta de camarão,2003,2.34,843.66,0.002773629187113292
coleta manual,2003,4.45,843.66,0.005274636701988953
coqueiro,2003,9.38,843.66,0.011118222980821659
covo lagosta,2003,25.73,843.66,0.03049806794206197
covo peixe,2003,17.3,843.66,0.020505890998743573
covo peixe e lagosta,2003,35.660000000000004,843.66,0.0422682123130171
curral,2003,0.06,843.66,7.111869710546903e-05
espinhel,2003,2.57,843.66,0.0030462508593509232
linha,2003,91.66,843.66,0.10864566294478818
linha e covo lagosta,2003,0.13,843.66,0.00015409051039518292
linha e jereré,2003,185.04,843.66,0.21933006187326648
mergulho livre,2003,0.5700000000000001,843.66,0.0006756276225019558
puçá,2003,3.64,843.66,0.004314534291065122
rede agulha,2003,30.31,843.66,0.035926795154446106
rede de espera,2003,164.35999999999999,843.66,0.19481781760424816
rede de tapagem,2003,4.59,843.66,0.00544058032856838
sardinheira,2003,211.88,843.66,0.2511438257117796
tarrafa,2003,3.65,843.66,0.004326387407249366
tremalho,2003,17.34,843.66,0.02055330346348055
arrasto de porta,2004,28.1,1368.52,0.020533130681319966
arrasto de praia,2004,43.83,1368.52,0.03202729956449303
coleta manual,2004,16.23,1368.52,0.011859527080349576
covo lagosta,2004,7.96,1368.52,0.005816502499050069
covo peixe,2004,0.57,1368.52,0.0004165083447812235
covo peixe e lagosta,2004,46.55,1368.52,0.03401484815713325
curral,2004,3.36,1368.52,0.0024552070850261598
espinhel,2004,2.79,1368.52,0.0020386987402449363
linha,2004,108.03999999999999,1368.52,0.07894659924590068
linha e covo lagosta,2004,1.74,1368.52,0.0012714465261742614
linha e jereré,2004,338.96000000000004,1368.52,0.24768362902990093
linha e mergulho livre,2004,0.27,1368.52,0.0001972934264753164
mergulho livre,2004,1.67,1368.52,0.0012202963785695495
puçá,2004,4.95,1368.52,0.0036170461520474676
rede agulha,2004,51.03,1368.52,0.0372884576038348
rede de espera,2004,237.93,1368.52,0.17385935170841493
rede de tapagem,2004,2.86,1368.52,0.0020898488878496476
sardinheira,2004,433.46,1368.52,0.31673632829626164
tarrafa,2004,2.6100000000000003,1368.52,0.0019071697892613921
tremalho,2004,35.61,1368.52,0.026020810802911173
arrasto de porta,2005,10.780000000000001,1095.1000000000001,0.009843849876723586
arrasto de praia,2005,23.41,1095.1000000000001,0.02137704319240252
coleta de camarão,2005,2.15,1095.1000000000001,0.0019632910236508077
coleta manual,2005,13.780000000000001,1095.1000000000001,0.012583325723678202
coqueiro,2005,2.16,1095.1000000000001,0.0019724226098073233
covo lagosta,2005,70.89,1095.1000000000001,0.06473381426353757
covo peixe,2005,4.68,1095.1000000000001,0.004273582321249201
covo peixe e lagosta,2005,65.08,1095.1000000000001,0.05942836270660213
curral,2005,3.71,1095.1000000000001,0.003387818464067208
espinhel,2005,4.09,1095.1000000000001,0.0037348187380147925
