platform_exposure_class,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,cpue_mean,cpue_fisherman_mean,n_locals,cpue,cpue_fisherman
0-20 km,2001,267.13,4621,265.0,673.5999999999999,0.05176892942716389,0.3531617252164023,2,0.05780783380220731,0.39657066508313543
0-20 km,2002,326.04999999999995,5488,289.0,770.6899999999999,0.0545737484160222,0.4023525172709056,2,0.059411443148688035,0.423062450531342
0-20 km,2003,445.36,6089,292.0,743.19,0.06284172811502975,0.5196389981934171,2,0.07314173099031039,0.5992545647815498
0-20 km,2004,837.1500000000001,9109,320.0,881.62,0.08124739788551395,0.8624791519491986,2,0.09190361181249315,0.949558766815635
0-20 km,2005,472.91999999999996,7513,326.0,737.96,0.057886792460509054,0.5759117294369989,2,0.06294689205377345,0.6408477424250636
0-20 km,2006,265.59,4678,249.0,663.46,0.051351381461675547,0.3686829850047315,2,0.05677426250534416,0.400310493473608
0-20 km,2007,421.59000000000003,5878,298.0,780.71,0.06341742749016195,0.45844859989603104,2,0.07172337529772031,0.5400084538432965
0-20 km,2008,1432.58,16014,427.0,1065.72,0.09319626751353799,1.404889083844351,2,0.08945797427251155,1.3442367601246106
0-20 km,2009,2845.0480000000002,17958,429.0,861.5,0.138411277505868,2.9993124066913426,2,0.15842788729257157,3.302435287289611
0-20 km,2010,2445.663,23574,559.0,891.5,0.09341045357809175,2.5207141854537847,2,0.10374408246373124,2.743312394840157
0-20 km,2011,2099.329,20323,387.0,741.0,0.0944062580679928,2.604564555885176,2,0.10329818432318064,2.8331025641025644
0-20 km,2012,1269.8999999999999,19915,477.0,619.5,0.056168815812589354,1.7962951476873037,2,0.06376600552347476,2.0498789346246973
0-20 km,2013,1665.3,21282,444.0,636.5,0.06570301626603345,2.2098017713556573,2,0.07824922469692698,2.6163393558523174
0-20 km,2014,921.23,10432,232.0,648.0,0.07203893146949415,1.170594024088296,2,0.08830809049079755,1.4216512345679013
0-20 km,2015,870.1,12754,246.0,690.0,0.058640006807923896,1.0817093759421164,2,0.06822173435784852,1.2610144927536233
0-20 km,2016,1694.4,12584,258.0,661.0,0.1185711703556838,2.222624074581848,2,0.1346471710108074,2.56338880484115
0-20 km,2017,1763.0,11428,273.0,618.0,0.1344109934101732,2.4329711519492543,2,0.15427021351067555,2.852750809061489
0-20 km,2018,707.1099999999999,10272,278.0,710.0,0.0634634930545864,0.9012189916996793,2,0.06883859034267911,0.9959295774647886
0-20 km,2019,1940.234,31153,291.0,808.0,0.0539578500209201,2.251391161608365,2,0.06228080762687382,2.401279702970297
0-20 km,2020,1559.54,21842,277.0,733.0,0.0630271225444353,1.8421127081485862,2,0.07140097060708726,2.127612551159618
0-20 km,2021,1512.04756,21970,263.0,750.0,0.06552400264772776,1.8177385832024036,2,0.06882328447883478,2.0160634133333333
0-20 km,2022,1700.73,22615,355.6,849.0,0.07626997943231935,2.0306229145445154,2,0.0752036259120053,2.00321554770318
0-20 km,2023,1763.23,22976,277.0,795.5999999999999,0.08193094640168215,2.3585459051107516,2,0.07674225278551532,2.2162267471091
0-20 km,2024,1204.5,18528,266.6,652.0,0.0629358629970113,1.7855279942213413,2,0.06500971502590673,1.8473926380368098
20-50 km,2001,299.29999999999995,10817,280.0,862.47,0.0269367821074285,0.46107834500831857,2,0.027669409263196814,0.3470265632427794
20-50 km,2002,371.47999999999996,8516,274.0,868.04,0.03870704582631915,0.4117014839087201,2,0.043621418506341,0.4279526289111101
20-50 km,2003,398.28999999999996,7375,280.0,965.45,0.13854438043527814,0.2761667936949772,4,0.054005423728813555,0.4125433735563726
20-50 km,2004,531.39,9537,311.0,945.16,0.048395418030858534,0.4820215119678215,3,0.05571877949040579,0.5622222692454187
20-50 km,2005,622.21,11175,476.0,1339.66,0.06840406852280626,0.42000473552447026,5,0.055678747203579425,0.4644536673484317
20-50 km,2006,487.66999999999996,8083,307.0,1016.15,0.05605799753088544,0.5039437262952325,3,0.0603327972287517,0.47991930325247256
20-50 km,2007,631.68,8531,425.0,1292.78,0.09295750585673902,0.3187443894714271,5,0.07404524674715741,0.48862142050464885
20-50 km,2008,1308.94,20986,556.0,1666.87,0.08891502831595795,0.719684467800928,5,0.062372057562184315,0.7852681972799319
20-50 km,2009,3214.0530000000003,21026,628.0,2198.5,0.14749134746357476,1.1827900506774014,6,0.15286088652144966,1.4619299522401639
20-50 km,2010,2897.1639999999998,28208,776.0,1989.5,0.09358506339158139,1.2237883922590367,6,0.1027071752694271,1.4562271927620003
20-50 km,2011,2928.478,33369,927.0,1715.5,0.07531589327952556,1.4383760141326671,6,0.08776043633312355,1.7070696589915477
20-50 km,2012,3345.5,41397,1053.0,1421.0,0.07507370649985386,1.9130052708587455,6,0.08081503490591106,2.3543279380717803
20-50 km,2013,4087.3,39263,963.0,1521.75,0.09750021892038617,2.2546447998909263,6,0.10410055268318774,2.6859208148513227
20-50 km,2014,2809.99,18287,476.0,1452.0,0.1493495458575458,1.3335054388206966,6,0.15366052386941542,1.935254820936639
20-50 km,2015,3251.2999999999997,20903,527.0,1623.0,0.16587720967614086,1.3270006610582195,6,0.15554226666028798,2.003265557609365
20-50 km,2016,5582.9,18933,504.0,1481.0,0.2902567547557328,2.6858708267566604,6,0.29487667036391485,3.7696826468602294
20-50 km,2017,5596.0,15028,520.0,1310.0,0.33945970582369656,3.07576578277984,6,0.37237157306361457,4.27175572519084
20-50 km,2018,2986.56,11122,510.0,1451.0,0.24834347941302046,1.4639601604624648,6,0.26852724330156447,2.058277050310131
20-50 km,2019,5877.234,46555,446.0,1455.0,0.15503365791145324,2.892126546334626,6,0.1262428095800666,4.039336082474227
20-50 km,2020,5059.31,24092,409.0,1311.0,0.1928136929979819,3.386700338423433,6,0.20999958492445628,3.859122807017544
20-50 km,2021,5922.65564,27442,418.0,1347.7,0.1739553995425184,3.0570465974439895,6,0.21582448946869762,4.394639489500631
20-50 km,2022,5586.8099999999995,26606,505.40000000000003,1314.7,0.1745837430184807,3.1486716630324048,6,0.20998308652183717,4.249494181182018
20-50 km,2023,5581.64,27241,395.0,1273.5,0.18612166314477616,3.5843091223737034,6,0.20489849858668918,4.382913231252454
20-50 km,2024,4295.9,20826,411.2,1089.0,0.18995042270977958,3.232307154934506,6,0.20627580908479784,3.9448117539026626
