year,production_ton_sum,production_ton_mean,assisted_trips_sum,fleet_monitored_sum,estimated_fishermen_sum,cpue_mean,cpue_median,cpue_fisherman_mean,cpue_fisherman_median,n_locals,cpue_regional,cpue_fisherman_regional
2001,566.43,141.6075,15438,545.0,1536.0700000000002,0.0393528557672962,0.0373224464237082,0.4071200351123605,0.3597741443885112,4,0.03669063350174893,0.3687527261127422
2002,697.53,174.3825,14004,563.0,1638.73,0.04664039712117068,0.0460926633942257,0.40702700058981284,0.4117014839087201,4,0.04980934018851756,0.4256527921012003
2003,843.65,140.60833333333332,13464,572.0,1708.64,0.10826331950717878,0.0606694636993797,0.3573241951944572,0.33028276896662534,6,0.06265968508615567,0.4937552673471298
2004,1368.54,273.70799999999997,18646,631.0,1826.78,0.061536209972720704,0.0495085995085995,0.6342045679603723,0.6323690570909583,5,0.07339590260645715,0.7491542495538598
2005,1095.13,156.44714285714286,18688,802.0,2077.62,0.06489830983537385,0.057886792460509054,0.46454959092804987,0.4662713415847494,7,0.05860070633561645,0.5271079408168964
2006,753.26,150.652,12761,556.0,1679.61,0.05417535110320147,0.0600473933649289,0.44983942977903213,0.4293783071404506,5,0.059028289319018885,0.4484731574591721
2007,1053.27,150.46714285714285,14409,723.0,2073.49,0.08311081306788,0.06341742749016195,0.35865987816417105,0.26,7,0.07309806371018114,0.5079696550260672
2008,2741.52,391.6457142857143,37000,983.0,2732.59,0.09034210804848464,0.0820209122069484,0.915457215241906,0.942660981038968,7,0.07409513513513513,1.0032679618969549
2009,6059.101000000001,757.3876250000001,38984,1057.0,3060.0,0.14522132997414808,0.0851491764973442,1.6369206396808866,1.4978930711901435,8,0.15542532833983175,1.980098366013072
2010,5342.827,667.853375,51782,1335.0,2881.0,0.09354141093820897,0.06763618193732865,1.5480198405577237,1.4074172913403444,8,0.1031792321656174,1.85450433877126
2011,5027.807,628.475875,53692,1314.0,2456.5,0.08008848447664238,0.0773283223488855,1.7299231495707943,1.835565209333989,8,0.09364164121284363,2.0467360065133318
2012,4615.4,576.925,61312,1530.0,2040.5,0.07034748382803774,0.049996003226559754,1.8838277400658852,1.683484079128319,8,0.07527727035490604,2.2618965939720654
2013,5752.599999999999,719.0749999999999,60545,1407.0,2158.25,0.08955091825679799,0.0597032556179077,2.243434042757109,1.900255033557047,8,0.09501362622842513,2.6654002085022586
2014,3731.22,466.4025,28719,708.0,2100.0,0.1300218922605329,0.0559230129508083,1.2927775851375962,0.8470909987735296,8,0.12992165465371355,1.7767714285714284
2015,4121.4,515.175,33657,773.0,2313.0,0.13906790895908663,0.051187357611141654,1.2656778397791935,0.760871533672892,8,0.12245298154915767,1.7818417639429311
2016,7277.3,909.6625,31517,762.0,2142.0,0.24733535865572057,0.1188324728881007,2.570059138712957,1.7855672268907563,8,0.23090078370403275,3.3974323062558356
2017,7359.0,919.875,26456,793.0,1928.0,0.2881975277203157,0.14449333945437204,2.9150671250721936,1.9234324518367836,8,0.27815996371333535,3.8169087136929463
2018,3693.67,461.70875,21394,788.0,2161.0,0.20212348282341194,0.0715580245309253,1.3232748682717685,0.7092960526315789,8,0.17264980835748342,1.7092410920869967
2019,7817.468,977.1835,77708,737.0,2263.0,0.12976470593881995,0.05729454370706495,2.731942700153061,1.856249958864665,8,0.10060055592731765,3.4544710561201946
2020,6618.85,827.35625,45934,686.0,2044.0,0.16036705038459523,0.06402268883265615,3.0005534308547213,1.7374202447833067,8,0.1440947881743371,3.2381849315068494
2021,7434.7032,929.3379,49412,681.0,2097.7,0.14684755031882074,0.0556057550894999,2.747219593883593,1.5848466988822314,8,0.15046351493564317,3.544216618200887
2022,7287.54,910.9425,49221,861.0,2163.7,0.15000530212194038,0.07626997943231935,2.8691594759104326,1.8824976789389885,8,0.1480575364173828,3.3680916947820867
2023,7344.87,918.10875,50217,672.0,2069.1,0.16007398395900266,0.07658401799400799,3.2778683180579655,2.011149863076272,8,0.14626262022820957,3.5497897636653617
2024,5500.400000000001,687.5500000000001,39354,677.8,1741.0,0.1581967827815875,0.0629358629970113,2.870612364756215,1.660061907958529,8,0.1397672409412004,3.159333716255026
