species,year,sp_production_ton,year_total,species_share
Agulha,2001,37.08,566.43,0.06546263439436471
Albacora,2001,5.76,566.43,0.01016895291562947
Ariaco,2001,11.05,566.43,0.019508147520435008
Biquara,2001,4.8,566.43,0.008474127429691225
Caico,2001,26.91,566.43,0.04750807690270643
Camarao,2001,10.05,566.43,0.017742704305916002
Cioba,2001,14.97,566.43,0.026428684921349508
Dourado,2001,30.02,566.43,0.052998605299860536
Garajuba,2001,10.34,566.43,0.018254682838126514
Guaiuba,2001,12.44,566.43,0.021962113588616425
Lagosta,2001,43.730000000000004,566.43,0.07720283177091611
Outros,2001,60.089999999999996,566.43,0.10608548276044702
Peixe Voador,2001,32.4,566.43,0.05720036015041576
Sardinha,2001,124.85,566.43,0.22041558533269778
Serra,2001,27.04,566.43,0.0477375845205939
Tainha,2001,36.56999999999999,566.43,0.06456225835496
Agulha,2002,31.759999999999998,697.48,0.04553535585249756
Albacora,2002,19.94,697.48,0.02858863336583128
Ariaco,2002,11.629999999999999,697.48,0.016674313241956756
Biquara,2002,4.45,697.48,0.006380111257670471
Caico,2002,21.66,697.48,0.03105465389688593
Camarao,2002,17.61,697.48,0.025248035785972355
Cioba,2002,13.28,697.48,0.019039972472328956
Dourado,2002,41.05,697.48,0.058854734185926474
Garajuba,2002,8.39,697.48,0.012029018753225899
Guaiuba,2002,10.17,697.48,0.014581063256294087
Lagosta,2002,38.480000000000004,697.48,0.05517004071801342
Outros,2002,79.37,697.48,0.11379537764523714
Peixe Voador,2002,120.19,697.48,0.1723203532717784
Sardinha,2002,116.9,697.48,0.16760337213970294
Serra,2002,35.32,697.48,0.05063944485863394
Tainha,2002,40.57,697.48,0.0581665424098182
Agulha,2003,28.81,843.66,0.034148827726809376
Albacora,2003,34.7,843.66,0.04113031315932959
Ariaco,2003,16.37,843.66,0.0194035511936088
Biquara,2003,9.45,843.66,0.011201194794111372
Bonito,2003,6.57,843.66,0.007787497333048859
Caico,2003,59.95,843.66,0.07105943152454781
Camarao,2003,8.01,843.66,0.009494346063580116
Cioba,2003,11.29,843.66,0.013382168172012422
Dourado,2003,29.82,843.66,0.03534599246141811
Garajuba,2003,10.69,843.66,0.012670981200957731
Guaiuba,2003,8.48,843.66,0.010051442524239623
Lagosta,2003,49.89,843.66,0.059135196643197496
Outros,2003,61.16,843.66,0.07249365858284143
Peixe Voador,2003,147.93,843.66,0.1753431477135339
Sardinha,2003,207.18,843.66,0.24557286110518456
Serra,2003,33.14,843.66,0.0392812270345874
Tainha,2003,47.05,843.66,0.05576891164687196
Agulha,2004,51.19,1368.52,0.037405372226931285
Albacora,2004,31.5,1368.52,0.023017566422120248
Ariaco,2004,13.0,1368.52,0.009499313126589309
Biquara,2004,5.33,1368.52,0.0038947183819016164
Bonito,2004,10.62,1368.52,0.007760208108029111
Caico,2004,68.91000000000001,1368.52,0.050353666734866874
Camarao,2004,36.67,1368.52,0.02679537018092538
Cioba,2004,14.09,1368.52,0.010295793996434105
Dourado,2004,47.18,1368.52,0.03447519948557566
Garajuba,2004,7.37,1368.52,0.005385379826381785
Guaiuba,2004,14.15,1368.52,0.010339636980095285
Lagosta,2004,41.64,1368.52,0.03042703066085991
